,review_text
0,"We came here on a Sunday around 3ish pm.  Super famished and looking forward to having a late lunch early type of dinner. We found parking relatively quickly and walked in and seated almost immediately. Staff was friendly. The place looked nice and cute, resembling a French/creole eatery straight out of Louisiana.  I was really looking for fried chicken and decided to go with the fried chicken breast over sweet potato yam mash and string green beans.  Unfortunately, they didn't have fried chicken with its bones and no thighs, or legs and wings which is what I was hoping to order.  Come to find out, it was just breast.  The chicken was just alright.  In fact, I felt that a really small piece of one of the breasts may have been undercooked but I went ahead and just set it aside and continued to finish my food not wanting to make anything of it.  I was hungry.We also ordered the mac n cheese side, a bowl of gumbo and my boyfriend had the chicken po boy which he said was extremely good.  I liked the gumbo and the mac n cheese was fair.  I just felt like it could all have been soooo much better. I've been to many French/creole/southern places and felt that this place wasn't what I expected it to be.  That being said, probably won't go back.  Hopefully, it was just an isolated situation and the food is amazing on other days.At any rate, I'll keep my eyes on future reviews..."
1,"I want to start off with the Positive first.  The Decor was Awesome and The Service was super. Now on to the Food.  I had the Catfish Dinner, Shrimp Po' Boy Fried Chicken, Fried Grits with Crawfish Etouffée & Red Beans with Ham-hocks. I had a Swamp Water cooler for my Drink.Fried Grits & Crawfish Étouffée:  The Fried Grits were Horrible, however the Crawfish Étouffée was incredible. Fried Chicken Dinner:  Terrible Batter.... taste more like a Cake Batter there was no Crunch at all on the Crust, however the Chicken was not dry it was juicy, but the initial bite will make you want to put it down. I suggest a better batter to fry your chicken in.Shrimp Po' Boy:  The Shrimp also had a Tempura Style Batter vs good ole Corn Meal Mix. I am a Big Fanatic of how Breads taste with a Po' Boy. This Bread was decent I would probably say add more butter and brown in more on both sides. Lastly it was Dressed nicely.Catfish Dinner:  I would say this was the only Dinner Item that I felt had some New Orleans Flavor, but barely. Very Small Pieces of fish. If I were to grade this Fish I would give them a B- I think they can make this a Knock it out of the park dish with small improvements. Red Beans: I had this for an appetizer and I will say it was ok. wished it had been served with some of that toasted Po' Boy Bread.Swamp Water:   Yeah it's Lemonade and Ice Tea....... I'd say Check the Filters on your Water.... Bad after taste. Although the Decor was awesome they need to clean a bit more... as I sat at my table there was a table next to me that the last guest had dropped pieces of chicken on the floor and it was still there... even after they wiped the table and set it..... A good Sweeper could be useful."
2,I ordered the crawfish Ettofe and it was nasty. No flavor and all the dishes look the same. No unique preparation or spice to the dishes and it seemed like it was reheated before plating. The shrimp Creole and my dish was exactly the same and one came with a lemon and mine didn't which was odd. Since it was basically the same thing  I would not go back. Bland American so called creole food
3,"Extremely long wait with ok service and delicious but overpriced soul food. Really upset about the high tax rate.Service: Subpar. Wait time is horrible.We were told there would be a 30-45 minute wait and we didn't get seated until an hour later. They also gave some weirdly specific ""your table will be ready at"" time, but we still had to wait an extra 10-15 min. Given, we were a large table of 7 without a reservation (didn't know it would be this crowded on a Tuesday night), but this wait seemed a bit excessive.What really made me angry was that I told the hostess that we were ready to order right as we were being seated (an hour wait gives you a lot of time to look at their menu) and she disappears without a trace. NO ONE TOOK OUR ORDER WHEN I SPECIFICALLY TOLD HER WE WERE READY TO ORDER. Took a bit of time trying to flag down someone else to take our order too. Food: pretty good.Not sure if it was because I was starving, but I do give credit to their food. I split their fried chicken and jambalaya with a friend and both dishes were great. Fried chicken more like chicken tenders but still crunchy. Sweet potato mash it came with was good.  Jambalaya very flavorful. Menu is not vegetarian friendly though (like 1 dish and I guess some sides). Be wary if you have any vegetarian friends who want to tag along.Ambience: rustic.It was a causal, rustic environment that I felt gave a Louisiana kitchen vibe. Lighting was dim and there were candles on every table. Romantic but kind of noisy.Price: OVERPRICED!THEY CHARGED US 10.91% IN TAXES!!! Normally tax is about 9.5%. WHAT THE HECK?I really should have checked before I paid but I wanted to get out of here.They also charged us 18% gratuity. I'm assuming it's for our larger table size. I don't know what the cutoff is before they automatically add gratuity.This place averaged about $25/person for this meal. Though the food was great, I'm not sure I would come back here due to the wait time and the price. I can definitely go elsewhere and get a great meal in half the price and wait."
4,"It's been awhile for a restaurant to leave my stomach churning and this place definitely left that mark. Like it wasn't all that bad but there was definitely some things that weren't great. My friends and I shared the hush puppies, brussel sprouts, and the Mac n cheese. Individually I got the etoufee crawfish.The hush puppies are ok, good with the butter I suppose. The brussel sprouts were delicious but heavily oiled up and the Mac n cheese was probably their best item here. It wasn't super cheesy and the bacon on it made it awesome. My etoufee was a disappointment, the middle portion was warm but the outer part of the dish was luke warm. It tasted ok but I added hot sauce. Service here was good though."
5,Food was below average not well seasoned I was expecting more of a Louisiana taste but It was very watered down atAtmosphere was great had a hard time finding parking as well I won't be back anytime soon
6,Sorry you do have great food...but your front counter help is horrible. Just left your restaurant and had refuse to seat us on a booth..restaurant had 15 customers and all the booths were open. Too bad your restaurant just lost $300  of revenue!
7,Let's start by saying the porboy shrimp was very good. But over all I feel like this place is very over rated. They don't let you pick ur side. U can't sub things out. I'm not a fan. They don't even have fries or a kid menu. Hate to say but I won't be back.
8,"I liked their food, but it was unfortunate that I found a long, thin brown hair in my salad. A waiter asked me if I wanted another salad so I asked him to bring sweet potato instead. I don't think the waiter even bothered reporting this to the manager. After all, I was not given any compliments and was charged regular price. I understand that people make mistakes but it bothered me that the waiter acted as if nothing bad happened. Given the price range of their food, they should have acted more professionally. Food itself was OK but what I remember clearly about this place is the gross hair that stuck with my folk, which really ruined a dinner with my family."
9,"The food was good, but you know that the farther away from New Orleans you go, the more it loses the authentic flavor. Just like tacos outside of Mexico. Two stars are for the dickhead waiter who put a 400 degree plate of baked mac and cheese in front of my 7 year old daughter. Yes he warned her but even ten minutes later she grabbed it and burned her hand. Another ten minutes later and it was still too hot to the touch."
