,review_text
0,"1.5 at best. All I had were salads so I can only comment on those. We were seated outside, service became spotty, and close to non-existent once we got our food. The salad I got was the falafel salad, compatriot got what I think is a santa fe salad with a veggie patty substitute. If these are representative of the salads here in general, I'd suggest staying away from them. Overpriced, and there's waaaaaaaaay better options in the Berkeley area.The falafel salad was basically like a quarter of lettuce (if that), one artichoke heart broken apart, 4 falafel pucks cut in half, and one roma tomato. With a dressing that has no flavor, the only things that actually added to it were the feta and the falafel both of which were premade at some point. This is also a tiny salad by design since everything green is packed into this little pile in the middle for some reason with the other ingredients that weren't chopped into sizeable bites used to make up for the extra space not used. By salad. In a salad.The santa fe was also just as poorly prepared. I thought that the substitution was a funny idea to begin with but to chop a pan fried, or deep fried patty and not even chop it in sizeable pieces is atrocious. And the dressing? Also not noticeable whatsoever. I'm not sure how that is characterized as a santa fe salad if the dressing doesn't carry it over.The only saving grace was that the salads weren't entirely inedible. But that isn't really a consolation though. The things in the meal that added flavor were premade and had nothing to do with what the restaurant had created, or added. Never again."
1,The service was crazy MEAN!! What's happening in Berkeley this used to be a service oriented town but lately the service has gotten Down right nasty. Same ole same ole when it came to the burgers. No good vegan option. :(
2,"Great ambiance. Cool location. Great menu. Good food. Very indifferent service. Our server walked away after getting half our drink orders - the remainder were shouted across the restaurant. Dishes didn't seem made to order - some requests were ignored. Plating is sloppy - blue cheese crumbs everywhere including dishes that don't feature the ingredient. Worse, our one GF party member (legit celiac, for the record) found some bits of bun behind his lettuce wrap. Salad arrived with no dressing. Zero check-ins. Zero water refills (2 carafes for 7 people).For context, we brought a group of 7 at 11:30 and seemed to be among the first parties seated for the day - though well after the restaurant opened - so things were hardly rushed.Sides are excellent across the board. Highly recommend the onion rings and veggie basket. Milkshakes drew raves from our crowd.And a final word to the wise - they cook their burgers VERY lightly. Medium, incredibly, comes pink throughout with cool center. I'd recommend ordering at least one temp up from desired."
3,"I came with my roommate to Barney's once for a weekday dinner, as we were both craving burgers and Barney's was the closest burger restaurant to our place.I ordered the Barney's Classic Burger, and was pretty disappointed. The burger patty was very flavorless, and the buns were very dry. However, I would recommend trying their milkshakes. They are rather large; I only finished half at the restaurant and had to take the other half back home."
4,"I love that there was a fire roaring in the fire place. My husband and I are out seeking new places to eat throughout the bay. We landed here. I seen they had minestrone soup on yelp, so I ordered that, we both each ordered hamburgers and the truffle fries. He brings my soup, says it chicken rice ok, I said I guess. Disappointed to say the least. I asked for medium well, for medium rare and I asked waiter to fix. He brought back a new one, still medium rare. Hard roll wasn't hot, but he did take off the bill as I only ate one bite. I've had better burgers at Habit Burger!"
5,"We came here because the line at the nearby Cheeseboard was too long, and it was a bit too chilly to sit outside at the nearby Epicurus Garden.  We also had a one year old with us, so we needed something quick!Our experience was mixed.  When we walked in, we waited a few minutes to be acknowledged by a host, which seemed odd when there were several members of the wait staff walking around.  I'm used to good customer service where even if it's busy, you are at least acknowledged with ""we'll be right with you"" upon entering.  Not sure if our stroller and baby made the staff less interested in helping us.When we were acknowledged, the waiter seemed a little annoyed that he would have to help us troubleshoot where to sit and store our stroller.  I tried to reassure him that the umbrella stroller folded up as he pointed to a corner of the restaurant where I could store the stroller.  Mental note: not the most family friendly place to be, though I would expect a burger place to be.I ended up ordering the Barney's burger (medium well), and my husband and I shared the onion rings and vegetable basket.  The fried portabella mushrooms in the fried veggie basket were quite yummy, but I was disappointed with the burger.  They completely forgot the cheese and it was medium (totally raw in the center).  They took the burger back, but it came back overcooked and dry. Not worth the $12 paid. Like others have commented, I also would have expected a basic side to come with the burgers. Maybe not fries, but a small cole slaw .. something!Not sure I'll be back. Next time I'll wait it out at the Cheeseboard."
6,"I am angry. But mostly just disappointed. I've heard many good words about Barney's, but the services today proved those wrong.First of all, I just wanted to say that I've heard some people say that they've had the best burger ever at Barney's, but that is hardly the case in my opinion.Even though the burger is supposed to be gourmet, I found that the burger was lackluster. Maybe because in comparison to Scolari's, Barney's was just meh. I got the alpine beef burger, and I ordered my patty to be cooked medium well (I prefer my burgers more cooked cuz that's just more sanitary...), but it was more of a medium. But what really turned me off was that my bottom bun was all soggy and mushy. This was probably due to all the juice from the mushrooms and onions, but still. I don't like soggy buns. (Pretty sure my anaconda don't want none of those now)Since I came with my vegan friend, I was really glad that Barney's had the garden burger, which is vegan...I hope. (The waitress didn't seem too sure of it)We also ordered the garlic fries, but when they brought it out to us, they only gave us the regular without garlic. I was pretty sure that I said garlic, and I'm sad the waitress couldn't get something simple right.Anyway, service was really slow, and the staff could certainly be trained more. Half way through my meal, a waiter comes with two plates of food to my table and asks if these were ours...like BRUH, ARENT YOU THE ONE SUPPOSED TO BE KEEPING TRACK OF THAT?!? And also, common sense would tell you that no, those are probably not ours since we're already eating and have more than enough food.One other thing I found unappealing was that as the waiter was seating a group to the empty table next to me, the table was still dirty from the last group's meal. The new group had to tell the waiter to wipe it, and I feel like this was just something that was done automatically.Given how Barney's is supposed to be a pretty nice burger joint, the price was not worth the quality and service, thus the rating of 2 stars. In my opinion, service is just as important as the quality of the food, when trying and rating any restaurant. Anywho, the food was not atrocious, but let's just leave it at that."
7,"Pros.  Food excellent, although a bit steep in price for burgers.  Cons.  ""Jesus people are waiting."" Service.  We had to ask more than once (to a different server as the first one we asked never brought us more) for more water even though our water jug was empty and at least my glass was empty. We ate our food and my friends couldn't finish their food and asked for boxes.  I was still eating.  We all got our checks even though  I was still eating and hadn't asked for it.  The apparent owner was hovering around until I paid after my friends paid.  (I was still eating.)  So as soon as I finished eating I produced my card, which was grabbed by the owner and run,After signing it and still leaving a decent tip and talking with my friends for a few minutes, my friend and I overheard the apparent owner say, ""Jesus people are waiting.""  Yes it is true than many Christians await Christ's second coming, but I think the apparent owner was rudely trying to get us to leave as it had been less than 5 minutes since I had finished eating and was still washing my food down with water that I had to explicitly ask for again.  Moreover it is my opinion that the owner actually wanted us to hear his rude, offensive comments  in a passive aggressive manor.  Yes people were waiting, but so what?  The table next to me was occupied by one person while her family was off possibly in the bathroom for an extended period of time.  She was not pressured to leave by the owner.  Perhaps it has to do with looking young, but our money is just as good as older peoples' money, and we might have even spent more than them as we were 3 adults, with no children.   Also there were plenty of open tables outside available and it was still warm outside.Moreover there was another time I went here with a few other young adults to order food and watch a Warriors game.  There was no inside seating available.  People were just sitting there, drinking wine, not ordering full meals.  Also there were two people occupying a 4 person table inside.  I didn't see anyone pressuring them to leave because we were waiting.  In that case we left, because it became apparent that we would not be seated inside for a long time, which is fine, so why were we passive-aggressively pressured to leave right after I had finished eating.  I would not go here until the owner takes some personal-interaction training.  I'll go to In-N_out where the burgers are just as good and no one has ever made any comments about people waiting to try to get me to leave less than 5 minutes after putting the last bit of food in my mouth."
8,"For a $12 burger, I was expecting something with a little more oomph. I got the Chipotle burger and my boyfriend got the Voodoo Burger. I wished we had gone to In-N-Out Burger instead, which is quite disappointing since these burgers were about 4 times the price of an In-N-Out double-double. The burgers are big, which might account for some of the price, but I would prefer quality over quantity in this case. The service was nice but so slooooow. It took about 20 minutes for someone to take our order, then another 30 minutes before our food came out. However, I have noticed that Barney's is pretty popular and appears pretty busy. We may have been there on an off night. I still want to give them another shot and will update my review if so!"
9,"[FOOD] I really liked their truffle fries. Their burger was also really good. Meat was cooked just as ordered. Service was decent too.[SERVICE/INTEGRITY OF RESTAURANT STAFF]This is where things are bad. This review is long overdue, but my dance team came here for a banquet and they charged more than 10% sales tax?? That's shady and also illegal? Granted they fixed it immediately after a phone call, but what kind of business practices are being implemented here if that's the norm? Another dance team had their banquet here too and they were also charged more than 10% tax....so this makes me think this place is really sketchy, and that the tax charged WASN'T A MISTAKE.These practices mean I'll never come back here again."
