,review_text
0,Def not up to par with reviews. Chicken tasted like it was sitting in the bottom of a bucket for a week. I will not be coming back :(
1,"Place is really nothing special.  They did have a taco deal on the Tuesday that we went, the typical Taco Tuesday.  Tacos are $2 and they also had sangria for $4 along with that deal.  The tacos were extremely small as were the sangria offerings so the deal was more of you pay for what you get kind of scenario.  The dishes we ordered were the quesadilla and the nachos.   Nachos were okay portion wise but had nothing special wth the taste, faux is extra $$.  The quesadilla was pretty small and lacking filling wise as well.  For good Mexican food, I'd much rather just stick to Mission, haven't found a good alternative near me yet in Berkeley."
2,Got my order wrong the soup is disgusting I ordered a Cuban sandwich that was not a Cuban sandwich So I'm back on the hut.. for this Cuban sandwich.
3,Food was cold and beans were from a can.I feel like I can't trust Yelp anymore. Who is giving this place 5 star reviews?$36 down the drain.
4,Quality went down and price went up after current ownership took over this restaurant. I got food poisoning here twice. I haven't had the guts to come back since.
5,"Torta sandwich ham was essentially overstuffed with lettuce and unseasoned guacamole, with two thin slices of ham. Beans taste from a can. Tamale is extremely dry, and that's even with the supremely sour tomatillo and sour cream. Pico de gallo was tasteless. I hate wasting food but this was terrible -- left most of my plate full."
6,"$14 for a breakfast burrito is robbery. Unless it has a 6 oz filet mignon in it, this place is priced way too high for the neighborhood. If they dropped it to $10 that's even higher than their competition."
7,"Let's talk about Taco Tuesday. $2 tacos! Bring a magnifying glass and tweezers, because they're the smallest tacos you'll ever try to eat. Now that I think about it, maybe it's worth coming for Taco Tuesday to marvel at how one can make a taco this small. Also $30 for a pitcher of sangria which is mostly juice is like a punch in the throat.The service is friendly and the food is not so bad, but if you come for sangria and tacos on a Tuesday you'll leave $50 light, hungry, without a buzz, and in the moral conundrum of wondering if you patronized a place that may have small children tied up in the back being forced to make wee tacos."
8,"If I could give a 0 star If I would. Do not come here and pay for a plate of food and expect to get rice and beans. Oh,  unless you want to pay extra for it and get you own forks,  chips and salsa, napkins and salt....because the food NEEDS salt and flavor!!!! I payed 100$ for a family of 5 and I served myself. Small portions and NOT authentic Mexican food!!!  Beans tasted canned, as well as the chili verde sauce.  For the price, definitely not worthy."
9,"Usually really like this place but I ordered a carnitas burrito and got beef, which I didn't like at all. By the time I got home and cut into it was too late to take it back because they were closed. Now I have to check my burrito before I leave. My my dinner for the night really suck"
10,"UPDATE -  Went back for a second try. Service is still not great. There is absolutely no cellular service,  even near the window, and WiFi is not offered. The layout is a hot mess. The register is situated in such a way that it cocks up entry and egress of the establishment, as well as access to the pastries. Food is good, not great, but good.      =====================================Servers were not friendly, and were unwilling to add chopped onions to vegetarian burrito.Was charged $27+ for two burritos and two bottle Cokes. Complementary tortilla chips are NOT provided before or with the meal.Food was average."
11,My experience today may be a fluke but I had to write.I usually think this place is a solid 4/5. Today I tried the pupusas. One pork & cheese and one bean & cheese.  Casa Latina forgot to put anything in the middle. I was very disappointed in my dry pupusas. What made it worse is they charge $2.90 each! That's just silly. My fiancé ordered his usual carnitas plate. He got boiled pork-not carnitas. He claimed his beans were unflavored. Womp.
12,"Note: this review is for Taco Tuesday only.Went here for Taco Tuesday. $2 for really small tacos (single shell, but the meat was good), $4 for beer (bottle, not draft). Although I haven't been here for any of the other meals, this was not the best Taco Tuesday experience. I feel the price was not representative of the value output. There are significantly better Taco Tuesday alternatives out there."
