,review_text
0,"Oily, oily, grease! Super overrated- will not be back! I have gone here twice and know it was not simply ""just a bad slice."" The pizza is so greasy, it's hardly edible in my opinion. There is thick layer of grease on top and bottom of the slice. I wiped off as much as I could until I ran out of napkins. If that's what 4000+ reviews on Yelp enjoy, I won't stand in your way- Enjoy. I, for one, and my BF who agreed, will not be joining you again."
1,Of course it's a classic but lately egh! How many ingredients can you cram on one pizza. Stranger combinations doesn't mean better tasting. And they hand you the towel when you ask for a clean table so you can wipe it yourself. I know it's a collective but last time I checked I wasn't getting a cut of the profits. WipeYour own damn table.
2,"Yesterday was my first time trying Cheese Board Pizza because I saw all the wonderful reviews. I have to say that the pizza was delicious and loved the crunch of the bread. I ordered a whole pizza so that I could have leftovers for dinner. My whole perspective changed once I took a bite of my pizza (did not microwave) and found a long piece of hair stuck in the cheese. I was quite disappointed and disgusted at the same time. Sadly, I will not be coming back."
3,"Overpromised, underdelivered. Disappointing. Expensive pizza with a long line of cult bigots. Tastes just like any other pizza on a regular day, on a bad day it has weird toppings that just scream ""pretentious"". Usually closed during off-work hours."
4,"The pizza was advertised as having tomato sauce. It had none. I understand this place is generally sauceless, but you can't say the pizza of the day will have ""tomato sauce"" and then not put any in the pizza. I don't think this place serves ""pizza"", but rather, a ""cheese bread"", as most people know the definition of pizza to have tomato sauce.They have their own ""omitting sauce"" pizza style and that's totally cool, but please don't advertise the pizza as having tomato sauce and put none. That is uncool.The sauceless pizza we had was no doubt, still pretty good. This rating is for the lieee. I come to a pizzeria craving that tang and tart of the tomato sauce. Also, no ranch? Your ""pizza"" is a cheesy garlic bread/flatbread. Some tasty buttermilk ranch is necessary in that case! What's up with thattt."
5,"I had very high expectations for this place since it was recently voted as America's finest pizza. Outdoing Chicago and New York (surprisingly). Perhaps I came at the wrong day and time but the pizza was very basic to say the least. The only that that made it edible was the fact that I accidentally poured the entire chili flakes onto the pizza (someone had apparently not screwed on the cap tightly and it came off as I was using it) and dipped it in the pesto salsa. The pizza toppings that day were: cremini, oysters, mushroom, mozzarella, baby dino kale, caramelized onions, parsley, oregano, garlic olive oil, and cave aged gruyere. I saw and tasted one oyster in the entire pizza (bought an entire box). It was very disappointing. In addition, the pizza was hard and very uncomfortable to chew. The pizza seemed to be old (from earlier that morning) since I came during the second opening (4:30-close) and that they had just reheated it in the oven. The crust was so hard that I had to throw all of it away and I usually love the crust. Cheeseboard reminds me a lot of Sliver which I find is a lot better than Cheeseboard. They have lunch specials, a bar, and a lot more seating inside and outside. Cheeseboard is so overrated. Plus, they're closed on Mondays in addition to many other restaurants in the Bay Area and that completely bugs since people still ho out to eat on Mondays. However, the pesto salsa is beyond AMAZING and I'll probably come back just to buy some for home."
6,Over rated pizza. There are plenty of places in Berkeley where people can eat a better pizza.Cheeseboard Pizza didn't impress me at all with the quality but what really bothered me has been the lack of attention to the customer. I would say definitely rude. I would have given 2 stars for the pizza and zero for the experience at the table. So I came up with an average of one. Won't be back anymore and my friends too.....
7,"After living in Berkeley for so long, I was excited to finally try the Cheeseboard that everyone talks so much about. Maybe my expectations were too high coming in, but I thought the pizza was way overrated. Today, the daily special was the asparagus, mushroom, and mozzarella pizza. When my pizza arrived, I noticed that it looked just like the pizza at Sliver would look like. After taking a couple of bites, I noticed how bland, cold, and rubbery the pizza was. Now that's significant coming from me because I'm the kind of person who is normally not into strong, salty flavors. However, Cheeseboard's green cilantro sauce was very tasty (the one thing that's better than Sliver's)  and helped balance out the bland pizza. Cheeseboard was an interesting experience. It wasn't terrible, but it didn't make me want to come back for more."
8,"For a 4.5-star Yelp reviewed restaurant, Cheese Board Pizza was disappointing to say the least.  If someone were to blindfold me and had me eat a slice for this restaurant, I would have said it was OK but it wasn't my favorite.  To learn that this is MOST reviewed establishment in Berkeley with a 4.5-star rating on Yelp is baffling to me.A slice of pizza from Cheese Board resembles closely to a cheese stick but with less cheese.  The cheese is essentially burnt on, which makes the slice crispy and hard, and the toppings are sparse and underwhelming.  I found the pizza to be really oily too.  Cheese Board is all hype and maybe a favorite with many UCB Yelpers because of its proximity to the campus.Despite the long line, it moves fast because they only serve one type of pizza each day.  In other words, you'll get your pizza handed to you before you even finish your transaction at the register.  It costs $11 for half a pizza and $22 for a full pizza.  Maybe the rave reviews are from those who think the prices aren't that high but the pizza was seriously underwhelming and I doubt I'll ever return again."
9,"Meh, maybe I'm just a snob when it comes to pizza but this is just... okay. Every time I've gone there and tried the different slices of pizza they have everything is always oily and over saturated with moisture. The topics are usually average in quantity but most of the time I've had a single piece of potato on the top of a slice and thats it. I don't know, I'd take Zachary's over this any day of the week. That's the true Pizza spot of the East Bay in my opinion."
