,review_text
0,"Soooooo rude. Both women didn't say a single word to me. I asked for what I wanted and the lady rang up my order and just said the total while the other boxed up the dessert. The lady at the register turned the screen toward me to sign the screen. After I signed my signature she handed me my card and I said ""Thank you"".  In a low voice she said ""thank you"". If I didn't say anything she wouldn't have said anything to me. There was no greeting, or can I help you, nothing from either of the two. They seemed like they were miserable and I must have been bothering them. Why would anyone want to pay someone to treat them like that? 1st and last time ever going there. Beware if you want to be treated like a paying customer that is appreciated and supporting their business. If it doesn't matter to you then stop by for the slim pickings of variety."
1,Cakes 4 starsServices 0 star.I went here to get my husband's birthday cake but my husband and I were totally unhappy with their service. I just don't know why they were so upset.No smiles. No greetings.Cake isn't too bad though but we won't be back.
2,"Cakes = 4.5 stars. Service = -3.5. Net = 1 star.Really? How complacent could you get that it takes 30 minutes to move a line of 3 people? I saw the person (owner?) taking the order was multitasking so much that it took him literally 15 min just to slice a piece of cake & he seemed to be having sadistic pleasure while looking at those waiting. This is after making the order...after standing in line for several minutes. So you can't even turn back.And running out of most everything at 1pm?A slice of cake (a sliver of cake to be precise) for $6?And that blond female store clerk with the poker face who looks like she would die on the spot if she smiles? No matter how good you bake, things are going downhill if you continue this stinking' bad service and act like CAKE NAZI."
3,"I would give them NEGATIVE stars for their service, ONE star for their cafe, and FIVE stars for their cakes. First the good news: their tea, cakes and rugelach are OUTSTANDING-- nobody does it better in the Bay Area.  I have ordered multiple cakes from them and they are all fabulously rich, authentic, and made to order.  If they have any rugelach in the afternoon, it's perfect, though the size varies considerably and is a little on the small side for the price.  However, from my first encounter with the staff a year ago, I have only witnessed rudeness, indifference or actual disdain for customers.  It doesn't matter who you are, how much you are spending, or whether you ordered in advance: the staff of this bakery seems to hate its customers. Why are they hired in a service capacity? Is the owner similarly nasty? Today was the worst yet.  It took me about 25 minutes to drive over and arrived around 2:30 pm.  I had to finish a phone call so sat in front, knowing that their hours (posted online and on the door in front of me) indicated that they closed at 4 on Saturdays.  However, sometime between the time I parked and when I got to their door, they added a sign that said ""Closing today at 3:30"".  When I entered at 2:50 pm, the ENTIRE shop was already wiped clean, all shelves empty, NADA for sale anywhere.  I asked the sullen face behind the counter ""There is nothing here?""She said ""No. We're all sold out.  It's Saturday. It's always like this.""Hmm.  I understand that they are closed on Sunday, but really?  They can't or don't make enough to have a few cookies for sale in the afternoons before a day off? The counter person did not apologize.  There was no ""Sorry"" or ""but we could make you a cup of coffee or tea still?""  No.  It appeared that the she and the people behind the counter resented anyone who had stepped into this shell of a bakery.  I walked out, and then remembered how strange it was to see other workers on weekdays sweep angrily around the tables when they're occupied and people are still eating or sipping their tea when there is still at least one more open hour.On the other hand, if you don't expect a normal relaxed and inviting atmosphere, or basically ANY kindness or warmth from the humanoids behind the counter, AND you come early in the day, maybe you'll get there when there is  still something to purchase in one of the cases.  Then you'll get a taste of some of the best cakes outside of Prague, Vienna or Bucharest."
4,"Wow. The waitresses here act like you owe them money. Hey, I already paid for my cake ok? You can smile..."
5,"I came here few days ago to buy cakes but the service was poor. No greetings, no smile, no thankyou. Wont come back here again."
6,"Im here at 3:55 and its fully closed.  Annoying to say the least.  It's ok though, the owner looks like he gives zero phux"
7,Secret frequent buyer reward system! Only learned about it because a regular in line in front of me claimed a reward. They said it's new when I asked about it. But I was in yesterday and could have gotten credit for that purchase if I had known. Great food but this is really crappy.
8,"I have to agree with the other Yelp reviewers who found the staff cold and rude.  My friend and I stopped in for coffee and dessert on a cold, rainy day, and sadly found the mood inside matched the weather outside.  The desserts we got were OK, but not remarkable in any way.  Perhaps we visited them on a bad day, but the reviews mentioning unfriendly service are spot on."
9,"RAGE. I feel utter rage. They literally sold me HALF a cake. Literally. For my bro's 16th birthday, I ordered their flourless chocolate cake. It's gonna be a small party so I get the smallest size. The lady on the phone says, ""oh it's gonna be half the sheet"". Ok, that's fine. Or so I thought. Actually this is a cake with raised sides. And when they cut that cake in half, they don't add a fourth raised side. WHAT?!?!! It's literally HALF a cake!!!!!!!!You can imagine my face when I go and pick up the cake and they present me with the half cake. And you know what the girl says? She says: you know, I often feel like people put too much focus on the look. YOU DON'T SAY?!!!??  I paid you $30 for a teeny tiny cake and you don't think the presentation is important???!!!RAGE. I can't give my bro a half cake for his birthday so I had to pay another $30 for a small WHOLE cake. That is the last $60 I will spend at this bakery again. Makes me so sad. They really are very good at making cakes. But so utterly terrible at taking care of their customer.(And to add salt to the injury, I paid them $5 to inscribe ""16!!!"" On the half cake. $1 a character!!!!)"
10,Wanted to like this place.  Rude and aloof staff made me feel uncomfortable.  Just walked out.
11,"Their pastries and cakes are usually tasty enough but I can't get over their consistently rude service. With so many talented bakeries in our area, I'll go somewhere else. It's rare to be welcomed into the store or to get a thank you upon leaving. If you ask about their selections, your response will probably be prefaced by a sigh and a rolling of the eyes. I have stopped in at Crixa intermittently since they opened as my mom's house is nearby and I've always felt negative about their customer service. I'll save my money a friendly, happy store like Sweet Adeline's."
12,I do not recommend this place. Below are my reasons why NOT:1. Service- HORRIBLE! The girls who work there are horrible. Bad attitudes! 2. CAKE-  I ordered the AMARETTI CREAM CAKE for my husband's bday- the frosting made us sick! The cake was bland. Nothing special at all Don't go here! Bundt cakes in Emeryville is WAY BETTER!
13,They have good cakes - hands down delicious. Their coffee drinks are very tasty too. I stopped going because the service and interaction with the staff is absolutely horrible. I can speak from multiple occasions now that every time I left the store I felt I paid way too much money and was treated very unfriendly almost rude. I agree with other reviewers - they are overpriced and I rather bring my business someplace else where I am treated nicely as a customer.
14,"I used to live in close proximity to this bakery and I was drawn to it based on the unique selection they offered and the fact that their website lists all the menu items sold that particular day (I would decide to swing by based on the daily menu). While a few of their items were undeniably delicious, Crixa Cakes is lackluster even though they have a story behind the store name, stories of cake descriptions, and a cool rabbit trademark to go along with it.Standout items (+):1) Walnut Slice - my absolute favorite in this bakery. People wax on and on about Fatima's Thighs and Florios, but this is the best flaky pastry in the house. It comes with these plump, juicy golden raisins and walnuts flavored with vanilla and lemon. It is a little reminiscent of a walnut baklava but better!2) Poppyseed rugelach - rugelach can easily get a little dry, but this one was buttery, flaky, and the honey gave it flavor. The other plethora of treats I've tried were not as mindblowing. Cakes - really fresh with a spongy consistency, but lack flavor. All their cream is  tasteless albeit whipped nicely.  This is A-OK for light cakes like the amaretti cream cake but doesn't work at all for their black forest cake. Even their pave and bourbon cake don't have that rich chocolate flavor. Their individual cakes, on the other hand, like the Carmella and the Boston Cream Pie taste very heavy. The fact that the cream is a lotta fluff and no stuff is a qualm I have across the board with their other items as well. Their version of St. Honore Cake, which I was excited to try had an overly saturated sweet coating and was woefully small in size. The ""Kremes"" or napoleon looked fluffy but instead of layers of pastry and cream, you get one HUGE rectangle of cream sandwiched between two thin wafers. There's also a great size discrepancy between each napoleon. Same goes for their bread pudding.Some of their workers are friendly; some are grouches. I've always had trouble with their customer service when pre-ordering a cake to have it inscribed. Not the most helpful. Overall, I feel most their products are not worth the price, and I haven't even bought their $5 seasonal cookies before."
15,"I tried three items, all of which were meh:The pumpkin pie was very mushy, almost to the point of being a puree.  And the flavor was bland: yelp.com/user_local_phot…Not nearly as good as Beckmann's version.The chocolate bourbon cake had zero bourbon flavor to it, and the texture was a very dense one-note for both the cake and frosting: yelp.com/user_local_phot…The amaretti cream cake was very light, but it lacked flavor: yelp.com/user_local_phot…"
16,"What happened Crixa Cakes? I've had the bread pudding here many times over the years but yesterday, the cake was awful!!  First of all, it was overly drenched with custard sauce and the cake was complete mush.  In the past, the cake actually tasted like cake and not like baby food.  The aggressive soak of custard actually ruined the flavor and all I could taste was sugar.  Also, the person in charge of slicing the cakes cut the cake up in different sizes.  I bought two slices (both about 4.65 each) but one slice was about half the size of the other slice. The peach/raspberry pie was good.I noticed new faces in the bakery.  Quality control needs to be increased.  Mushy disproportionally sized slices of cake is not going to cut it for me especially not at these prices."
17,"Cakes were good a bit on the sweeter side. What I didn't like about this place are the workers. They are unfriendly, not smiley and made us felt unwelcome. We had order a few different items for 4 different people so we ask to have our goodies packed separately. They reluctantly packed it separately and repeatedly ask us if we are sure we want it packed separately in a rude voice as if it was a huge hassle. Why so upset with packing it separately? If we bought our goodies separately they would have to pack them individually anyways. That was such a turn off. I will not return to this bakery."
18,"Well, I am going to rain on this 4+* parade. Went there for the second time today (around 1pm) because I think they make decent cappuccinos and their baked good are delicious.When we (wife & I) arrived, there were 4 people behind the counter. One woman at the register taking an order for a custom birthday cake (I.e special greeting, etc.) with a customer, one person washing dishes and two other people literally standing around looking bored. Neither of the two available people made an effort to acknowledge our entrance and just stood there doing nothing.I finally asked one of them if I could order. I was told NO, I had to do that at the register. (which, if you haven't been there is all of 2 feet away).  I waited another few minutes and asked again. Again I was told NO, all orders had to be placed at the register. I pointed out that the only person working the register was taking an apparently complex order. At that point the woman at the register turned towards me and sternly told me that was the way they ran the business and I would just have to wait.Well, they are entitled to run their business as they please, and I an equally entitled to go elsewhere, which I immediately did. As we left I glanced at the two, apparently useless, employees and they were still standing there staring blankly out the window.C'mon, you can do better than that. Even if you don't give a damn about me, you don't have to be so blatant about it.BTW, note thie scores are trending way down for the past 2 months. Maybe something happened?"
19,If Yelp had a 0-star rating I would select that option but since 1 is the lowest it goes here's your 1 star. Super rude staff. I tried to order on the phone and I understand that they can get busy but did not want to help me in the least bit.Never ordering from you guys again.
