,review_text
0,"Ippuku means cigarette break or to take a short break in Japanese. Fitting, since after eating here, I felt like a cigarette because the food was overhyped... and I don't even smoke. I wonder what long break is in Japanese (no-pick-u?) because I don't think I'm going back.After luckily finding parking in front of Sliver Pizza at 6 PM when the meters turn off, we were seated at the back bar where the cooking happens. There was a lame sign that said no photos, but we all know that rules are meant to be broken. And it's not like izakaya food is some sort of trade fu*king secret. SMH.The wife and I ordered the famous/infamous chicken tartare, chef's choice skewers, grilled Hokkaido squid and some Asahis ($8).The chicken tartare was interesting with its rubbery texture, but is not something I ever need to try again. I now know that I prefer steak tartare and would rather brave Mad Cow disease over salmonella any day. Our chef's choice chicken skewers were not inputted into the POS (point-of-sale not piece-of-sh*t) system by our server due to some sort of lost in translation error. It was not until the squid came out that we were like ummmm what the heck? No ""sumimasen"" from the server. Apparently, this was our fault?The squid was good, but the sauce was a bit sad. Japanese MSG mayo and some grated daikon.  I think a little yuku kusho might have been better? When the chicken skewers finally came out, the server explained briskly what cut of chicken each skewer was. I honestly could not understand her EngRish. This was probably why the order was not inputted in the first place. The wings and gizzard were obvious, but the other cuts were a mystery. Again, Ippuku undercooks their chicken on purpose so be prepared for a rubbery skewer. By this point, we just wanted to GTFO.Maybe in the Bay Area this is a 4-star place, but compared to other izakayas that I've been to, this place is overrated and the portions are really small. Don't get me wrong, Ippuku shouldn't commit seppuku (ritual suicide) or anything because to a Berkeley student it must be some awesome exotic stuff. However, to me, it was unimpressive. Seriously, went next door for pizza and beer to satiate my hAnger."
1,"This used to be my fiance's favorite restaurant, but the food was just okay this last time we went. The shiitake mushrooms were burned, and the tofu was bland. The wagyu beef was not worth the money. Chicken meatball, hearts, thigh with leek and bacon/mochi yakitori were good. The biggest turnoff was the terrible service. My fiance and I and our two friends at our table ordered on separate bills. My fiance and my food came out at an okay pace, but our friends' was slow and one of the dishes they were waiting on possibly got misdelivered to another table. Our waitress never brought the raw chicken menu we asked for, and she disappeared throughout the entire service. On top of this, the food is expensive (it has always been expensive but was worth it before). The atmosphere, however, is unique in the Bay Area and feels authentic."
2,Man what a disappointing experience. Got a reservation to bring the wife for her birthday. Sit down and look at the menu. We pick out about 15 things we want to try and ask the waitress if we should just order a few at a time or if we should order all at once and she can make sure everything is spaced out appropriately. She assured us that she would make sure everything was spaced out. 10 minutes later every dish gets dumped on the table at the same time. We got to enjoy about 3 of them while they were still hot. Everything else was cold. Cold fried and grilled foods are not good. The food was probably great while it was warm. I complained and they seemed sympathetic but gave it an oh well attitude. Spent $100 on a bad meal. I strongly recommend avoiding until they figure out the service side of the business.
3,"Went there on a Sat evening without reservation and got seated by the kitchen. We went after reading NYT 36 hour travel page and therefore had high expectation of the exotic plates they serve. We ordered Michi wrapped in bacon(unimpressive, didn't taste mochi nor bacon), corn frittata(good), halibut sashimi style(good), chicken heart skewer(chewy and no taste), grilled squid(small squid and tasteless), Japanese whisky cocktail called Iwai Kuro(good). Shishamo(so so). Overall, service is good. The restaurant is small but interesting. Food quality is mixed, portion is small with not small price tags. Too bad we were not impressed."
4,"Before all these izakayas opened in Sac, I had bookmarked Ippuku for a while. There is no sign outside that states the name of the restaurant, so at first I was wondering if we were at the right place. Make reservations! Even though it was a weekday, we were told it was a hour and half wait for a table. Luckily, there was an open spot right next to the entrance. I loved the ambiance- great place for a date. There were several seating arrangement, including booths and tables where you took off your shoes and sat on the floor. Signs posted discourages photos, so I didn't take any as it was dark anyways. Before eating, we were given towels to wash our hands with.Now onto the food... As an appetizer, we were given cabbage salad. I really wanted to try their chicken tartare, but it's only available on certain days. We ordered: karaage (deep fried chicken), bacon wrapped mochi, dungness crab croquettes, grilled rice balls w/ tare, and squid ink fried rice. The chicken was my favorite, crispy and tender. The rice balls were my least favorite as I wished it was filled with something. The most interesting dish was the fried rice. I've tried squid ink pasta before, and was looking forward to their fried rice. We all enjoyed it, but agreed that it was salty. So the reason for the 2 stars, is the $7 per person table charge as gratuity. Unless you order a lot of food, that is rather steep. It ended up being more than a 40% tip. It's more reasonable for them to add a set percentage instead. While I enjoyed the food for the most part, nothing wowed me enough that will warrent another visit from me."
5,My friend Patty tried to make a reservation but was told they don't accept people in wheelchairs until after 9pm. It's almost like the independent living movement and the Americans with Disabilities Act never happened.  They have good food here but it's not worth the price of discrimination.
6,This place is HORRIBLE.The service is bas as FUCK. No reservation allowed.The servant always ignores any words from customer.
7,"Ugh, I always come back to places that I rate 5 star in my head, then want to leave a review and finally get a chance to after a 3rd or 2nd visit. And of course then the visit is totally different... oh Ippuku , why did it have to be you as well...So basically I've come to the conclusion that all the hot sake last time was the reason for my 5 star experience . Our server today seemed rushy and not too interested in us. We also came at 5:30 with reservations and plenty of open tables so being ""too busy"" couldn't have been an excuse.Dish after dish came out bland and blander. I was living off the soy sauce and dry peppers mixture with every bite to choke the food down. If you look you look at my first grilled squid picture u can see the second one has shrunk greatly in size . The tentacles were also so burnt and dry. The dipping sauce also tasted like it came straight from a Mayo bottle. Wasn't there a hint of lemon last time ?Chicken meatball was so wet inside the entire thing fell apart. Bacon wrapped mochi - I still like the contrast of the salty crispy bacon and the soft melted mochi, however, it lost its magic to me.Guy no Tataki - I felt sick later after eating this.Soba noodles tasted dry and grainy and the soup broth nothing special .Momo  - Yes it was chicken thigh, yes it tasted like chicken thigh, anything special? NO.We should have just left once we found out that there is no squid rice on Mondays or Tuesday's, just a cold buckwheat noodle in its place. Yeah not a happy camper .$82 later we are looking for another place to grab a drink and some snacks . We won't be back.For Japanese tapas go to Kiraku instead ."
8,"I'm a huge fan of Asian bbq, from Chinese to Japanese versions. However, though the food here is decent, it is not worth the price as well as the wait, unless you're here to get drunk AND snack. My review might be biased because of my numerous past experiences eating at izakayas in Taiwan that are much cheaper and more flavorful.The exterior and interior decorations of this place are very authentic, Japanese, and unique. It feels like I've been transported to Japan, with all the wooden materials, Japanese-style group seatings, and secluded couple seatings. The squid ink fried rice was the most flavorful dish of all, with a nice juicy, slightly oily texture. It might not be the best thing to eat on a first date. The bacon mochi was alright. It had a lack of flavor since mine had too much mochi and not enough of the crispy, flavorful bacon. The chicken heart skewer was delicious. The texture was chewy and the hearts had a smoky taste. The pork belly skewer was tender and juicy. I also ordered a few other skewers, but after a while, they all start to taste the same except for the difference in the textures. I also enjoyed the grilled squid, which came with a side of mayonnaise with spices mixed in. The squid had a nice charred flavor and was very fresh and tender. However, I recommend sharing this dish as it can get a bit monotonous to eat.Overall, this is a great place for gatherings and celebrations, especially if you want small dishes and good sake and mixed drinks. However, I must warn you that the prices are quite high."
9,"This review will be for two visits, rather 1.5 to be more accurate. The first was fantastic and the second not so much.Ippuku was on my list to try for a very long time and was ecstatic when I was finally able to dine there earlier this year.  The set up is amazing and made me feel as if I were back in Asia. My friend and I arrived around the dinner rush and the place was completely packed.  The wait time was roughly a hour but we were able to find a spot at the bar and proceeded to order both drinks and food.  Our order consisted of 2 omakase, large squid, (I believe) beef intestine, a couple beers, and four orders of Yamazaki 18. The total bill came out to approx. $375, $200 of it was the whiskey, and I could not have been more pleased. The food was delicious, ambiance was fantastic, and bar tender/service was great. Definitely a spot to come back to.Fast forward to this past weekend. I walk up to the bar before 930pm, with a close friend of mine hoping to get a quick bit knowing they close at 10pm, and was immediately rejected by a Caucasian lady standing at the computer next to the bar.  We were told the kitchen is closed however we can still have a drink for the next 30min prior to them closing.  I asked if they close the kitchen 30 minutes prior every night and was told not always, it depends. Very odd response since the restaurant was full, even odder when the (same) bar tender asked if I were staying for drinks and wanted to order food. Now I have plenty of friends and know the kitchen does close early but 30 minute prior with a full restaurant? Clearly she just did not want to serve us. Very disappointing."
10,"I went in with high expectations given the reviews. The night started with a 40 minute wait for the table that turned into over an hour, followed by decent but unremarkable food and dismal service. We had to give up on one of the dishes after reminding our waitress multiple times that it was missing. I won't be returning."
11,"Service: Horrible. Basically if you want a water or need some napkins it'll take you more than 5 minutes to flag a server down. Food: I expected something very delicate and delicious before going in. Unfortunately the dishes are only delicate but nowhere near delicious. I do not remember anything I ate for that night, because I didn't like any of them. There was one exception: the tofu. It was disgusting. I hated it. So much. Overall, everything I tasted/experienced warned me not to back again. I will NOT recommend this to anyone. I really don't understand why this place has four stars...I'd rather starve than waste my money here. For the record, I do love Japanese tapas and Kiraku in Berkeley is my absolute favorite."
12,"I wish I could say the food here was better than the service, but both were abysmal. We arrived early to check on the wait time. We put in our names and were told it was a 20 minute wait. After 30 minutes of standing around the bar, we ask how much longer the wait would be. They told us another 30 minutes.We waited for another hour before finally being seated in the back next to the grills which blew smoke all around the area.The service was nonexistent. The food was pricy, but understandable if it was good. Unfortunately, our grilled squid arrived burned and cold. The chicken gizzard was also cold by the time it arrived and did not taste fresh. In fairness the Mochi wrapped in bacon tasted fine.The worst part of the evening was when we FOUND A BLACK HAIR on our beef skewers (definitely didn't belong to anyone at our table). The host promptly removed the plate and brought back the exact same two pieces on a new plate. Avoid this place if you dislike hair in your food and poor service."
13,"Horrible service. When you waited for 2 hours and the manager be like ""hey just leave I am glad you wait two hours but I am also glad you are not my customers. Not gonna serve you this evening"". People just come because there is always a long line, but longer lines do not mean better food or server attitude. Funny and pathetic how people get easily influenced by things that appear on the surface."
14,Underseasoned. Too much mayo. None of the desserts were available.I was looking for creative cuisine and fresh flavors. That did not happen.I couldn't wait to leave. Go here for the chicken. Get some sake or beer.Enjoy the atmosphere.Leave it at that.
15,"Lack of reservations: 5 stars. yayRidiculous amount of no cellphone signs: 5 stars-- there was one approximately every 2 feet. Like geez, we aren't actually in Japan. You cute lil pretentious restaurant, you~~~Efficacy of the signs: 2 stars, see Photos sectionVibe: 5 stars. Amazing. Really like the decor and booths and stuff.Price of the food: 2 stars. Spent like $70 and I could've eaten a bowl of ramen and some appetizers elsewhere for $15 and probably would've felt just as/ more satisfied.Pork belly: 4 stars. Tasty. Warm. Juicy. A+ but you know, there were 4 pieces for $$$.Fava bean thing: 1 star. Why did we get this? This was so mediocre. And it was still $$$.Musubi soup: 3 stars. Tasty. But I can grill a musubi and put it in some broth at home for like $5.Grilled mochi w/ bacon: 5 stars. Omggg very good. Still $$$. Gonna make this at home.Drinks: 2 stars. Mediocre. Not really flavorful-- I mean, I guess I'm not sophisticated enough. But the plum+sake cocktail that I had was pretty blegh. It was like drinking watery alcohol with some ume pieces and residue at the bottom. And $$$.Honestly, it's just hyped up. It's good. But like, I'm tired of hype-y expensive Japanese food. Like how dare ya'll grill two rice balls and charge $7."
16,Very Rude!!! Won't return to this place. Turned me away when I asked for a single seat even though they had available seating. Lost a good customer who doesn't mind spending a lot for good food. Disappointment!!
17,"Took our name on the list and told us no table available after two hours. Didn't allow us drink anything while we are wait outside in cold weather. Super disappointed, and will never be their customer ever again."
