,review_text
0,"No greeting when I stood at the door; walked to the front and had to ask if it's self seating and picked up a menu. Initially ordered the egg noodles with chicken then I cancelled and got the mixed skewers with a side of rice.In my opinion, neither the chicken nor the lamb had much flavour so had to use much of the hot sauce and peanut sauce to experience something. Perhaps the noodles would have been different?What bothered me the most was that considering I was sitting at the table right in front of the register (where the two guys and lady were standing), no one ever came to fill my water or to ask if I was good.All in all, for me this was a one-time-try."
1,"We have tried twice to eat here.  Both times, upon our arrival, we see a sign on the door that they're closed for a month.Do they take a lot of vacations, or do we have a knack for coming at the same time, once a year?"
2,"Food taste not bad, particularly if you are into spicy food, but the menu overall is overpriced. Moreover, both the service and sanitation are getting worse and it took quite a long time for our order to arrive even though more than half of the seats were unoccupied."
3,"I was so excited to try this cuisine. I was exploring Berkeley and I was extremely hungry. So I thought this would be great! But probably the worst dish I've ever tasted. The dish was called Oseng Oseng Tempe I believe. Do not order it. Waste of money! I would rather eat any fast food restaurant food than that dish. The dish was so oily, greasy, and tasted gross. I literally felt I was drinking oil. Almost had no flavour what so ever. I couldn't even finish half of the dish. Felt horrible for wasting my money on this. Ruined my appetite and my mood. The only plus was the lady was nice."
4,"Heed the warnings of us poor, lost souls who came during busy hours. We didn't read the other Yelp reviews and we paid for it.I went in a party of four on a packed Friday night. Everything went fine until we placed our order. Two dishes arrived relatively quickly. The third dish arrived maybe ten minutes after. The fourth?* 10 minutes pass *""Hey, do you know what the status of our fourth order is?""""Yes. It's done.""* 10 minutes pass *The other dishes are cold, but no one wants to start eating until the fourth dish arrives. I flag down the waiter again. He looks at our table, goes behind the counter, and hands us a drink. This isn't some conciliatory gesture though; this is a drink that we ordered and forgot about after waiting so long. The waiter assures me that he hasn't forgotten about our order.* 10 minutes pass *An employee watches our table, wondering why we're taking up important seats without eating anything. I look at him. He looks at me. I look at him. Something clicks. He goes back to the kitchen and angry yelling in a foreign tongue emits from the back.The last dish arrives about 30 minutes after the previous dish. At this point, the first two dishes have sat out so long that they've become sentient, cold-blooded things.Food was decent but overshadowed by the service. We then asked for the check. We try to split the check but are told that it's impossible because writing two checks takes too long and we've been in the restaurant too long already (???). Fine. We go up to pay and the cashier asks us what the check says because the handwriting is illegible. Someone in our party has an aneurysm.At least we got a good story out of it."
5,"We went here on a whim a couple weeks ago. Wished we didn't. I figured there might be some obvious delays in service since it was the weekend, peak hours, and they were packed, and sure enough, it took a while not just to get seated, but also to put in our order. ""Oh well,"" I thought. ""The food will make up for it.""My husband's order came cold (...yep), and by the time he'd eaten all he could stand to of it, it was apparent that my order had been completely forgotten, and that it wasn't coming at all. It was busy, remember, so waitstaff were rushing around and it was hard to get a hold of someone. In the end we just asked for the check, turned down the offer to get my order made (we'd already been there for like an hour), and then left. My husband said his order tasted okay, other than it being cold. So maybe, if the stars align, and the kitchen can get you your food, and do so in a timely manner, this is a decent place to eat at. I'm not too interested in finding out, though; won't be back."
6,"Food honestly was fine and would have given 3 stars for that. However, my sisters water cup arrived with a large purple lipstick mark on the rim. I was able to easily mark it off with my finger showing how fresh it was. I told the employee while ordering and he brushed it off while taking order and took away the cup without apologizing. Fine. We ordered mie goreng noodles and fried sweet chicken. Didn't compare to food in Indonesia but it suited the cravings.Waiter now brought another cup promptly which had white crust attached to inside of the rim so I stopped my sister from drinking it. It was clearly not properly washed. I had given up hopes of drinking water here.We have had food in a lot of street side places in Asia etc so as long as food was cooked, we figured it should kill off anything and be safe.  Needless to say, this is not the sort of thought process that should be happening with a restaurant in the US. Food was fine but just the thought of those cups makes the place unappetizing to think about so won't be coming back."
7,"Came here with a friend. We found a curly black hair in our soup (which was definitely not ours, as neither of our hair matches that description.) When we brought it to the attention of the waiter, we didn't get a single apology; he shrugged, smiled, and said ""What're you gonna do?"" We told him we wouldn't be back. When he brought the check, he said ""you don't have to pay. You also don't have to come back.""Very happy not to."
8,"When I first ate here(around 1 year ago), the food taste amazing. However, the food does not taste the same anymore, especially the mie tek tek. Service is bad here. Today lunch special is not served because there are a lot of people. However somebody who comes after me is able to get the lunch special after talking to the chef. It is such a shame that I have come to hate one of my favorite Indonesian food restaurant in SF bay area."
9,"So I'm a big fan of Malaysian/Singaporean food and especially murtabak and mee goreng. I had the murtabak with beef, it was such a disappointment, the beef was corn beef, egg inside too cooked and the dough was the crispy one used in spring rolls not the soft dough like in naan/paratha. Also it is traditionally served with a sauce, didn't come with this one. The price was very decent (around $5 for 2 pieces) but it's still deceiving not to get what you paid for.The nasi I took (#32) was with BBQ chicken, it was good but there was too much peanut sauce.Service was alright nothing to add 1 extra star though. Also important they say it's Halal! Which is also the reason why I went there.I won't come back as the food wasn't worth the trip to Berkley."
10,"This place is kinda over rated.... I believe I've tasted better laksa elsewhere.. Kinda disappointed when the hype isn't real.We ordered a few other things, but nothing stood out for being rated #1 :(. Yelp fail."
