,review_text
0,"Great food and beer... BUT...The bouncer/ door man was trying to pick up on my girlfriend as we walked in...Took my ID... look at me then look at my girlfriend in back at me and laughed and said ""you need to get your girlfriend away from me she's way too pretty."" While uncomfortably staring her down maintaining direct eye contact... No laughs, no joking, no compliment... Dude was trying to run game. I told him I'm the luckiest man in the world and he rolled his eyes at me as we walked in and kept staring at my girlfriend.As if this wasn't enough great ""customer service, the experience got even more awkward. There was a live band outside and I got up to dance! Yayyyyy right? Our food runner, some guy with a big beard , who was being condescending to me all night waiting for me to get up and leave the table and told my girlfriend. "" I think you are so pretty, but let's just keep that between me and you"" ... Wow.On the way out the same bouncer locked I contact with my girl as soon as we walked out of the door in the hallway waiting for her to walk pass and stop me and asked if I was still the luckiest man in the world? I told him yes and I was blessed. He then focusesed his back on my girl and said ""lucky, blessed...wowwww""Thanks for being complete creeps instead of doing your job and letting us go again. Needless to say we will not be going back and going to one of the many other places where we actually feel welcome and arw note with thirsty lustful men. Sad... I really liked this place. Bye Bye Jupiter, please train your employees to be more respectful, welcoming and kind."
1,"Came here on a Friday night. The atmosphere was nice. It was self seated, so we chose a table indoors. They have an outdoor patio with heaters. Restrooms along the hallway. Bouncer in the front to check your ID.I ordered the Jupiter Hefeweizen, safe choice one might think. It was so awful. For $7, it did not taste anything like a hef, more like a bad ale or the bottom of the keg. My friends agreed with me too. That beer just ruined my experiences and expectation of Jupiter.I would come back again to give it another try. Maybe just stick with food instead of beer."
2,Crappy service. My wife an I sat in our table for more that 15 minutes never got our order taken while the family that came 10 minutes after us got their order taken as soon as they sat them down. We decide to get up an just walk out this place sucks
3,Pizza was amazing! CUSTOMER SERVICE ONE OF THE WORST. Seating is first come first served. There were at least 6 waiters mingling by the cash register in the outside area by the fire pit. I was sitting down for 15 min before a waiter came over to hand us menus. Another waiter came over 10 minutes later to take our order. This guy had zero personality. He didn't even smile when he greeted us. Management please train your employees to keep socializing with coworkers to a minimum and spend more time actually interacting with customers. Won't be back no matter how good the pizza was.
4,"Great food but terrible service. Being a waiter is a difficult job, especially if you are working on a Sunday, so I try to be a polite customer and understand if waiters can be a little curt at times.My server was rude in leading us to our table and serving us drinks. But he crossed the line when he hit me as he was walking by. It was his arm, so he must have felt it, but yet he did not apologize. That said, the food was great. Simple and delicious. But I will not be coming back because of the service."
5,"Worst. experience. ever. I was pretty hyped about the place because a lot of friends liked it and the ambiance looked amazing. My girlfriend and I were on a date night and when we got here there was no waiter to direct us where to go. So we just kinda awkwardly sat down in the patio area and waited to order. It wasn't even a particularly busy night and there were plenty of waiters just standing around chatting with each other and the bartender outside on the patio. After an eternity a waiter comes and literally just tosses us two menus and walks away without asking us anything. Fast forward 20 minutes later when we finally got our order in, our waiter actually sneers at the two ladies who just sat down next to us after looking equally confused about the lack of direction. The food was mediocre at best. We got the pizzas which had no flavor and were mostly just dough. I had to pour so much of the seasoning onto my pizza that i may as well just have ate the seasoning by the spoonful. The soup of the day was lumpy and also likewise bland. I thought ordering our food and getting half assed service was bad, but paying was an entirely different animal because at that point both of us just wanted to leave and continue the night elsewhere. We literally watched our waiter walk around doing nothing and chat with all of his friends despite making eye contact multiple times with us signaling we were done. I didn't know that paying for food could be such a chore. To top all of this off, the people playing live music were absolutely terrible. Volume was turned up way too loudly that no one around us could even talk over their meals and they were honestly just banging random keys and various percussion instruments. There were about a grand total of two people who clapped for this ""band"" the rest of us were just thankful they finally stopped playing. All in all a really awful experience and Jupiter gets one star for instagram worthy ambiance."
6,WARNING! Check your Bank Account after you leave this Clip Joint! This place uses unethical practice's . I was in their on July 15th and paid the bill with my Debt card. I left a cash tip. A few days later I was online checking my account and my server J Llach looks to take it upon himself to add a tip of $6.00 to my bill.. WTF!! Pay by cash or you are going to get ripped off! Will be contacting the BBB about there shady practices...
7,"This review is not about the service or the food, since I could not try any of those. This review is to let people know that the hours posted on Yelp may or may not be accurate. The kitchen closes at 11PM according to the doorman, well before the 12:30am posted time. And the bar closes as needed, depending on how busy they are. This is fair, but still not the advertised hours."
8,"We decided that we wanted to try this place out while we were visiting Berkeley. Bad idea, the place was packed. we didn't see a hostess anywhere so we sat down. Then the hostess came over and said there was a 40 minute wait ( I didn't see anyone waiting)  and that we should go outside. We went outside and there was nowhere to sit, so we left. We felt pretty dumb and awkward, looked like a cool place though. Oh well."
9,"Honestly, if you ain't drinking don't come. Don't bother for food. We got burned wings, told our waiter, then got raw wings. Cherry on top, waiter got the nerve to ask about her tip. Yo, food service was wack. Don't bother please."
