,review_text
0,"Truly one of the worst restaurants I've ever been to. First they ran out of Sapporo, secondly they ran out of RICE (how?), lastly they tried telling us there was a $15 charge per person- there were 3 of us and our bill was $28 because everything we ordered had rice and we weren't able to order half our appetizers or any of our entrees. Oh and the octopus appetizer we ordered was disgusting. My boyfriend actually choked and spit it out in a napkin. Service was incredibly rude and I will never come back."
1,We had a 7pm mid-week reservation. They obviously don't actually reserve tables because they told us there were three other parties before us (but only after we waited for 10 minutes first).
2,"Came here for the 4.5 star rating, but I think it's definitely overrated.The only good food I had here was the salmon sashimi and corn tempura.Most stuff were around average, grilled cod was okShrimp tempura and grilled squid were bad."
3,"I have no idea how this is such a high rated place. The two stars is for the friendly staff and the green tea ice cream. Otherwise i spent $90 (including tip) for two of us to eat, hated all the dishes and left hungry. I even did my research on Yelp and read reviews on what to order and maybe it's our palate but nothing that was recommended was good. We got the fried corn cakes, spicy tuna tartar, salmon sashimi (only solid food I ate and liked, nothing out of this world though), pork belly ramen, fried chicken nuggets, rock shrimp and green tea ice cream. All of it was either too greasy or flavorless, minus the salmon sashimi and green tea ice cream. I'm glad I tried this place as it has high ratings but I won't be coming back. Street parking is available."
4,"First time here. Let me just say that I am not a fan of Japanese food; however, my family loves it. So often times,  I follow them to whatever restaurant they go to. Whenever I do go to a Japanese restaurant, I usually only order all the cooked stuff for myself. The stars is solely based on my udon and the udon only. Everything else besides my udon, my family says it's good."
5,"This review is for customer service only. This place is very pretentious. I walked at 5:25pm, 5 min. before they open. I went to use the bathroom. Afterward I sat at one of a single tables near the window. The place was still empty, only me. The staff asked me to get up and go sit at the waiting area near the entrance on the cold day and the door was wide open. I looked at my phone it was 5:28pm, 2 min. before open. They insisted me to wait at the waiting area for 2 min. I should have left, but I was hungry so I waited out. The staffs were UNFRIENDLY, no smile and only interested to get you in and out as fast as they can have more turn over. Not sure if this is Japanese culture, but this is America."
6,"Sushi was alright, I've had better but I've had worse . I ordered a bowl with yellow tail that has rice and crab meat etc and there was a funky smell in the bowl which is a big turn off for sushi obviously. But the rolls were alright and edible."
7,"Don't bother coming here. The food is mediocre and NOT worth it. Ramen scarcely had anything in it; skimped on noodles, had 1 small bamboo sliver, oily greasy soup base. Meat skewer was blah. TERRIBLE,  terrible service! We weren't even there for 45 minutes and the waitress kept being pushy to get us out of the restaurant. Ultimately she told us she needed the table because people were waiting. We had only been there for 1 hour. Shocked at how rude she was. Never coming back."
8,"I agree with the other negative reviews.The sashimi was just ok, everything else was subpar.The food quality has gone down. We were disappointed that we had spent $110 dollars and of that $34 was for average quality and small portion of sashimi. The karage was way too saltyand tasted like it had been microwaved. It was chewy and way TOO hot. Chicken can't be that hot and chewy unless you microwave it.Oh and the food took forever to get served to us.The reason why we had gone often in the past 2 years is because it was very fresh on authentic Japanese food. But recently I don't think it is any different for all the rest of the Japanese restaurants in the East Bay.It seems that they are just too busy and don't seem to care about the quality of their food anymore. I suppose they just make their profits from the sake which the customers seem to enjoy. Another issue with Kiraku are the tables. Some couples who don't order any alcohol get a 4 top while others who want to spend money and have a reservation get wedged into a 2 top. It doesn't seem like they care about seating because they are popular. If they served good quality food and better services, we (2 people) could have spent more than $110 we spent that night (usually, we spend around $150+)However, we just decided to leave early even though we were still hungry. Overall, the quality of the food and the service was poor."
9,"Over rated.Food was decent enough but not good enough for the prices charged.DONT GET ANY SUSHI... I'm admit I am a sushi snob, but they served a 35$ 5 piece sashimi special that was clearly just old fish. Not the worst, but I'm just saying stick to the grilled and fried things. Textures were all wrong on the various fish too, indicating their age and mishandling.Best dish for me was the fried chicken cartilage ""nankotsu karaage""Service was pretty bad too. Sent back a sake but they didn't remove it from the bill. They try to get a Japanese thing going with the whole ""irashaimasen"" but they fall short so should probably just give it up. Overall the servers seemed pretty stressed and untalented... Which is no bueno :(All in all I'd say this place lacks the passion it needs to be awesome. Decor is good btw, so decent for dates, but it is in a sketchy part of telegraph, so keep that in mind.Ippuku still reigns supreme with kirala comming in a close but honestly terrible second."
