,review_text
0,How come my simple to-go order can't be prepared correctly? Is asking for pico de gallo too complicated? I'm tired of getting home to find out that my food was made incorrectly. I try to keep any additions simple. I think I forgot why I like La Mission. I'm finished hoping you'll get my order right.
1,"Taco Trek Lesson 3, THE TORTILLA. The CORN tortilla is the double-layered  backbone of the taco experience, setting the tone for moisture and texture throughout the bite. The flavor of the corn is the floor upon which the flavors of the meat, fat, and toppings dance the Salsa! When talk-talking tacos, there are two types of corn tortillas to consider: fresh-made and factory-made.* Fresh tortillas are rare. If you're lucky enough to find tortillas rolled out ON-THE-SPOT from a press, quality is a WRAP! Fresh corn tortillas are always perfectly moist and tender, and need minimal added fat. The experience is like eating supple wontons or dumplings; the fresh tortilla is as pliable as soft cloth, and the corn never wads up into dry unpleasantness in the back of your mouth. Fresh tortillas, however, have zero shelf-life, and thus we get to...* Factory tortillas, which are common. Tortillas made in a factory have added preservatives and binding agents that make them dense, dry, and disgusting -- but they can be made awesome again through the absorption of enough fat on a hot griddle! Simply steaming factory tortillas is UNACCEPTABLE to a tacossieur like me, because they get doughy and taste acidic. Automatic Taco Fail!* Pro-tip: You can tell the QUALITY of a corn tortilla just from a TACO PHOTO. :::: Positively Awesome: 1) Round corners at the folds, 2) Oil-stained, deep color, 3) some shine on the surface -- tender and moist, let's rejoice! 4) Greased spots of golden-brown -- crisped on the griddle to be chewy in the middle!:::: God-Awful: 1) Sharp corners at the folded edges -- MEH, mostly dry. 2) Light-colored, dry-looking surface -- cotton-mouth! Keep away! 3) Wet, doughy-looking surface (sure sign of gringo tacos) -- acidic YUCKTOWN._______ Strictly a review of La Mission's TACOS _______Tacos were sadly MEH-diocre. I suspect the overall 4-star review was was given by burrito-eaters that are HIGHLY FORGIVING of crappy meats. Time to take a BART ride to the Fruitvale for some real-deal taco trucks, my Gringos. Check out my TACO TREK LIST to get you started.3   M I N U S E S- FAILS de CARNESRemember, tacos are all about delivering delicious MEAT-DECADENCE into your mouth. No hiding the flavor of the meat with cheese, lettuce, beans, rice, guac, cream, etc. Pureza means PURITY!:::: Borrego -- MEH-EH-EH-EH. Lamb Barbacoa was gamy and dry. The marinade was decent, but not enough to rescue the meat. I had one bite of LAMB FAT that was great, though.:::: Al Pastor -- MEH'VERAGE. All around dry, barely tasted any pork fat. The shallow marinade tasted like mild Tapatio.:::: Carnitas -- GAR'MEHGE. Chipotle-vels of CarMEHtas failure. Didn't even taste like pork. More of a dry, cotton-mouthed protein filler. Awful.- BORED-TILLAS:::: Tortillas -- NEED LOTION. Dry, and in need of moisturizing from some oil. After 4 minutes, these unlotioned tortillas absorbed too much moisture, thus becoming doughy in places, and pretty gross. Folks who prefer flour tortillas to corn tortillas do so because of tortillas LIKE THESE.- GRINGOFIED MENUMeat quality is automatically suspect if certain authentic and standard carnes aren't on the menu: no cabeza, no lengua, no tripe... This probably means that the clientele is inexperienced, and thus these delicacies will go unordered. This probably also means that the meats that are on the menu aren't going to be that awesome because the aforementioned inexperienced clientele will not demand quality.2   S T A R S* STEAK'ED THEIR CLAIM:::: Carne Asada Taco -- PURDY GOOD. Although the morsels alone seemed dry, biting into a mouthful of steak produced lovely moisture, and smoky flavor.*(1/2) BRIGHT-EYED SERVICEWelcoming, attentive, and bright-eyed friendliness from everyone I interacted with. Thank you so much guys!*(1/2) LOVELY OUTDOOR SPACEBring your beer to the pretty lil outdoor space with a trellis for shade, and enough tables to seat about 20."
2,"Loooong, cold wait outside for this one. Had the fried plantains with black beans. Average taste and required some hot sauce for both items as the seasoning was pretty melow. Next we had the Mole chicken burrito. I guess having lived all over Texas I have been exposed to Amazing mole before. This stuff here doesn't stack up. It looked like they put maybe 2 teaspoons of sauce over the meat of the burrito. It definitely did not look like the dripping picture I saw on the ad!!!! Not worth the drive over from San Fran for this one."
3,Came here after a wedding and the guys that work here followed us out to our car and took pictures of our license plate as we were trying to leave. They were accusing us of knowing somebody else who they thought hit their truck. Not only will we not be back but we will be following up with this issue as this was completely uncalled for. One of the workers wanted to fight us. That's not how you run a business.
4,Stingy on meat in burritos ... Over priced... And I found a huge hair in between my burrito ...meaning they don't wear hair nets or they are very unsanitary .... Something just isn't right here .. this was my second visit and I'm highly disgusted now...
5,Place did not live up to the hype. My girlfriend and I were expecting really good Mexican food (she's from LA I'm from San Diego) but instead we got an average burrito and below average rolled tacos. In addition to that the prices weren't that great. Even the horchata was small and expensive. Disappointed and won't be coming back.
6,1 word. Terrible.  I should have noticed when it wasn't crowded.  We were extremely disappointed with this place.  Had a good experience there a few months ago.  Spent 33.00 on a carnitas steak beans rice and potato burrito and a barbacoa lamb Plato for the missus. The burrito had a little burnt Pork and uncooked potatoes with a little beans. The barbacoa was watery. Ate part of the burrito and threw it away the plato as the lamb was inedible.  We had planned to go to the Mexican store and deli across from the post office on San Pablo. Never again. Just plain awful.
7,"Extremely disappointed. I will not come back and would not recommend it.  I Spent over $5 for one taco that was normal sized. There was nothing great about the meat,  plus the tortillas were burnt and hard."
8,"My burrito was terrible, hands down. And, I had to wait over 15 minutes to get it. I have no idea why this place has 4-5 star reviews. Don't fall for the ratings."
9,"This place sucks. The mole entree, beans, and Jamaica agua fresca were all bad, all bland and lacking authentic flavor. Not sure who thinks this place is good - maybe people who have never tried decent Mexican food. Try Gordo's instead."
