,review_text
0,"Regardless of the over hour long wait, and the half hour wait for my food from when I ordered, this place is overrated. My friend and I came here for Sunday brunch and we ordered the brioche French toast and the oatmeal raspberry pancakes. The brioche French toast was okay, but definitely something you could make at home; the only redeeming factor to it was the lavender honey syrup that was on it. As for the pancakes, they did not taste like oatmeal or raspberry and for some reason they were blue (like they used blueberries instead.) Overall the pancakes were bland and the only thing that saved them was the raspberry blueberry compote (that you have to pay $2.75 extra for.)This place is definitely not worth the wait, but even with no wait, I would not recommend this place unless you like basic bland foods."
1,"2 stars is harsh, I know, but the only redeeming quality for me was our great waitress.Everyone knows the wait here is excessive but I inaccurately remembered it to be much more worth it. We were seated outside next to a broken heat lamp in the shade and it was SO cold. When I used the restroom, there was a lot of seating indoors so I have no clue why we couldn't just sit there instead.I ordered Les Oeufs Lucas and it was a blob of watery egg scramble and too many tomatoes. I was not impressed at all and wondered why I thought of La Note fondly in the past. Overrated and overhyped. Next time, I'll stick with Venus."
2,"Worst possible hosts ever. Show up and they tell you 45 minutes. 45 minutes later and they tell you 45 more minutes. This is the second Sunday in a row this is happened. Management - - you got to get a hold of these workers and tell them how to do their job. Also their demeanor is not pleasant in any way. Not professional. I was hoping that after the last time these two ladies would've gotten their act together but they haven't. Also the fact that it takes two of them just to manage this crowd!Apparently a new rule at this restaurant is no substitutions. I have always subbed out toast and instead gotten two slices of cinnamon brioche, even a month ago. No more. Why? I used to get two slices of the brioche instead of the four slices of toast, and that was perfect. I don't care if the waitresses knew, she needs to at least find out about what I am saying has been done in the past. Unless they have changed the rules.As most other reviews state, all the food is exceptionally good."
3,"Its been a while since last time, so bad slow service with bad White staffs. drinks menu comes from the bar, so lazy without guidance. The hostess don't know what to do with incoming flocks of ppl. bad floor management. please, get better. I would love to support local services with history. but this is so unbearable for the price."
4,"I'm baffled by these reviews. Yet another example of an overhyped, overpriced badly run business. There is nothing at La Note that is halfway decent - not the food, not the service, not the ambiance. My friend recommended this to me, so I took my brother here who was visiting, and I feel embarrassed that I took him here and really regretted. it. Not sure why they claim to be French, I just got back from France, and anyone who's been to a decent French restaurant even in the states know that this is at best an American restaurant with a menu written in French. Let's start with food, since this is a restaurant. My brother ordered the poulet grille (grilled chicken sandwich), and it was not only totally flavor-less and dull, it was also undercooked. Absolutely disgusting. It came with potatoes and my brother asked our waiter for ketchup when he ordered. The ketchup was not brought with food. We asked again for it, and I guess the waiter *forgot* again. Although it was apparent that he was busy laughing and fooling around with the others. Finally, we asked another waiter who brought it out in a few minutes. Upon eating the potatoes we realized we might might as well have not gotten the ketchup since they were garbage. Not only were they not seasoned right, but worst yet THEY WERE BURNT. I ordered the les oeufs lucas, once again a total waste. It simply wasn't tasty, here is no other way to put it. I don't think the tomatoes that were served with it were fresh, because they tasted like they'd been hanging out in the fridge for about a week. I also specifically told them to cook the eggs well, but they were really runny. I would've assumed I'd gotten the wrong dish, if it weren't for my brother's tasteless undercooked chicken. The ambiance is also really loud, and this was a weekday in the early afternoon! It was difficult to have conversation. But this is my favorite part - my brother was showing me a snapchat on his phone and the host (I think? or maybe manager approached us). She asked how we were doing, which was really nice I thought. But then she asked my brother to put his phone away, because the snap was ""ruining the ambiance."" LOL. This was hilarious on a few different levels, first of all, WHAT AMBIANCE THO? And second, it was way too loud to actually hear any sound from the phone, so it was unclear what she was referring to. We obviously obliged, but it was a really bad customer experience. I have never been told to do anything like this at a restaurant before. As for the 20% gratuity. I can appreciate gratuity for healthcare. But the service was so incredibly awful, that I felt like I had been scammed to be honest. I will never return and caution any of those who want to check this out. The cherry on top was the waiter handing the bill to my little brother. Lol... I was paying, but I like how he assumed my brother was. I could've forgiven that, happens all the time when I pay as a female (or maybe if the food was edible), but I handed him the bill with my card and when he returned it, he handed it to my brother once again. I mean, I had the card right in front of me at the table. Maybe consider not assuming that the male will always pay. This is one of the few negative reviews I've written, but well, people need to know. Especially when lines are out the door for this...""restaurant."""
5,"The food and service are top-notch but the business practices, not so much. Forcing a 20% surplus charge (a gratuity) on a table of two, which includes a 10% gratuity to the kitchen is nonsensical. They do this, supposedly, to every customer now. It disappoints me to have to rate them so low, but it simply isn't fair to the customer. Don't get me wrong, I believe strongly in tipping and tipping well. People who serve us well have earned our gratitude in the form of a good tip, even up to or above 20%, but to force this charge on tables of less than six to eight people isn't commonly practiced anywhere in the United States (or France) and, I assume, seldom elsewhere."
6,"We arrived at 11am and was told we would be seated in 30-40 minutes. We waited in our car parked right in front of the restaurant. Alas we heard our name being called and walked got out of the car and walked straight into La Note only to find out it was given away in the (30 seconds after we rush through the crowd). We had to wait another 20 minutes. Finaly we were seated but it was another 15 minutes until the waiter took our order for drinks and food. One of our coffees turned up, but my hot chocolate took forever - even the larger group next to us that had arrived later got their drinks first. At this point it was already 1:15pm. Our food eventually came. We ordered the oeuf de croq was really good, eggs cooked to perfection and the roasted potatoes and Provence tomatoes was excellent. The pancakes were too ginger and heavy - almost reminded me of cake.  It didn't meet my expectation. Overall I definitely think it was not worth the wait nor price. The garden was nice but The service did not meet my expectation and would not rush to return."
7,"The fact that 20% gratuity is automatically included in the bill is the reason that service at this place is way below par. 20 mins after ordering we were told that they couldn't serve an item that we order because it was on the lunch menu...so we opted for a simple croissant because we were getting hungry. The other dish that we ordered was a potato and and caramelized onion omelet that took 40-45 mins to come out from original ordering. The table next to us that came in later got their food first. As a shop owner ourselves it's inconceivable how service like this gets overlooked by the owners. The food was not worth the 30 min wait to be seated and then the 45 min wait for the food.If service wasn't a factor, the food at best was average 2.5 stars. Bland and expensive. For a craft of wine and one omelet dish it cost us $50 (croissant not included - the least they could have done). Saying that food and service are two separate things is simply not true at a restaurant. Good restaurants have both and everything below likely only has one of the two.We still left them a tip on top of the 20% gratuity because we understand it's not easy, but we hope it can get better. We did leave a comment on the service in hopes of leaving some ""food for thought."" We are also surprised to hear that the owner who claims to be a passionate foodie and a Berkeley grad would let this pass in our neighborhood.Good luck to you and those who dine at this place. We hope you have a better experience."
8,"Didn't get to eat here. So disorganized. Hostess kept moving people around on their list and we kept getting pushed down. Promised a 15 min wait when we showed up, then told it would be another hour after already waiting 50 min. Get organized or get out"
9,"Ugh not good... steak and friets like from a cheap diner only difference is you'll pay 22.50 here. Steak no flavor, fires just cheap frozen kind. We also got dessert bread pudding and pear w/ ice cream both sucked and 9 bucks each! On top of that 9.00 surcharge! Woulda been happier at mels diner LOL! big bill, crappy food, thoroughly disappointed"
