,review_text
0,"The menu at Platano has plenty of options from light soups to dense plates. Food: I ordered the Ensalada de Aguacate (avocado), which was healthily portioned, vibrant, and aesthetically pleasing. The grilled chicken had a few fried pieces that were too charred for my liking, in other words burnt. I enjoyed the vinaigrette as it countered the creamy avocado, creating a nice balance. The two-piece pupusa combo plate was filling; one pupusa was filled with cheese and the other with pork and beans, the plate came with a few sides. The pupusas were warm on the interior and lightly fried on the outside, however the flavor was lacking and the cheese didn't quite melt enough. They had a microwave textural feel to them and were lacking freshness. We smothered them with crema, but I recommend topping it off with the coleslaw mix to allow the acidity to cut through the richness of the crema. Service: Friendly, but a bit slow. Our food took a while, fortunately we weren't starving.Ambiance: Large and casual restaurant with plenty of seating to accommodate large parties. Price: Most plates ranged from $-$, seafood dishes on the pricier end. Overall: The food was fair in taste and quality could've been better; nice service with a casual ambiance."
1,"The line is always super long, all the way out the door. Tonight we came early and decided to give Platano a try. This is our first time trying Salvadorian food, and the owner was really friendly and recommended us to try the special plates, which comes with a variety of dishes. The food took a really long time, and we were all starving by then. My favorite is definitely the pupusas, they are corn tortilla pockets stuffed with fillings, so good!! Plantains are sweat fried bananas, topped with beans and sour cream. Not so much a fan of chicken tamale. Food: 2/5Price:3/5Service: 3/5Ambience: 4/5Favorites:Pupusas - Beef and cheese#1 two pupusas and plantains, beans & cream ($9.75)#3 two pupusas side of plantain and cream ($9.75)Other orders:Pupusas - Cheese and Salvadoran flowerPupusas - revuelta con frijoles (tender pork, black beans and cheese)# 6 one pupusa, plantain & cream & chicken tamale($9.75)"
2,"$123.00 for tasteless food, poor service. My daughter ordered a  pan con pollo, a few bits in she found a hard piece of plastic. Horrible place!!!!!!!!!"
3,"I've been here before with a large group and the food was delicious. I came back with my my fiancé for dinner and we were seated right away with a great table. This is where things went downhill. The server for the table beyond ours proceeded to walk past us about 7 times over the course of ten minutes never offering to take an order, to say they'd be right with us, or give us water. We got menus and that's it. After sitting there for 10 minutes with servers walking past us like we were lepers we left. I'll stick to my go to Salvadorian spot in the Fruitvale that is way cheaper with better service."
4,"Food is 4/5 and service was 1/5.No complaints really about the food, we enjoyed it. But service: barely any words exchanged with out server in regards to a warm welcome or questions about the menu, except when we tried asking for more food than usual as I wanted to experiment the food and possibly take some home, and the server gave us a nasty, uncalled for remark and reaction as to why we are ordering what we did. That's what we wanted, and that's that.Other parties came after us (it was just the two of us) and they got food before us and our pupusa never came. The wait here is a problem but the way our waiter treated us was unacceptable."
5,"OMG!  Stay away!  My party of 5 waited 50 minutes for food to arrive.  When it did, my order of 2 pupusas did not come - ever!  After 8 minutes of waiting while everyone else was eating, I talked to the manager.  He told me, ""this happens all the time."".  I asked him how they even stay in business?  He shrugged his shoulders.   I asked again when my pupusas would be coming out and he said, ""Oh, do you want them?"".  Needless to say I left.  Makes zero sense."
6,"Came here on a Thursday evening for a graduation dinner. While waiting for our party to all arrive, the hostess didn't even acknowledge us a good 15 minutes after walking in. Finally when approached we told her what party we where with and gave her name, she then proceeded to sit us down in two separate tables back to back instead of combining both tables. The person who invited us to the dinner here had not arrived yet because she was outside looking for parking and she was with the graduate and most of her family. When they sat us down I guess they where under the assumption that we where separate groups, even though we gave the hostess the persons name that invited us here,and had made a reservation. The reason I say that is because the whole evening the waitress took our  orders separately from table to table so food came out at separate times. And it seems like we sat on the ""bad table"" because the person inviting us to dinner was in the table behind us and just overall got better service which I find ridiculous. They gave us very minimal attention when asking for basic things like water, utensils, napkins. The food was mediocre Salvadorian food. I've had much better tasting Pupusas and basic platano frito and beans elsewhere, and even other plates that where ordered from menu where not liked by many in our group even the ones that sat on the ""good table"".  I even heard a couple of people say that they would never come back.  Mind you the staff that work here know the person that was having her dinner here very well, So I really thought we would get at least more decent service.  But i guess that did not matter."
7,"Food was ok, I was expecting it to be better than the first time. I asked for the check almost 4 times...Service was terrible!!!!!! My family and I kept getting ignored. I don't think I'll be coming back."
8,Food is good but service is crap. I ended up getting sick at the restaurant. I wouldnt go back.
9,"Synopsis: Horribly smelly restaurant serves delicious food. Service is slow but friendly. // No parking. We parked a block away at the building where Chase bank is located. Went on a Friday afternoon. We were meeting friends with kids so we're looking for a restaurant that welcomed that. There is a small play area with books and toys that the toddlers enjoyed while we ate. But seriously, the smell in this restaurant is like moldy farts. I just got wafts of damp smelling mildew from...I don't even know where. Was it the open kitchen door, the floor, the food, the street? I don't know but it hits you the moment you walk in. We stayed because we didn't have time to change meeting places but I really wanted to leave because it stank so much and I was so embarrassed to have invited my friends there. Wish I had scouted out the place before arranging the meeting. Thank GOD the food was good. First time having pupusas and they're great. Also had the Carne Desilada with a side of plantains and refried beans which was delicious (would recommend choosing rice instead of beans though). Staff was friendly and accommodating. Would love to eat their food again but I'm definitely only going to do take-out."
10,"Food was good; service was slow, wrong, and rude.  It was also crazy, crazy loud.  Like full volume shouting loud.  But the deal breaker was the slow, unfriendly, un-customer service oriented service."
11,"Food is okay, and the servers are friendly, only if they are available to you... It often takes more than 30 minutes for them to make your order, and the restaurant's layout often makes it hard to call a server from your table."
12,"My experience here was not phenomenal. I made reservations. We arrived and stood around for at least 10 minutes without anyone approaching us at all. Like....the servers looked at us, made eye contact, and never said anything. At all. Finally (after tenish awkward minutes) someone came over and brought us to a table....that was surrounded by children's toys. What???? Yeah. We ordered our food. It came out in a relatively timely manner, but they got our order mixed up with the table beside us. That took a while to get sorted out. The food was...ok. It wasn't nearly as flavorful as I would have hoped. I would have to say the food was better than the service, but not by much. I don't think I will be going back here."
13,"Pupusas are delicious! After finding out this place has them, I was more than tempted to give it a try. I've been here twice & the first time I came here was the better experience. But for both experiences, service was moving at a glacial pace. I can't even exaggerate because it's the truth. It took us over 30 minutes to receive food after placing our order and later found out it was because there was a mix-up between whether it was for take-out or dine-in. Should it matter? The waiter entered our order for take-out. I would think that it would speed up the process but instead, it made it much slower. Half the time I noticed that waiters were just walking around and talking. It didn't seem like they were working even though the restaurant was a little more than half full. I thought coming back, the service would improve but I was disappointed to find out that that's how it is. As for the food, I love the salad. I forget what it's called, but it had avocado, black beans, red onions and tomatoes for a bed of mixed greens. What truly makes the salad is the cilantro lime sauce. Replicating it would require a food processor, one of the kitchen appliances I lack, so I opt to come here and enjoy it drizzled over my salad. And of course, I came here for the pupusas. I loved their chicken and beef pupusas (separate orders). I may just take pupusas to go if I decide to come back. The memory of slow service may deter me from coming back unfortunately. These days, I've been pressed for time and waiting for my food would not make me a happy camper."
14,"This place has very decent food but expect abysmal service. If they are slightly busy, expect to sit around waiting for a long time before ordering, getting water, and food. They are greatly understaffed always and that means you won't enjoy your experience. We've had a few terrible experiences here now and frankly it's better to go to the pupuseria in oakland on fruitvale instead of this place. Way too hyped and way too understaffed."
