,review_text
0,"Talk about overrateddddd. They had basic cheese pizza with some corn on it. The pesto sauce  is what brings it to 2 stars. It really adds delicious flavor to the pizza.The line goes by fast and by the time we were done with the line, my friends who were waiting was able to get a table for about 10 of us. It's cool that they also give you a sliver of pizza on top of the full pizza you order which is SO COOL.The pizza is tasty, but what turns me completely off is the TEXTURE. It's so hard to chew that my jaw literally hurts so much I don't even want to eat anymore. It's like chewing on cardboard.I definitely DO NOT want to come back here and would rather eat some Dominos, Pizza Hut, pls anything else but this."
1,DON'T GO IF YOU'RE VEGANTheir version of vegan pizza is sad oily bread with no sauce and no cheese substitute. It's like they're punishing you for hoping that you can get a vegan pizza there. If you want vegan pizza out Pieology and Blaze Pizza offer vegan cheese options.
2,"Maybe it's not you, maybe it's me + Markus, but we never want to come back here again. I can see why people (more like college students) love coming here for their ginormous pizza for $20. I told pooperface Markus I wanted a slice and he goes getting a whole damn pizza that we only ate one slice and wanted to throw away the rest. The pizza was chewy, hard, and bland. Even the cilantro sauce didn't help make the pizza any better. Since we didn't want to waste the food, I try to give it to the homeless and they didn't even want it. He said, ""It's hard on my teeth"" BUAHAHA!! I'm glad I'm not the only one NOT diggin' this place!Life is too short to being eating tasteless pizza. Next!!!"
3,Pizza amazing BUT THIS PLACE IS FILTHY!!! and not just a need to wipe tables like years of grime and grease. My advice get pizza to go and make sure it's been in the oven for awhile.
4,"This place is usually really busy, but I finally got a chance to try it on kind of an off day. Unfortunately, this meant that I got crusty, old pizza. I feel very strongly that if you only make one type of pizza each day, you should really be nailing that ONE THING. Customers should pretty much be guaranteed pizza right out of the oven. I guess what a simplified menu really means is that they don't throw anything away until the end of the day. That really sucks.The green sauce is pretty tasty though."
5,"This update is with respect to Guillermo's --Sliver Owner-- response to the review. I changed the rating to 1 star primarily due to  the owner's argument: Sliver's founders are former Cheese Board members who, ""took elements [they] appreciated while changing things to make  Sliver [their] own."" And how this technique, ""is pretty common in the business world, and all the points [I] mentioned are fairly common across different restaurants.""Guillermo, your argument is ridiculous. Cheese Board is unique. As you yourself just said: you ""took"" away from that. You took it.I'm sure you've read Yelpers' reviews.  Don't get me wrong, they are positive. But they overwhelmingly--with near absolute universal consensus--indicate how your establishment is identical to Cheese Board. (And sadly there are so, so many who argue on Yelp that they believe Cheese Board and Sliver are the same thing, or that one is directly affiliated or branched off with the other). Sliver is a copy & paste of somebody else's hard work, and you should be ashamed of yourself. While I appreciate you taking the time to explain what's up...look, you said it, you ""took."" So kudos on adding a television and bar... But you ""took"" something, and then changed the name. You're doing the same thing as Cheese Board, less the collective part of it.  You even ""took"" Cheese Board's signature, the extra sliver of pizza. What is the name of your business again? I won't even bother getting into the philosophical debate with respect to privatizing elements of a collective ( that you used to be a part of?). It's shady, man. You guys opened the same business, right down the road. Who does that? I'm sorry if you think I'm being critical, but these are your words; this is your business strategy. The fact that you cannot recognize how unethical this is, and instead you firmly stand your ground and argue that it is ""normal"" demonstrates your sense of business ethics. Especially because now you are telling me that you are a former member of the collective? Cool move, bro. However, I bet the Cheeseboard collective appreciates that sign you hung up outside of your establishment giving them a nod. You know which sign I'm talking about, right? The one that doesn't exist. That sign.So justify it however you must. But the fact is your establishment is not--in any way--original. It's not. It's unethical, and it's unoriginal despite your spin on it.  How can you even make an argument of originality? -The business name is Sliver, which is Cheese Board's signature (an extra sliver of pizza with any order).-You opened a MILE down the road. -The green sauce is a duplicate.-Your pizza changes daily, is vegetarian, and is a non-marinara sourdough crust.  -You have a salad of the day.-Often you have live music.-And the core founders of sliver are former Cheese Board members.  Really, the only thing that is missing is a grassy divider with a city ordnance of ""no sitting on the median"" between you and the other side of the street.... Where is this originality you speak of?What makes my experience with your business a negative one isn't so much that you copied somebody else's business and then opened up down the road. It's kind of a dick move, but it's your prerogative. The negative experience doesn't even derive from the fact that you decided to engage in a conversation with me, then deleted your comment (?)...  It's more that you decided to report me to Yelp, only to have Yelp decide my review be reinstated. You are allegedly the owner of this place; own your (nearly stolen) product instead of giving some nonsense PR response, and then telling on me when your nonsense rhetoric fails. Deal with it, your busted dude.If anybody does take the time to read this, please note that I posted the owner's response in the tips section with a picture of his response ( after he deleted it). It's not malicious or anything. It's just a bunch of hot steamy B.S. with a very polite middle finger. This business is ridiculous... Original. lol. Lord have mercy."
6,"This place is a mediocre version of Cheeseboard, or maybe I was unlucky and the person who made my pizza hated their life. It sounded tasty (2 different kinds of mushrooms, onions, goat cheese, Italian cheese), but the result was a greasy mess with way too much cheese and not enough of the other toppings. Pretty disappointing for the price point. Also does pizza really need a bible citation?"
7,"I stopped because I was passing by and slice of the day sounded yummy. Lots of people inside. Since it had such good reviews, I figured why not. Here's why: the crust was too soggy, the cheese layer was way thicker than the crust, and it was SO GREASY. The pesto dipping sauce was terrible. Employees were friendly but that was the only saving grace. It's a Cheeseboard rip-off that can't compete with Cheeseboard in any way."
8,"I hate to do this...two stars. My heart breaks every time I come here( not as often anymore)1. The pizza has changed, it doesn't taste like it used to, the crust it's hard andIt came under cooked  :(  this last time.P2. I miss the owners been around  me and my family enjoy the husband and the wife's smiles and great customer service3. Music blasting so loud it's hard to talk. 4.""Mani"" is a customer that every time we come here once again not that often anymore. He sits on the bar He talks loud enough for everyone to hear.He is rude and very inappropriate person, when Iwas here last time with an old girl friend from out of town he told the bartender that we were there because ""we are his beautiful wife's""  really wtf?So we left. I was going to write a review but I forgot about until I came back.Long story short this Mani guy is super odd he wears sunglasses at night on the bar the whole time. We can't tell what his observing? Makes up uneasy And lastly all the bartenders and staff lets him run the show...owners please save this places come back"
9,"Cheeseboard is way better if you're coming to Berkeley for pizza. Plus the cilantro sauce is wayyy better at Cheeseboard.  The pizza itself isn't bad, Cheeseboard is just better."
