,review_text
0,"I don't even know where to begin with this review. I have never been in a Mexican restaurant where they don't have any salsas to put on your tacos, they were basically ""naked"" a little bit of cilantro and onion and the tortas with just avocado??  No tomatoes or lettuce When  we asked for salsa we were directed to their ""selection "" of bottled salsas really!!! Plus no flavor on any of the meats, the most decent one was al pastor but they run out on a Sunday during lunchtime. I wanted to find something new but I'll keep going to my old favorite ones like Picante and tacos el gordo."
1,"66% RATIO OF HAIR TO BITES!This place is generally okay.  It's a bit bland for Mexican food, but it's not awful and usually fresh and sanitary.  BUT .... yesterday I ordered a shrimp ceviche special and was about two bites in before my friend noticed a HAIR IN MY FOOD, glimmering in the afternoon sunlight.  Gross!  I looked at the line, and it was super crowded and started thinking ""Hmmm, maybe ONE HAIR won't kill me.""  So, against my better judgment (and in the midst of my friend silently judging my choice) and because I have worked in a restaurant before, I was going to let it go.Until I found a SECOND HAIR!  This hair was NOT lying on top, having blown over by the Berkeley wind.  It was clearly MIXED IN to the food!  So, that's too much, right - three bites and two hairs???  (For those counting, it's 66% of bites with hair.)So, I return it - fine they will take it off my bill.  SO HERE IS THE REALLY TERRIBLE PART - - - BEFORE ORDERING THE CEVICHE, i ASKED IF IT WAS ALREADY MADE, (because I would have liked to omit something), and they said YES, so NOT MADE TO ORDER.  I got it anyway.  The people ordering it after I returned the hairy mess also got it, and the people after them, and so on, and so on, because the kitchen DID NOT THROW IT OUT!Here's an interesting twist - none of the chefs working that day had hair that length so, I think the hair happened in prep, not that it matters but it wasn't the guys there to blame.  Would I like something else?  Again, against my better judgment I ask for a carne asada taco (for which I was charged - no apology taco?)  Anyway, underseasoned, boring asada, but edible and HAIRLESS, so bonus!  Seriously, if y'all ever go to Mexico City - it will kill this place for you.  Not worth the wait, the money, or the effort to locate random hairs.P.S. BUSSING MY OWN TABLE:I also had to go and get a shift towel and wipe down our table before we seated ourselves because the people working there only wipe one table down out of three, and ours was not the lucky winner (apparently hadn't been in several hours, given the dried salsas and such on it.)  So much for the tip I added to my card!"
2,"I hardly write reviews but the service here has been poor consistently and not worth the price you pay.  An attitude of ""There will be someone behind you in line anyways"".  Avoid."
3,"Welp.  When you charge $9 for one Chile relleno, it better be amazing.  Meh food for omg this is life-changing prices loses you a few stars :("
4,The quality of food was not good. The cashier was very rude. I won't ever go here. Had soft and crispy taco. None was good. Enchilada with raw chicken. Guacamole not bad.
5,"I was (probably delusional) optimist about this place off the 4th street shopping center for a quick-ish bite to eat. After standing in line for a good long while, we settled on tacos and enchiladas. Food looked good, prices are a bit much for how small the portions are (avoid the non-alcoholic drinks at all cost... they are crazy expensive which we learned the hard way). Waited a while for our food, and man... that was a disappointment. It didn't taste bad. It just tasted meh. The asada is meat, so I supposes it's not false advertising. But if anyone has ever had actually good carna asada... this is no where close. The enchiladas were better than the tacos, but still that's not saying much. We could have gotten the same tastes at an American ""Mexican"" chain restaurant. Won't be back. Bummer."
6,"The food here is so bland!!!! No matter how much Tapitio you dump on your plate, it still won't resurrect the flavor :-(  the veggie tacos were okay, rice and beans okay, chips & salsa bleh, everything was just lacking spice! Just avoid this place and go to a hole in the wall that actually has decent Mexican food. I'm so disappointed!!"
7,The worst chilaquiles I've ever had. Tasteless Scrambled eggs on top of soaked tortilla chips and zero flavor. We might have ordered the wrong thing since the place was packed
8,"Had the seasonal quesadilla.  Hit Taco Bell on the way home.  In terms of portions, quality and price, preferred Taco Bell."
9,"No burritos??  Good grief... that fact alone makes me want to give it 1 star!  I went for lunch.  I got a vegetarian torta.  I just ate it like 18 minutes ago, and I'm hungry again.  Very small.  It was $10, and didn't come with chips.  It tasted okay, but was remarkably unfilling.  I haven't tried anything else but doubt I will go back.  No burritos and the other reviews confirm my suspicions - overpriced, small portions of mediocre food.  But great customer service, +1 star."
10,"Bland bland blandHad the chips and salsa and beef enchiladas. No spice, no taste. Chipotle is better. Will not return."
11,"I want to start off by saying the food was tasty, the service fine, and the prices not totally unreasonable for the area. Unfortunately this was my first visit and they did something I think is really unacceptable. I asked the cashier about the spice level of the Tuna Ceviche, she said it was medium spicy. So I explained that I can't do spicy, I love the taste but due to a medical condition it causes extreme pain for me to eat it. She informed me that they could remove the jalapeños and it wouldn't be spicy anymore. So I ordered it. I get home and I take a single bite. It really was tasty but it hurt SOO much. I'm sure it was considered only slightly spicy, but I needed NOT spicy and I made it very clear that i couldn't handle spicy. I said it several times. And now I spent a lot of money on something that causes me extreme pain. And I've tried to eat it because it tastes good and I don't have a lot of money to spend so frivolously, but after doing the whole one giant chip-one tiny bite of ceviche- plus beans and sour cream, I still couldn't eat more then 1/4 of it.So all I will say is beware!If you can't do spicy, don't trust this place at face value. I don't necessarily blame the cashier because she asked a cook if it could be done mild and they said yes. But to me this totally sucked and sorta screwed me out of dinner and $10+"
12,0 STARS! this place seriously is takin over  by a newly fresh don't know what their doing person. They are sooooooo overly priced for a kids size portion and don't over any complimentary chips or salsa especially knowing that their portions are super tiny. I took my food over and asked for my money back because of how disappointing the portion was compared to how much I paid for. My friend and I were in SHOCK. There's a more established Mexican restaurant very perfect service and great portion sizes. DONT GO HERE AVOID
13,"I'd give zero stars if that was possible. Ordered a vegetarian torta. It's more like a overloaded of rajas peppers. with barely any beans, avocado, cheese. Paid almost $10 for a stale tasting bread stuffed with crazy amount of peppers. Very disappointed.Will not be coming back. And save your money, go anywhere but here."
14,Tried the chilaquiles here and it was very disappointing! They tasted like someone just threw some ingredients together. Rather than fry some fresh tortillas they take a few tortilla chips and toss them in some bland salsa that's then topped with scrambled eggs. It was quite expensive and definitely not worth the price you're paying.
