,review_text
0,"I was really disappointed with the restaurant especially knowing it has 4stars rating on Yelp.The momos was hardly comparable to the ones I've had in Hong Kong. The lamb was still a bit uncooked. (I had stomach problem later in the day, not sure if related to this.) Quite a few of them also had broken skins.Samosa was dry and pretty bland. The garlic naan was good and probably the only decent dish of all.Chicken Tikka Masala had nice sauce but the chicken itself was pretty dry. Shrimp vindaloo was okay but there were only a few shrimps inside.The mango lassi had too much yoghort inside and I couldn't really taste the mango.Overall the serving portions were really small (except for the momos, which we couldn't even finish) and the taste was barely okay.This was probably one of the worst meals I've had this year. Definitely not coming back here."
1,"Got the Groupon for this restaurant and had lunch there recently. This restaurant is nicely situated next to some other cool shops and restaurants in Berkeley. I had high hopes for this restaurant delivering on some quality Indian and Nepalese cuisine.There was not a lot of flexibility on where we could sit, despite the near empty restaurant. We were steered towards a small table in the back and middle of the room. I think I was seated in the darkest part of the restaurant - highly recommend sitting closer to the windows with sunlight streaming in or center of the dining room.Service was delivered with a smile but was pretty slow. The mixed biryani was fairly bland. Samosas were just OK - needed more flavor and seemed to have used the bare minimum in spices. Don't be fooled by the value offered by the Groupon - unless this place can up the taste and flavor of its entrees, it's not worth spending your time or energy trying to dine here.UPDATED: After I posted this, Manny A. sent me the following note, labelled as a ""compliment""Manny A.San Francisco, CA 0 friends 4 reviews 4 photos Just a Note 5/18/2017For your review of: Taste of the Himalayas""Looks like your very sensitive person.i don't know your age but you sound like a lil cry baby""Wonder if the owner of the Taste of the Himalayas got upset and had his buddy bro send me this nastygram...lol. In any event, I guess the truth hurts, and my review upset someone. Sorry, next time do better."
2,"One of the worst restaurant meals I've ever had. Dishwater broth, Naan was greasy and under cooked. The rest of the meal was poor in taste and portion.Service was rude and incompetent.This was a couple of years ago, perhaps they've improved but I won't know. Only blocks from home, but it was so bad I'll never go back."
3,"Food was alright didn't really had taste to it everything tasted the same except the Chicken they were pretty good,Mango lassi tasted like over dose of yogurt no mango flavor Make sure to ask them for utensils when you order for delivery they do not even include napkins"
4,"Not once have I stepped into this place during my time at Cal, but I've heard the raves of this place over the years. So, at long last, I went with one of my besties (who loves this place).The first thing I noticed was the glasses of water placed before us. Our cups were dusty! My friend noted, ""That must've been from the linen they used to wipe the cups,"" but who the Hell would wipe cups with cloth that sheds???Then, we made our decisions of what to order, set down our menus, and dived into girltalk...*spoken in the Spongebob voice*...20 minutes later...ME: Wait, why hasn't anyone stopped by to take our order?FRIEND: Oh yeah, you're right...It was a busy Saturday night, but that's no reason to neglect a party of two.When a waiter did come around, we ordered Chicken Tikka Masala with medium-level spice and Garlic Naan. Everything tasted bland.My friend loves the gulab juman for dessert, and we were waiting around for a waiter, since I wanted to try a good gulab juman (we went to another place where it was soggy and cold, with terrible service). But while we waited, I thought, ""If the food is nothing special already, and the service is so slow here, why would the gulab juman stand out?""Decided not to get gulab juman. Signed our checks and left."
5,Ordered the Tandoori Shrimp.It wasn't good.  The dhal was watery and bland.  Rice seemed reheated.  Vegetables were hard and flavorless.  Not good.  Online ordering system requires payment upfront even if you're using a Groupon.
6,"We wanted to have some Nepali food, it was good greetings and all those stuffs while we just entered, we ordered our foods, momo .......... after like 25 minutes I had to go to restroom, when I came back all of my left over was taken I was so pissed off the intro was good body was ok but the main thing conclusion was horrible. I will never ever go back to this place and u know what their momo sucks and it's freaking expensive, I know it's Berkeley downtown the rent is high but at least the food should be good enough, but it's bad I don't know I guess it's only for us I don't have any issues with the workers or the owner or anyone related to this restaurant I am just saying what we felt like"
7,"BEWARE: 6/23/16Food was aight, and I'd probably come back again if I had a normal experience, but I think I got food poisoning because I woke up at 4AM and my stomach was NOT happy.I've gotten food poisoning in the past from eating various types of street food in different countries, but this was a first in the US. Definitely disappointed."
8,"Right in ""Gourmet Ghetto"" of Berkeley, this place attracts all the newcomers to the area and their decor is quite inviting. Their food was OK, but their service has definitely gotten better over the years. I went here a total of three times. Each time the food quality seemed like they tossed in the few pieces of meat and heated it up on the stove. The meat pieces clearly didn't  simmer long enough in the gravy or soup base they came with to have that flavor permeate throughout the pieces of meat. So. Yeah. Having eaten a hundreds of restaurants over the years, I know the difference between meat that is actually *cooked* in the gravy that it came with, or just a few pieces of meat were tossed in and heated up with the gravy. Maybe it is because this particular ethnic food group takes a lot of preparation."
9,"Sad that this place is not as good as our first visit. First time we came, they had just opened and had some good deals and food. This last time though was no good. Really long wait for food, found hair in the samosas, really pricey for the portion size, and not that flavorful. Seems like they didn't develop as great as hoped (or more customers and demand got them stooping to lower standards). I personally have been to many Indian restaurants way better. Highlights:-pretty paintings-good garlic naan: good flavor here, cooked well, hot when served. it was the best part!Drawbacks:-slow service: it wasn't even that busy the night we went, but still waited 30-40 mins for a dish that supposedly had been stewing all day, so should have been brought out easy and quick.- poor flavor: nothing notable. seemed way too basic compared to the description and expectations. we ordered the goat curry, which was described as stewing all day in lots of spices. did not taste that at all.- again, hair in samosas :( also, barely warmed when we got them. on the plus side, they brought out a fresh one which was actually hot.- no chutney! just tamarind sauce. we asked for something else with more spice (tamarind sauce was pretty sweet). nada.- too pricey: for the experience and quality of food, the price was not worth it.Sadly, will not go back. Seems like they are catering too much to a particular palate that is not tuned into this type of food. I've had a lot of Indian food from many places. If you are an experienced eater also looking for good quality Indian food, I would NOT recommend this place. womp womp!"
