,review_text
0,"Very mediocre food, possibly the worst Thai food I've had. We ordered a thai fish cake appetizer, tofu pad thai, yellow curry, garlic shrimp plate, and a seafood noodle soup. The pad thai had broccoli, mushrooms, cabbage, and bok choy which was so strange to me because all of the pad thais I've had in the past didn't come with these ingredients. The seafood noodle soup didn't taste fresh. The yellow curry was overly creamy and coconutty. The thai fish cake was chewy and oily. I like the jar of crushed peanuts on the table and how late they're open."
1,"I was very happy to find this place still open at 1:15AM and the staff was very friendly, but this is the WORST Thai food I have ever had. Driving to get food after work and my excitement to eat yummy Thai food only turned in to utter disappointment after I had gotten all the way back to my house. Ordered both the eggplant with basil and pad see ew. Eggplant with basil came with no veggies or basil (which it was supposed to) Eggplant was cut in to pieces too large for consumption. Half my box was filled with rice (which is supposed to be an extra charge anyway but was instead used to fill the empty space from my tiny portion). Dish was completely lacking in flavor, I did not even eat it. Pad see ew also had no flavor except that of maple syrup.  The noodles were overdone and it was also thrown away. I will never be eating here again, even if it is my only option near me at 1 in the morning."
2,"This place changed hands a little while back and has really gone down hill. The flavors are no longer cooked in, my food tasted like they just took handfuls of ingredients, tofu, broccoli threw it on a plate and dumped peanut butter on top.The duck here used to be excellent and it is also not the same."
3,Went here tonight and the bugs in your food review(s) are beyond correct. Half way into my daughter eating her duck noodle soup we noticed bugs crawling on the bokchoy. The crazy part is when we notified them they immediately gave us the bill for our drinks. That definitely made us feel like this must be common.If you like to eats bugs GO HERE!
4,"This place has become such a a rip-off recently. I was always shocked by the bill when I compared to the tiny portion of food I got.Today I ordered the basil eggplant with shrimp (no rice), I was so surprised that the food barely filled 1/3 of my to-go box and I got charged $11.99 FOR THIS?!"
5,"My husband and I used to use this as our late night meal stop when it was Thai Noodle. We haven't been here in probably over a year and decided to stop by again.  Although the help is friendly, the food has taken a dive.  I am really not a picky eater and ever so rarely feel ill from food, but they crossed that threshold for my stomach.  Pad thai and fresh rolls both of which were not fresh made for my last meal here."
6,"After the change in ownership, they seemed to have upgraded the furniture but downgraded the food. Same menu but definitely not the same quality. Their curry and pad kee mao were bland and watered down. Pad thai noodles came out under-cooked and hard. On the second attempt to cook them, the dish came out drenched in gravy."
7,"Went here expecting some great noodles, but was disappointed. Great staff, very friendly, and quick. However, the food was not up to par. I ordered the yen ta foh (shrimp, squid, fish balls, and fish cake with noodle accented with spicy red sauce). It took about 10-12 minutes for it to arrive. I was deeply disappointed, when it first came. The soup base was not developed at all, zero flavor, and the broth was bright pink with food dye. Now at other restaurants I've been to, the yen ta foh I ordered was tomato/bean curd based with a rich, seafood broth and fresh seafood, but this place seemed to take a shortcut. I would not recommend ordering this dish."
8,"Be careful they already charged 18% tips on your check for six people! Actually, my husband and I joined our friends when they are almost done and we had separate bills. Although it was corrected after we complained about it but we feel like they should have let us know about the difference."
9,"Came in and order 2 pad thais and ask for peanuts on the Side do to a peanut allergy. The lady said ok, shortly after I received my food and took a bite.  Peanuts in my pad Thai! I walked in and asked the lady why there was peanuts and she stated you asked for them on the side and there on the side. She put them on the side inside the box of food. My face is swollen and I will never be back"
10,"Coworkers(4) and I went here for lunch during the week.  Usually a decent place to go for a fast lunch but on this day the waitress was salty, bitchy, not very rude.  We always ask for separate checks and usually there is never an issue but when we got our checks we were charged an 18% service charge for rude service.  She never informed us that we would get charged extra....needless to say we won't be going here anymore.  1 star because it's required to post otherwise it would have been 0."
11,One of the servers was super rude. Service was slow. Checked with her if my food is coming and she just yelled back. She also got the order wrong and the food came differently than what I ordered.
12,Dropped in for a pick up for some Tom Kha Ghai this evening. Woman with short hair at the register was very rude upon taking the order by phone and at pick up. Poor service for below average food is not a good look for this noodle spot. I do not recommend it.
13,"This location is CLOSED (Windows all covered up with paper - note says ""Coming Soon"")"
14,Greasy Thai place but gets the job done.Terrible service. Came in with my friend and servers saw us but no one came to help us. We just sat down at an empty table. Had to wait 20mins for someone to ask us what we wanted to order. We had to ask for water. No one came to refill it and we had to wait a long time to receive our food and for someone to give us our bill. Absolutely ridiculous.
