,review_text
0,Meh - local college place for 'make your own noodle bowl.' Nothing spectacular and minimal seating.
1,"I really do enjoy the noodles at this restaurant but I'm giving this review only 2 stars because the portion sizes at Toss is very disappointing. I started coming here a couple of years ago and every single time I come, the amount of noodles that actually go into my bowl heavily decreases. Noodles are pretty cheap, I could literally buy 3 noodle plates in Chinatown for less than $15. BUT I'm paying around $10-$13 at Toss for a bowl of noodles that barely reach the middle of my bowl. The last and final time I came here, I ordered the hokkien noodles with Thai sauce and beef, when the lady brought out my noodles, I could literally see the bottom of the bowl... THATS HOW LITTLE NOODLES I GOT! Are you serious Toss? I'm not blind. I had to go up to the cashier and let her know how disappointed I was before a new bowl was brought out to me. Overall, the noodles here are good, but since it seems like a ten dollar bill gets me less than half a bowl of noodles, I'll go spend my money at Imm Thai instead."
2,"1.5 at best. Maybe it is just what I ordered. Wasn't impressed, parts were inedible. Felt like poor materials mixed in a bowl. Easily not worth the price based on the meal. Don't get me wrong, I like hodge podge places if it can be done right. But a jack of all trades usually is a master of none. This had failed on multiple points unfortunately for me.I had ordered spinach noodles, malay sauce, tofu, and extra vegetables added. 13 dollars in total. The malay sauce was light, didn't hold with everything else. It sat down on the bottom of the bowl and mixing things didn't help because it was too light in general to stay on the ingredients. Eventually when I got down close to the bottom of the bowl, the noodles tasted okay but most of this was just noodles anyway. The balance was terrible. The veggies that are supposed to be there in addition to the extra I paid for amounted to very little overall. The tofu wasn't cooked along with everything else either. It was lightly seared, and then cut up into large strips and thrown into the bowl so it had none of the flavor of the sauce and was slightly cold. Also, however the tofu was stored prior to cooking it just tasted sour so the tofu may have been bad and it wasn't even cooked adequately enough to make it taste like anything else to cover that up. Thankfully this isn't meat, bad tofu is at least somewhat stomachable but that isn't really a consolation.Perhaps the meat dishes are better here, but really if you can't cook tofu right I doubt I'd come back to try anything else unfortunately. Hopefully this is just a rare occurrence and not the norm, but I'll certainly not return to find out."
3,"I really like the chicken dish I get at Toss. The food is great. But I recently ordered the ""king prawn"" dish, which is the most expensive, and it does not contain king prawns, they're just regular dinky shrimp. Also, there were 5 of them. $11.99 for 5 shrimp. One thing though, is that I do not eat at the restaurant when it can be avoided. When you walk in the door there is always a swarm of flies. It's disgusting. The front of the restaurant stinks like a litter box somehow. The cheap metal chairs make the most horrific, loud scraping sound as people get up and down. The self-serve water station always looks grungy."
4,"l used to go to this place regularly for lunch, but not anymore after today! I got some moldy bell pepper in my stir fried noodle, and they did not give me an explanation. See the picture yourself. I am pretty sure it is mold, not burn marks, because I already ate two pieces and it tastes really bad(sour). If you care about your own health, do not go to this place!"
5,"We were excited when we first stepped through the threshold of this establishment due its relaxing ambiance. However, that quickly changed when we were instead greeted by a rude cashier. We sat down and took a little time to look at the menu and the cashier just gave a wtf-look because we took too long. I mean, it was our first time. Anyways we expected good food because of the review on here, however the food was meh at best. The soup was bland and the vegetable was not fresh. No one at my table enjoyed their foods. Worst, after we were about to leave, the cashier even asked us to clear the bowls into their dirty dishes container without a smile on her face as if we're their staff. Overall it was a pretty bad experience. I would not recommend it."
6,"Super unimpressed by this place. You order first and then sit down. If your party doesn't split up and have one person order and one person save seats, you're standing the whole time you wait for your food to come out. I've even been stuck having the food come out without a place to sit. Not great food or great quality, but it's fine. Over run with college students."
7,I have come here a few times and have enjoyed the noodles. On 6/21/17 at around 7:20pm I ordered a noodle soup for the first time which I did not like at all. I went up to the register and asked the employee if I can switch it for the noodles I usually get. There were two employees (an Asian guy with glasses and a younger Asian girl). They said I could not switch it to another dish because I tried it already. I don't know how I was supposed to decide whether I liked my food without trying it... HORRIBLE customer service. Their management needs to really teach them how to better interact with their customers.
8,Meh. Had the noodles green curry and t'was nothing to write home.
9,"I was super excited to try out this place due to good reviews and great interior but walked in only to be greeted by a super rude cashier with a pissed off face. It was our first time here so we understandably took 10 mins to order our food but the staff shot us dirty looks, come on man!! The food came out horrible - old veggies with super dry noodles. The tom yum tasted like it was made with instant soup powder. Gross! I didn't even finish half my bowl. Worst of all, the waiter told us to bring our own plates to the back of the restaurant when we were done. We had to place it in a dirty container and she didn't even smile or thanked us. Would NEVER eat here again even if I was paid to do so! Bad food, terrible service and disgusting attitude!!!"
