,review_text
0,"Super cheap, they don't give rice with their curry and I ordered delivery so there was nothing I could do about it. I was stuck eat curry. Without rice. Just curry.Even worse, I specifically asked the noodles not to be spicy but it's very spicy and I can't eat it. You can see all the chili they added.Sorry, I probably won't be returning unless something was done about the rice issue."
1,"I thought I would try a new delivery place, but I won't try Tuk Tuk Thai again. The noodles were pretty much a compressed brick in the container and half of the spring rolls had burst open. That would probably be fine, but I just didn't enjoy the quality or taste of the food very much."
2,The food is not good and price not attractive compared with some other nearby restaurants. I spend 13 for a dish which only comes with noodle and shrimps
3,"This place just became a dumpster. The new staff are rude, in specific the dude with no hair on the sides go first forgot about my order and then came to my table throwing the bill on the table. Also their restrooms are stinky which I would associate to the quality of their food. It used to be an ok place to get to be just another horrid place in Shattuck avenue. Not even an I am sorry came from them."
4,0 stars! This place is disgusting! We found a bandaid in our food and they actually had the nerve to say they would only give us a partial refund! Never go to this disgusting restaurant! We will be reporting them to the health department! Made me sick to my stomach
5,"Came here for an early dinner. Food was ok. Got the tom kha soup and the chicken was chewy and over cooked.I also checked in on Yelp to get the $1 Thai tea deal. When I realized I could use it and told the server, she came back upset and said, next time, tell your server!""  Wow... so rude and unnecessary. Won't return. There are too many gems in Berkeley - don't come here"
6,"I remember when this place used to be my go to Thai place.  It started going downhill a couple years ago, and tonight I was finished driving for Lyft, and this was one of the only places that was open or I could get some food.  I thought I would take a chance and stop in.  Oh my God, was I disappointed.I ordered the salmon with the green curry, and the salmon came out completely over done and dry.  I asked for a side of rice noodles and they came out completely over done and stuff together in one big lump.  I sent the salmon dish back, asking her not to throw away the vegetables because the vegetables were fine, I just wanted to Sam and replaced.  The kitchen ended up throwing out the entire dish, and then bringing me out a plate with just a piece of salmon and curry on it with no vegetables, and I asked them where is the rest of my dinner?  There was obviously a language barrier problem, because I didn't understand what I wanted.  Even the second piece of salmon wasn't really all that great, and the second plate of vegetables was under done.I just couldn't win for trying at this place.I'll never ever come back here ever again. This place used to have a much wider variety of dishes, many more noodle dishes, more interesting ingredients, seems to me like it's just serving the young crowd at the University who doesn't care what they pay and doesn't care what they put into their mouths.Some of us with more distinguished palates like me or not impressed.  This is not to say that the staff wasn't accommodating, it's just that the quality of the food and the confusion with everything in the amount of time that I spent in the money that I spent I felt were completely wasted and I'm sorry I came."
7,"That was the worst Thai food in my experience ever.First of all who charges gratuity when there where two adults, two teens, and 1 kid. Their menu description literally describes everything as something I would love. Sadly, I didn't love it nor did I like it. When I first walked in, the atmosphere was nice and spacious. What was odd o me was that there was only one table occupied during dinner service around 7. Shouldn't that be peak hours for most places? When we sat down we stared at the menu for about 10 mins. Our server Bird, came over even though it was obvious that we were no where coming to a conclusion on what we would order. So I ordered what I would typically order at an AUTHENTIC Thai eatery. I ordered papaya salad, larb, New York steak, pad see ew, and calamari. Oh yeah and two sticky rice.I'll start off with the appetizer, $10 for a plate of calamari. More like half a plate. No one can mess up calamari, it was OK. Try Racha Cafe's calamari a couple blacks away on telegraph. Makes this places calamari something in the past that you would never look back on. Not worth the price. Next was papaya salad. All the ingredients seemed to be right, but my one question was it ever smashed in a mortar. This salad is made usually by smashing garlic, peppers, and everything else in the mortar. More like they tossed the salad together. Sad, disappointing, and weird.DONT GET THE STEAK. $17 for cheap cut of beef and salty sauce on the side. & everything else was generic. I didn't see the authenticity in the dishes. You have all the right ingredients. Where did you go wrong? Must have been the cooking. I want to say something nice, I do. But my bill shouldn't have been $91. This place will never get another dime from me ever again. My recommendations: chai Thai noodles or champa garden in Oakland. Or racha cafe on telegraph. Now that's something authentic."
8,"WHAT HAPPENED TO THIS PLACE? I eat a LOT of Thai food, and this is by far the WORST Thai food I have ever had in my life.I wish I could say I was exaggerating. I'm not. It was disgusting.I ordered pad thai (how the hell do you f*%& that up???), hot and sour soup, and spicy basil with chicken.  The pad thai was absolutely, 100% flavorless. It literally tasted like plain noodles and peanuts.  Thank goodness I had some leftover store-bought pad thai sauce.  It helped, but not by a lot.  The spicy basil dish was COMPLETELY INEDIBLE.  First of all, I got it because, per the description on the menu, bell peppers were NOT supposed to be in the dish.  Turns out the dish was about 80% bell peppers, and that's all it tasted like.  Gross, overcooked, bell peppers.  The soup was the only thing that I didn't hate, but it wasn't very good.  The chicken was so dry that I actually couldn't eat it.  I have never even written a yelp review about a restaurant, but this food was so effing disgusting that there was no way I could let it go.  DO NOT EAT HERE!!!! Go to Thai Basil, or literally anywhere else. Gross."
9,"WORST THAI FOOD I'VE EVER HAD. You've been warned. I even gave them a second chance. Perhaps the rice dishes are edible but DO NOT order a rice noodle dish. The pad kee mao is bland as can be, the pad thai was SLIGHTLY better in terms of flavor...but when I tell you the noodles were literally like soggy top ramen bro!! Im not even exaggerating. They were chopped up and stuck together like one big rice cake. And this is a cumulative review of both times I've been. This place used to be decent when I was in college but I would suggest Thai Basil on Durant or if u want some bomb pad thai and you're willing to drive to el cerrito hit up Sa-Wooei. This place is trash."
10,"Most.Ridiculous.Wait.Ever.I keep wanting to give Tuk Tuk another chance, and they keep disappointing. Fook is okay, but definitely not for the wait we always have to endure to get it. Unfortunately, no more chances for Tuk Tuk."
11,We came to Tuk Tuk Thai around 10:30 at the at night it was a little late for me to be eating but I came for the desert the fried bananas which they did not have... so I ended up trying mango sticky rice which is pretty good the service was slow we had to find our waitress for our drinks for food and for the ticket but I will go again though maybe the daytime for their lunch specials
