,review_text
0,"My friend requested to have brunch at this gem for her birthday. She's been wanting to take me here, since she understands my love for chicken and waffles. Upon arrival, it's first come first serve. You go up to the front and tell them how many people you have and put down your name. Since this place only really serves breakfast and lunch, they get really busy especially on Saturday's and Sunday's. The earlier you get there, the better. I forgot to mention that this restaurant is kind of small...Anyway, I ordered the chicken and waffles plate. It came with a huge waffle and 2 chicken wings or chicken breasts... The chicken is crunchy on the outside but juicy on the inside! They also add this sauce, it's kinda like a gravy but it has a spice to it! That sauce went really well with the chicken, The plate had sweet, salty and spicy! The service wasn't that bad, they're just really busy and trying to work as fast as they can. The server forgot a few things that we asked for on the side, but it's no biggie.I have yet to re-visit this restaurant, but I'll be going back soon to get my chicken and waffle fix!"
1,"I really wanted this place to blow me away....but what a let down. I was pretty disappointed by the mediocrity of flavor. Their waffles tasted like straight up wheat. Where's the sugar? I've had wheat waffles before and they were divine...these not so much. I myself went with the ""breakfast"" entree which consisted of hash browns, eggs, toast and bacon. Can't really go wrong there. My friends however all decided to step out and try something different, only to be  left feeling robbed in the taste department. The batter for the chicken was made with buttermilk I believe. That usually denotes deliciousness coming your way, but that wasn't the case here. I was told the chicken wasn't bad, but it also was not anything to ride home about. If you're going to have C&W on the menu, you have got to do it right and SEASON that joint. On the bright said, the guy who I believe was the manager, was pretty cool. He got folks in and out like a pro. When he said the wait was only 20 min- he was right on the money every time. Folks seemed to have a shared sense of ""not lingering"" so others could get in and enjoy food too, which was nice. All in all, I'm used to a little salt in my food, so maybe this just wasn't the spot to get it. Then again, this was a place in Berkeley with Chicken and Waffles on the menu...#EnoughSaid"
2,"Always a great place to introduce your friends to. The restaurant is not what you would expect; It's quaint, cozy and has a small-town, farm house atmosphere that makes it unique, given that it is located in Oakland. The wait isn't too long, and the service is very receptive and warm.This place is famous for its chicken and waffles, so we both ordered the Demon Lover. The waffle is soft, and the chicken is lightly battered. I usually feel bloated after eating fried chicken, but its as light as fried chicken can get; It was a bit dry though. Very filling portions. The best part was the delicious gravy and maple syrup. Would recommend getting one of each and splitting the two with a friend, as getting both is an additional $2. The hours are a bit restricting, I believe it closes at 3 PM so go early!"
3,The chicken and waffles were so underwhelming.My waffle was burnt and asked for a new one then they brought a undercooked waffleThe chicken was alright
4,"Okay, Roscoe's go ahead and eat your heart out. This generation from the year 2000 and onwards have been noted to fall in love with the sweet and savory Taste of chicken and waffles. I don't know exactly why but the combination works. And Grayson 900 knows exactly how I feel about it. This is a place that I bookmarked a while back but just never got a chance to go to until recently, has famed a novelty breakfast package....Known to the faint of heart as ""The Demon Lover"". I personally, do not know why it's called that yet I cannot lie and it's probably one of the best combination of food I've ever had. Buttermilk gravy and a warm syrup with a great cup of coffee and made my day so much better that it has been lately.The place itself is a quaint beautiful small hole-in-the-wall Diner. Limited parking, if you're in the neighborhood and just enough seeding to be romantically aesthetic personal and casual without being anything else but Charming. Be smart and make sure that you check out when the breakfast and lunch times are. They have a limited times when the exact spot is actually open. I just so happen to get there right before breakfast was about to be over and they're about to close. I personally hate waiting for tables.I often eat alone, so I can take in the ambience  and entertainment of the cool decor and art work on the wall, at the time it featured a cool picture of Bruce lee and a naked chick. And I also noticed that they had merchandise for sale with the Demon Lover on it as a T-shirt for thier fame. The place is an overall great service to the community and to my stomach! Hopefully I can get a chance to visit one more time and another time after that and another time and so on, continue rocking on grayson!"
5,Visited 900 Grayson for my second visit a couple days ago. Believe I missed the main breakfast rush since my party of three was seated immediately. Good stuff because this restaurant is rather small and gets busy! After browsing the menu I quickly learned we missed the breakfast menu by about 15 minutes. Darn! The manager/waiter was working the line while also taking orders from the front tables. This is a little annoying since it is hard to grab someone's attention when they're running all over the place. With a little patience we got our order in. Decided on the fried chicken breast and waffle. Both the chicken and waffle were hot and crispy. I was happy about the fried chicken breast as it eliminates the need to maneuver around bones. Also ordered a side of french fries. Those were not the best and taste like they had been sitting around a short time. I'm not always on the Berkeley side so it's always a treat when I'm able to stop by for a quick bite. Sprinkles on top when I don't have to stand around for a table. They really need some more help on the service front. I feel like I inconvenience the staff when I have to ask for something. It should never be that way.
6,"Chicken and waffles, chicken and waffles, chicken and waffles!This was my first time having the much-heard-of chicken and waffles, and I have to say that I was not disappointed. I'm not usually a fan of fried chicken, but there was no grease and a nice crunch to the skin. I came here for brunch with some friends last Saturday morning. We got to sit on the patio, which was nice and surprisingly spacious!I tried the bf's cheesy grits. OMG my life was changed! I've had regular grits before and was never really impressed with why people would ever eat it. However, this is a must-try! I actually enjoyed the grits with my fried chicken, rather than the gravy that came with my dish.I can't wait to come back and try another dish!"
7,"Soooo....... One of my friends decided to take me here because she claimed that they have ""bomb chicken and waffles"" and I thought great another hipster joint making fried chicken .Once I got there I obviously ordered the chicken and waffles (I forgot the fancy name they use for the dish) with gravy and syrup. Even though the chicken was boneless, it was fried perfectly and it had a good crunch. The gravy  definitely gave the dish that extra umph that it needed. The waffle was along the lines of a wheat waffle (not sure if I'm right on this), but overall it was really good.This place is totally worth the hype!"
8,"I recently had late breakfast with a friend on a weekday. I was immediately impressed with how quickly we were seated, despite appearing very full. Food came quickly and overall it was delicious. My friend had the corned beef hash, and I had the chicken and waffle. I honestly cannot remember the clever menu names for these dishes. Food wise my complaints are small. My fried chicken had a delicious batter and it was well fried. My problem is that the meat itself did not appeared to be seasoned, and it was an uninspired piece of breast tender. I realize this is to facilitate easy eating, but it really is a poorer flavor choice. My waffle was a bit soft and deflated as well. They choose a traditional American style waffle instead of Belgian, and I have no qualms with that choice. But I'm fairly certain it had been pre-cooked and stored under heat. No waffle appreciates that treatment. I was very pleased with the accompanying gravy."
9,My friend and I had just finished climbing and were looking for a bite to eat. I didnt realize how close 900 Grayson was to ironworks until I checked ! We were so lucky to go on a weekday because there was no line and we were seated right away.  The restaurant is small and cozy a la berkeley style.  I ordered the chicken with gravy and syrup.  You must get the gravy and syrup!! The gravy here is sooo creamy and savory. They use real maple syrup here which tastes so much better compared to those nasty hcfs stuff at ihop. The chicken was super crispy and flavorful inside I didnt even really need any sauce.  I highly recommend if you are in berkeley on a weekday morning to come check 900 Grayson out !! Cant wait to check out their other dishes.
