,review_text
0,"Came here on Thursday for the first time, loved it so much I only shopped half the store and left. Brought my girlfriend with me on Friday so we could enjoy this experience together. This place is mindblowing and makes you think, why weren't you shopping here before? What tops this place off is their terrific produce selections as well as vegan options as well.I will still not get over how much produce they offer with it looking full of all areas of it.I will definitely be back, be ready to wait in line for some time as this is one busy place!"
1,I came here after a trip to Ikea and I was in love with the abundance of fresh vegetables and fruit. I like that the organic and nonorganic items are organized and labeled well. There are many items that I've never seen in an Asian grocery but are located in this store. They have huge bags of basil for less than $2/lb which is music to my pesto loving ears. There is even a discounted fruits and vegetable room that would be very useful when I make banana bread. Very nice bulk items section as well. Can't wait to come back when I'm in the area!
2,"I wish Yelp let you review different aspects of a business, because when it comes to selection and variety, this place is five stars! They have all manner of ingredients, food, and produce. It's a wonderful place to go if you're vegetarian or vegan! Just excellent.But their staff? They must beat them during their breaks or pay them $2 an hour, or perhaps they hire people who affirm their intention of being incredibly rude. A few examples:A cashier rung me up and then just stood there and stared at me. Didn't help me bag my groceries or even offer.Another cashier left her post as I walked up to go outside and pet a small dog who was tied up outside. She left me waiting there at her reigster to pet an animal, and then came back and  handled food I was buying without washing or even sanitizing her hands.Sitting in the cafe', a Berkely Bowl employee sat down at my table, picking his teeth and spacing out. He didn't ask if he could sit there or even if the seat was free, and the place was more than half empty. He could have easily sat at another table.I showed up early on a Sunday, not realizing the store was  not going to open for at least another half an hour. When an empoyee informed me of this, several of the employees setting up the store started laughing at me.And these are just a few examples. I could give many more.Five stars for selection. Zero stars for service. Seriously, if I could give zero stars for their employees I would.I also have some more opinions on the people who work there, but I don't use that kind of language in mixed company."
3,"Date: 6/3/2017  Time: 11:25 AM  63°  Partly sunnyMy first time coming into this store and my reaction?!? Wow...supercalifragilisticexpialidosis!!! I just hope that I spelled the word correct. It is huge...bigly. So big, that it has a cafe across from the store serving breakfast and lunch items. The cafe also has a coffee bar...nice. Definitely I will have to come back to shop and have lunch.I was amazed at what Berkeley Bowl West had to offer  - wide range of fruits and vegetables; assortment of breads, rolls, baguettes; mouth watering baked goods(cakes, cookies, pastries, doughnuts, fruit tarts); deli meats and cheese for sandwiches; floral section; meat and seafood - all at reasonable prices. They even have an area separate from the store with loads of produce (fruits and veggies) for quick sales at 99¢ a bag. Also at the bargain price of 99¢ were plastic containers of raspberries, blackberries and blueberries. I haven't seen kiwi fruit going for 39¢ each in a good while. The purpose of my visit was to attend the Stonewall Kitchen Jam Tour. They were supposed to be there doing a demo of their products at 12 noon. Instead the lady at the info desk told me it was scheduled for 1PM. Unfortunately, I could not wait until 1 PM, as I had another event to attend at 1:30 PM in Oakland at Mosswood Park - Oakland Carnaval with appearances by Samba Funk and other dance troupes.Purchase: a bag of zucchinis for 99¢, a plastic carton of blackberries for $1.69,  3 kiwi fruits for $1.17 and a French cruller for $1.29.Parking lot is across the street with ample parking. Public transportation (AC #72) is within walking distance of about 2 to 3 blocks away on San Pablo Avenue. I love this store. I have to say their prices are more reasonable than Whole Foods. I wish they were closer to Alameda, but it's all good. As I have mentioned above, I will return (with time on hand) to do more browsing and shopping."
4,"Just arrived to buy organic semolina pasta, organic mushrooms, and organic beef tenderloin. Aim on cooking stroganov in an hour for Russian night!I'm so tired today... wonder why"
5,"If crowds or parking put you off, come here on a Friday night. You'll practically have the place to yourself. I'm something of a grocery store connoisseur. I love browsing the aisles of food shops wherever I can find them. And when I travel, I almost always bring back edible souvenirs. Visiting Berkeley Bowl West is sort of like going on an exotic trip with the many amazing products they carry. The bulk offerings are truly remarkable. You can find everything from spiced rooibos chai, dried organic persimmons and hibiscus flowers to azuki beans, roasted buckwheat groats and garbanzo flour.My personal favorites are the honey roasted sesame sticks, genmaicha tea and dark chocolate chipotle almonds. I also spend a lot of time in this area of the store when I'm getting ready to bake. They have a great selection of special flours, spices and teas that are worth a closer look.Berkeley Bowl West also has an above average cheese selection, solid wine offerings and a huge amount of both conventional and organically grown produce. You can get a made to order sandwich or burrito here too.After years of shopping at this East Bay institution, I can safely say if you can't find a fruit, vegetable or spice here, it may not exist!"
6,"If you love to cook, this is a place to go!!No other stores can beat this quality and abundance of fresh produce. Amazing!!Where else can you buy 20 different types of mushrooms?? Great selections for Asian food as well. Little more expensive than Tokyo Fish Market, but worth buying here considering driving farther.Sushi here is awesome! Very fresh. Clam chowder soup is yummy, too. Bargain section of this store is a great buy. Almost going old veggies and fruits for 99 cents a bag. Try avoiding weekends if you can. It gets really crowded."
7,Omg this is a paradise for produceIf your in Berkley it's worth a trip. Just to give you an idea of variety they have 12 varieties of pineapples.
8,"The vast selection of produce at Berkeley Bowl makes it a must stop whenever in the area. I'm always blown away by the mushrooms, local in-season produce, organics and the bargain bins. Go way to the back corner to find the bargain produce bins. The bulk section is the most useful for me. Nuts, flax seed powder were this visit's necessary items. Street parking right in front this time...all the parking karma was mine."
9,"Fresh produce, good variety from natural and typical brands, and fresh meat.   Also the best thing is the bargain produce where you can get vegetables or fruit for like $.99 a bag. this included a bag of cucumbers, potato, mangos, peaches, etc. The variety changes and if you are going to need vegetables or fruit now check the bargain section out b/c its an amazing deal!"
