,review_text
0,"We got here right when it opened at 6:30 AM on a Saturday! Totally worth it!My sister and I shared the Maryland breakfast platter and the banana rum soufflé pancake. The Maryland breakfast is absolutely delicious. It's a corned beef hash that comes with two perfectly poached eggs and toast. The corned beef is savory and flavorful without being too salty. The potatoes are cooked perfectly and I love the runny poached egg! Perfect to eat with the buttery toast. It's really really tasty. While we ate our breakfast plate, we waited for our banana rum soufflé, which takes a while longer (it says it takes longer on the menu). It took maybe about 20 min to cook which wasn't a long wait at all since we were busy devouring our corned beef! The soufflé pancake was light, airy, and surprisingly very rummy! The bananas are sweet while the actually pancake is not too sweet, which I really like. I was so stuffed, but it felt like I was eating delicious clouds, so I kept eating it! I would definitely recommend trying this at least once, it's one of their signature items on the menu!I would love to come back here and try other dishes. It's a cool diner which gets packed later in the day. If you really want to, it's nice going here right when it opens, to avoid a long wait time. It's worth waking up early for!"
1,"Cranky waitresses & runny eggs. Not the best breakfast experience. A better customer-first attitude would definitely help bring this one-star rating higher. Once they got the order right, things went a little better."
2,"I finally made it to Bette's after almost 8 months of being a Berkeley resident and 2.5 years living in the East Bay. Between the fear of long lines and never heading to 4th St. for brunch or lunch, I'm glad I checked it off the list.With that, I was expecting much more, but satisfied with what I got. Would I wait 2 hours? Hell no.It's a diner. Im a jersey girl, I know diners! I loved the fast paced atmosphere and it's loud and busy. Awesome. The menu consists of all the breakfast staples and lunch, and although Bette's is known for some certain items, I opted for a grilled chicken and pepper sandwich that's only served weekdays. And, it was solid, but not mind blowing.  The chicken didn't taste high quality, and it was on a big ole roll and nothing really stood out. I opted for potato salad as my side and again, nothing mind blowing. A nice amount of food and rings in at $12ish. Overall, a solid spot if you're looking for some regular eats in a fun and busy atmosphere. Id suggest coming at an off time to forgo the line. Next time I'll for sure check out their breakfast items and see if it's a bit more special, but until then, I'll consider Bette's as a hyped up diner!"
3,"Came here on a Friday morning for breakfast and ran into Draymond Green!  That was dope.Food:  Not my favorite breakfast fare, but good nonetheless.  The corned beef hash is very tasty.  However, the souffle pancakes are a fun idea, but for me don't live up to expectations.Service:  A little harried, but friendly and helpful.Ambience/Decor:  Classic diner decor, located in a hip Berkeley neighborhood.  Make no mistake, it is BUSY, so there will be a wait."
4,"This place is small and packed. We had to wait 30 minutes for a table. I have to say, they have the best pancakes in California. I forgot to take a picture of it but it was so buttery and fluffy. There's a big parking lot across the street so it's very convenient to get to. They also own the coffee shop next door so it was great getting coffee and sitting in the patio waiting for our table inside. If you purchase coffee in the coffee shop, they will give you refills in the restaurant while you eat your breakfast. They also have open kitchen so you can watch them make your food. There's even a  jukebox to choose songs while you wait for your food. I think it was $0.10 for one song and $0.25 for three songs. It was so fun eating here."
5,"Food 3/5. Service 3/5. Ambiance 4/5.I was just expecting more. From the two times I have went here, the food is good for what breakfast food is, but it isn't worth while enough to warrant the long waits to get a table. There is seating inside and out but the seating is rather limited. If you have a big group of people, good luck waiting for two tables open up so they can combine them. The ambiance is like a old diner, with all the aspects that brings back nostalgia and memories. Their main sweet breakfast item is the soufflé that takes longer to cook than most items here. I wasn't too sure of what I was expecting but I was excited to dive into mine when I saw how fluffy the soufflé was, topped with bananas. It also comes with a side of maple syrup. To me, the soufflé was bland and didn't taste like much. The maple syrup helped the soufflé but the overall texture just made it hard to finish the whole soufflé. The soufflé comes with seasonal fruit, as well. On the other hand, I thought the eggs benefit was delicious. On the menu it was called the California breakfast and it had poached eggs on ham & toast with a lemon-herb butter sauce, served with home fries & grilled tomatoes. It was the perfect amount for breakfast and everything went together well together.Overall, I would probably go to Bette's Oceanview if I was in the area for breakfast. Tips - Don't fall into the trap of getting a soufflé they are not good.Pros - excellent ambiance Cons - Host at the door can be rude and mean when asking for an ETA."
6,"My parents discovered this place on Diners, Drive Ins, and Dines so since we were in Berkeley we had to check it out.  The guy calling everyone's party was so funny!  The line was crazy so we ended up waiting an hour.  I ordered the seasonal fruit souffle (peaches and blueberries).  It took awhile but it was worth it!  It was soft & fluffy & very filling.  If you're in Berkeley I highly recommend trying this restaurant for brunch despite the long wait."
7,"I came her on Father's day breakfast and they were packed! Our host said a 25-60 minute wait for a party of 5 but we literally only waited 10 minutes.The waitress was quick with our drink order. The coffee was limitless, Everytime I thought I was going to finish it, it was repoured. My company and I all got breakfast options which came out at the same time. Service was just absolutely love absolutely great. (They had almond milk for a side!)I got the banana rum pancake souffle, and the Lox omelette. My company got the French toast with a side of fruit and avocado omelette. The food wasn't super amazing, it was average Diner breakfast food period but the banana rum souffle was delicious, it was Fluffy, made by egg whites, had real bananas inside of it and a sweet taste. Paired with maple syrup and butter it was delightful. The food to take a while but it was busy, and they brought it out for 5 people altogether. I'm on the fence about four or five stars to give this place so I'm just going to give for because my breakfast wasn't as amazing as I thought it was going to be.If anyone has any questions or concerns about this place, please feel free to contact me. I'll be happy to answer anything that comes my way."
8,"Holy...... don't know where to even start....This is one of those restaurants that don't just offer great food. They got the whole experience goin! Came in during a birthday breakfast for the sister and they treated her like royyyyaaaaalllllttttyyyyyyy.We ended up with the BERRY SOUFFLÉ PANCAKE, SCRAPPLE (a delectable pork meatloaf thing), THE MARYLAND, and THE CALIFORNIA breakfasts. The food came out timely with the berry soufflé coming out at the very end. Usually speaking there's always something you order in a restaurant (even great ones) that's just kinda ehhh.....ok. You know a place is good BECAUSE IT HAS NO EHHHHHH. Both our breakfast plates were amazing with the eggs being poached perfectly on the top. The scrapple's appearance made it look like that ehhh kinda dish, but the flavor was surprisingly good.And the server surprised my sister with a cupcake and candle at the end!!!! So sweet of her! My sister and me were stuffed, but delighted. Don't let the wait time stop you from having the best breakfast experience in the Bay!!!!"
9,"I been here 3 times already and there is always about an hour wait, so if you want to beat the rush, you would have to come early in the morning. I usually walk about the area, grab coffee at Artis, and be back just in time to be seated. This diner is famous for its soufflé pancakes. I've gotten one every time I've come and I usually order the seasonal fruit pancake. The last time I went I got the strawberry and blueberry soufflé pancake. I really enjoyed it, but it is definitely a dish I would have to share because it is a bit heavy. I also ordered a ham and cheese omelette, which was a French style omelette. The omelette's are light and airy and the potatoes it comes with are pretty good too.Friendly service too!"
