,review_text
0,"Preparing for my SF road trip, I was ready to yelp and research places to eat. This place was on that list. Look at all those reviews and stars. This place is good. I went with my friends one Monday morning and it was empty. We sat outside. I ordered the Eggs Blackstone, my sister got the classic french toast and my friend and her bf I think got the combo breakfast. The benedict was so good. I wasn't expecting so much bacon. It was crispy and filling and the breakfast potatoes was legit the best thing I've eaten. My sister and I were debating on ordering some more but we had to convince ourselves that we were going to eat more in the city. The french toast was fluffy and yummy and my sister devoured it, I was really focused on the benedict so I am truly sorry I can't describe the french toast as accurately. Right before we had to head back to the OC, we ate here again. It was a unanimous 5/5 stars. Please, if you're in the area (or if you're not) this place is worth the travel and wait."
1,"Went around 11 on a Sunday with the girls. The wait was about 40 minutes and they gave us a little timer beepy thing. The surrounding area is really cute so we walked around a little bit before it was time to get seated. Its a super cute place for brunch, worth it to get a teensy bit dressed up to enjoy yourselfI had the corned beef hash. The portions were HUGE and the meat was very well seasoned. It wasn't too salty and the bread you get is super tasty as well. I recommend this dish but I also heard the french toast is really good if you want to go the sweet route. I'll be getting that next time.parking is very limited because the area is more like a quaint downtown"
2,"The staff is very friendly and attentive. I went on a weekday afternoon and it was pretty packed inside, but luckily there was a table or 2 open when I got there. I ordered the SHRIMP TACOS (two organic corn tortilla, marinated black tiger prawns, white cheddar cheese, Red Chile avocado crema, fresh mangos, served with house black beans & pico de gallo). They should include their house salsa on the side, but they did not so I asked for some green sauce and it went well with the tacos. The black beans have a lot of flavor to them too. The tacos are great, but for $13.95, it is quite overpriced imo. Great tacos none-the-less! Would come here again, not sure how often, but I'll be back for some more tacos :)"
3,"Came here on a Saturday morning with the bf around 9am (they opened at 8). Surprisingly it was not that packed. Free, small parking lot in front and I think they have some free street parking also. We ordered 2 items: Delmar Crepe (baby spinach, crab cakes, caramelized onions, fontina cheese & red chili avocado creme, hollandaise sauce on top) $15.95Chicken Pesto Crepe (mushroom, tomato, gruyere cheese, marinated chicken breast, pesto) $13.50The crab cake crepe was really good and rich in flavor. It might be too heavy for some people but I liked it. The pesto crepe was more subtle; it was good too. Both went well with the thin, crispy breakfast potatoes (I add ketchup + tabasco sauce). I've also had the crab cake benedict and chocolate chip pancakes in the past and they are pretty tasty also. Good service and food."
4,"Stephanie S., Sing W., and I decided to get brunch before a sake tasting event, so we headed over to Bette's Oceanview Diner. With over 1.6K reviews on Yelp, it's no wonder this place had a huge line! (The diner is also very small, so the turnover rate is pretty low.) I was really looking forward to eating their popular souffle pancake, but after seeing how we'd have to wait 40+ minutes, we wandered over to Cafe M, which is just a block away. I really liked their high ceilings and kitchen decor.- Salmon Florentine Benedict ($16.95): a heart meal with yummy salmon and spinach! It also comes with a side of potatoes.- Aztec Huevos Rancheros ($14.95): Sing ordered this and it smelled amazing! She liked that it was delicious and healthy at the same time.- Banana Stuffed French Toast ($12.95): Everyone raved about this on Yelp, so I had to get it! Although it was filling and perfectly sweet, I didn't think it lived up to its hype. I just wasn't fully satisfied with it!Although this breakfast spot was popular (probably from the overflow of Bette's), it was definitely not as packed. The hostess wasn't great at estimating wait times - we waited 3x longer than she estimated... which made us regret not just going back to Bette's since we waited basically the same amount of time. There were many empty tables vs a group of people waiting to be seated. Our water cups were never refilled, and it took forever to flag someone down to get our orders. Overall? Although service was lacking, the food was decently good."
5,"An all-day brunch spot in the bougie 4th Street shopping district, but not bougie prices. Delicious food, great coffee/espresso, and quick service. They're always pretty busy, but you usually don't need to wait long for a table. They have lots of eggs benny options (I LOVE the blackstone - bacon and grilled tomatoes), omelettes, pancakes, burritos, French toast, and crepes...but there are also some lunch options, like burgers, sandwiches, and salads as well. They have boozy brunch beverages, too!Be sure to check out their specials on the blackboard when you first come in - they have some great seasonal goodies (their pumpkin pancakes in the fall are EXCELLENT!!)."
6,"It was a Saturday morning, which means a perfect time for brunch, especially since i'm a visitor to the area. After debating on several options in the area, the cousins and I decided on this restaurant for our meal. PARKING + AMBIENCEThere is a two hour limit parking lot area for customers of the businesses in the vicinity. You can also find street parking around the neighborhood, although it was packed with cars bumper to bumper when we arrived. The restaurant is spacious with a lot of seating outdoors and indoors. It was a sunny day, so the restaurant was oozing with light and an enjoyable atmosphere. FOODThe portions are gigantic, their entrees are shareable between two people. I got the DelMar Crepe and barely managed to finish it, I was absolutely stuffed after. The DelMar Crepe ($15.95) is topped with hollandaise sauce with a filling of crab cakes, spinach, red chili avocado creme, fontina cheese, and caramelized onions. The flavors were savory in my mouth, I liked the addition of the crab cakes, which made for a unique crepe! A side of breakfast potatoes is included in the dish. In addition, their selection of hot sauce is a plus. I used two different hot sauce for my potatoes and crepe and they both hit the spot. The extra hot flavoring  made the an already delicious meal even better. SERVICEWe were luckily seated immediately when we arrived because there were plenty of people already dining away. The waitress was super friendly and attentive, she was personable and made nice small talk. CONCLUSIONCafe M is great, I recommend them for anyone looking for brunch in the Berkeley area. Everything on the dish was delicious, from the crepe to the potatoes, this is a classic brunch dish with a bit of unique ingredients. Cafe M serves all the traditional brunch items, so you can choose from your favorites. They met our expectations and then some, definitely a spot I would return to."
7,"Cafe M is a fantastic brunch place, especially as they are one of the few brunch places in the area that offers bottomless mimosas. Sadly, since my latest visit today, they have increased the price to $21 and are putting a limit of 5 glasses per person. Not quite bottomless anymore, but their glasses are quite big and I never drink more than 3. Still gets me tipsy!I've always enjoyed their food; today I ordered their Del Mar crepe while my friend ordered the Crab Cake Benedict. It seems to me they've changed from using the English muffin to using country sour levain bread (I don't recall them using the latter in previous visits) but it was still good, according to my friend. I really enjoyed the Del Mar crepe and the thinly cut and crispy potatoes. I did think that the potatoes weren't salted enough for me but some use of Tapatio on the side did the trick. Solid 4/5- reliable brunch in Berkeley."
8,"By far passed my expectations when I visited this place in Berkeley. Street parking was a little bit difficult, but other than that I was able to be seated right away. I ordered French toast which was absolutely mouth watering! The cinnamon butter which was on top of the battered Hawaiian roll made the dish. Their potatoes, eggs, and bacon were all cooked to perfection. And the vanilla latte was the icing on the cake. Not only was the graphic well done, but the drink itself was perfect to wash down my meal. I can see this being a perfect place to be during the fall/autumn when you're looking for a nice warm meal. I'll be back soon."
9,Pretty good breakfast option in the area! We ordered their Crabcake Benedict and Irish Benedict and both were pretty good. The portions were pretty big. Coffee was good too and they refilled my cup before I was dry... which is always a plus. No problems in the service dept. I would be back if I was in the area!
