,review_text
0,"I moved to the Bay Area about two weeks ago, but I've known about Cinnaholic for months. Yeah, I think that pretty much tells you all you need to know...but brevity isn't my strong suit. Anyway, I've been dying to give this place a try AND TODAY WAS FINALLY MY DAY. I am a changed woman. First and foremost, the options are ridiculous! Theyve got a killer list of icings and toppings to help you create your dream cinnamon roll. Toppings are only 50 cents each, so feel free to get a lil wild. If you need some guidance, theres a display case with some amazing combinations already lined up, so you can go for whatever looks good (all of them). They've also got other baked goods like cookies and brownies available. As for me? Well, after much deliberation, I finally decided to get a cinnamon roll with butterscotch icing, oreos, and caramel drizzle. My boyfriend scored one with cake batter icing, cookie dough, and chocolate syrup. UGH. I KNOW RIGHT?! What a time to be alive. Service is quick as a whip. It was the cashier's first day, but she was friendly and fast nevertheless. By the time I returned my debit card to my wallet, the other staff member was already calling me to pick up my order at the other end. incredible. When youre jonesin for a taste of that sweet sweet,cinnamon, aint nothin better than a quick and easyfix. I'm hooked. Officially a Cinnaholic."
1,"I'm not a fan of sweets, but this place is amazing! The bun was toasted warm and fresh and the frosting was the right amount of sweet- it wasn't overpowering at all. Overall, the dessert isn't expensive at all either. old Skool is the original bun and it rocked my world. It's a must try! Definitely going to return."
2,"Best Vegan dessert in Berkeley! The cinnamon buns taste so good I had to ask few times that are they really vegan! You can get the mini buns but you can't customize them. They taste good though. If you are taking it to go or eating while walking, then get the mini ones.If you are getting the regular size buns this is how to order: select the type of frosting you like from the menu ($.25 c for flavor frosting except for the vanilla). Then select a topping. Each topping is $.50 c. Be mindful so you don't end up paying $10 for a cinnamon bun! Based on the flavor availability the day I went, I could have created 504 different combination of frosting and toppings (selecting a single frosting and topping). How cool that is? My suggestion though is to select a fresh fruit for the topping, as the frosting are really sweet. You want something to counter the sweetness. The service was great! I am a fan!"
3,Vegan Cinnamon Buns are the BEST! Cinnaholic has tons of options to customize your own bun and the possibilities are endless! My go to is the Old Skool Bun which has vanilla frosting and then I got ahead and add strawberry and blueberry. It is so tasty! It is a tad bit sweet so I would ask for less frosting next time but nonetheless it is still super tasty.The service is always fast and friendly. If you're in the mood for something sweet this is your place! You also get 10% off when you check in on Yelp!
4,"The BEST place to get your fix of cinnamon rolls.Every time I return to Berkeley, I make it a point to visit and indulge in at least 1. They're so popular, you're basically getting fresh and made to order rolls every time since there's more than likely a line. With all the different toppings and frostings you can think of, you're really able to make it your own here. I don't know what it is or how they get their dough to be so heavenly, but it's seriously the best of the best. It's soft and chewy and when baked fresh, you can see the cinnamon oozing out of the bun. (DROOLS!) I've customized my bun and gotten strawberries on top before and it was a nice balance. This time, I stuck with just their Old Skool that comes with only vanilla frosting. Still delicious as their cinnamon rolls are never a disappointment. It's just one of those things where you know is going to be good regardless of what you get. They also have baked goods (even vegan ones) and sell cookie dough here as well! Until next time, Cinnaholic!"
5,"I wanted to try this place because I love cinnamon buns and this had great reviews. We got one of their recommended flavors cheesecake. My husband initially just wanted few bites but he just kept eating, yup he liked it. I wouldn't have shared but well I guess less sugar. I'd definitely come back here."
6,"So damn good! I've had Cinnaholic before but I've always been a lil lazy to make it to the Berkeley location - finally did it today and it was 1000% worth it! There are few things better than getting a vegan cinnamon bun (get strawberries on top and then dm me a thank you note, ok?) and sitting in the sun, slowly savoring each soft, perfectly flavored, animal byproduct free bite. Highkey this is a great spot to bring a date if you want them to really like you and know that not only are you serious about yo vegan treats, but that you're willing to throw down $5 for them and the buns *wink emoji*"
7,"I was super exited to try this but definitely skeptical about some of the flavors. You come and choose an icing flavor, ranging from regular cream cheese to amaretto to caramel and then you choose a topping ranging from almonds to bananas and apples.you can also choose from regular size for $5 or baby sizes for $1.25.The down side? They ran out of the baby sizes! Wth... Does this mean they don't make it fresh in store? I'm guessing so. I got a recreation of an apple pie with caramel icing with apples and brown sugar crumble on top. It was so good although the dough seemed a bit undone. The apples were nice and sweet though and it definitely tastes like apple pie but better. We also tried the amoreetto with almonds and that was really good as well, not overly sweet like I thought. I will definitely be back here for more and hopefully they will have baby ones so I can try more flavors"
8,"Food 4/5. Service 5/5. Ambiance 5/5.Vegan cinnamon rolls, who would have known. Even though people say you can't tell if it's vegan, it's pretty obvious that it is. These cinnamon rolls are customizable. You can customize the type of frosting and which toppings you want. The frostings comes in flavor such as strawberry or pina colada and more. I usually go with the classic, since the other flavors just seem artificial. There is a million different combinations of toppings you can add. Because the cinnamon roll is so sweet, I recommend fruit as it balances the sweetness with its tartness.The service here is great. The people behind the counter is always nice and is more than happy to help you. They usually have predesign options if you can't decide as well. Tips - Don't get the flavored frosting because it's too sweet and artificial. These cinnamon rolls have a different taste to them so don't expect them to taste exactly like normal ones. Pro - Freshly made and its vegan, which means it's healthy right? Con - too many combinations can be good or bad. Some combinations are too much."
9,"A vegan cinnamon bun bakery in Berkeley, because of course!  Tasty enough to satisfy even those not opposed to eggs and dairy.  Great snack before whatever event brings you downtown.Marshmallow Frosting w/ Cookie Dough: So decadent, I can't believe it's vegan!  There is no compromising on the cinnamon roll, tastes just as a good as a Cinnabon at the mall.  The marshmallow frosting was creamy and tasty, but wasn't quite as a sticky as Fluff.  Loved loved loved the raw chocolate chip cookie dough dollop on top.  Tasted like real cookie dough, not those pasty nuggets sometimes found in ice cream."
10,"For vegan cinnamon rolls, there are soo tasty. I got the Old Skool, which was just your regular cinnamon roll with vanilla frosting. Despite going for a pretty basic option, my taste buds enjoyed the soft warm buns covered in frosting immensely (though I'd have to say the cinnamon taste wasn't strong enough). I'm sure if I went for the more decadent options, like peanut butter frosting with chocolate chips or something, I would've fallen in love with it even more. However, it's probably best that I'm not too in love with it since each roll (the roll alone) packs around 650 calories! (But hey, we're here to eat, have some cheat days every now and then..or everyday..)But comparing these rolls to Cinnabon, non-vegan cinnamon rolls, which isn't quite that fair of a comparison, I think Cinnabon wins. Maybe if there were a stronger cinnamon taste I would've enjoyed this one more? I'm not sure...That being said, I'd still come here and would probably opt for their more decadent options! And I love that it's vegan!"
11,"TL;DR VEGAN cinnamon rolls are DELICIOUS, try the irish cream + strawberry combo if you can't decide!!I LOVE Cinnaholic!! I already loved cinnamon rolls before I went to Cinnaholic, but I love them even more now. Heating up the cinnamon rolls does take quite a bit of time, but it's worth the wait.  My favorite combo so far is Irish Cream + strawberry, nice and simple. Every time I've been here, the staff have been really nice and they never judge you for staring at the menu for a long time because there's so many topping to choose from. If you absolutely can decide on a topping combo, they have some pre-determined toppings on cinnamon rolls on display that you can choose from. Also, eat them while they're still warm for the best possible Cinnaholic experience, though they're still good even when they're not warm anymore."
12,"I gave Cinnaholic a go because I saw it on Shark Tank - the sharks thought it was delicious, so I thought I would too!Turns out they must have a much bigger sweet tooth than me, because my cinnamon roll was far too sweet for my liking. They were definitely delicious, and pleasantly vegan, but the icing made my teeth hurt. If you're into vegan treats and have a huge sweet tooth, you should try Cinnaholic. If you're more into refined desserts with high quality flavor, skip this place - there's plenty other delicious cinnamon rolls worth your money."
13,"It's basically a Cinnabon with fruit! Nothing special! You get to choose from a variety of frostings. We chose strawberry. Then you chose toppings from the list. We added two toppings, chocolate chips and berries. Price is reasonable."
14,"Absolutely delicious cinnamon roll, however it's extremely sweet! I got the classic sized cinnamon roll with cake batter frosting and cookie dough on top. Being an extreme sweet tooth I made my husband get his own miniature bun. Whoops! I definitely wasn't able to eat mine on my own because it was too sweet to eat in one sitting. I guess it worked out better that way though because I was able to save the rest for later. The bun still reheated well later that night. I would definitely visit this place again when I'm back in town!"
15,"I still can't believe these are vegan, thank God the shark tank hosted them or I might have never heard of them! These are heaven and they were so worth the 2 hr commute! Will do it again next Saturday too! Loooove love love! And all I've tried is the Old School!"
16,"My mom picked up a box of assorted flavors and they were pretty decent! I'm not a huge fan of cinnamon rolls to begin with, but thought the rolls themselves had the perfect level of sweetness. The frosting and toppings, however, were waaayyyy too sweet though (unless you're into that). I ended up scraping off most of it, but the plain roll is something I would definitely want to have again!It's super exciting that vegan bakeries like this are starting to pop up though! As someone with dairy and egg allergies, I can never expect to partake in any sort of special dessert that's not homemade - extra points for that alone :)"
17,This review is for the wait. I waited 10 min to order and still waiting after 15 for the actually cinnamon bun. So no idea how it tastes. I will give it 5 stars if it deserves that but come on! Should have been properly warned on the wait
18,"I came here earlier today and got a roll with blueberry icing, blueberries, and pie crumble. The staff working was super nice! I started eating my roll and had to stop though because the icing tasted like soap. I thought it might've just been me, so I asked my friends to try it, and they both said it tasted like soap too. I ended up throwing mine away and eating theirs - hazelnut + choc chip + strawberries, and cream cheese + raspberry jam + pie crumbles. They were really tasty!Disappointed that I spent money on something that I just ended up throwing away, especially after looking at all the other rave reviews. Maybe I'll give this place another try in the future, but as of today I'm pretty turned off."
19,"I feel like I learned what to do next time I come here: don't put sugar on top of sugar!It was my first time here and I was attracted to the fact that they're vegan cinnamon rolls. They're not too expensive but they can be if you put a lot of toppings. I think next time I'll try to get more fruit instead of sugary toppings because somehow I didn't register that putting cookie dough on top of a cinnamon roll would be beyond sweet! The staff is very helpful because I had no idea what to do when I walked in. They have a cute, small shop and I felt welcomed right away. The cinnamon rolls were SO good. I'll update this soon with my next visit for sure!"
20,"I moved to the Bay Area about two weeks ago, but I've known about Cinnaholic for months. Yeah, I think that pretty much tells you all you need to know...but brevity isn't my strong suit. Anyway, I've been dying to give this place a try AND TODAY WAS FINALLY MY DAY. I am a changed woman. First and foremost, the options are ridiculous! Theyve got a killer list of icings and toppings to help you create your dream cinnamon roll. Toppings are only 50 cents each, so feel free to get a lil wild. If you need some guidance, theres a display case with some amazing combinations already lined up, so you can go for whatever looks good (all of them). They've also got other baked goods like cookies and brownies available. As for me? Well, after much deliberation, I finally decided to get a cinnamon roll with butterscotch icing, oreos, and caramel drizzle. My boyfriend scored one with cake batter icing, cookie dough, and chocolate syrup. UGH. I KNOW RIGHT?! What a time to be alive. Service is quick as a whip. It was the cashier's first day, but she was friendly and fast nevertheless. By the time I returned my debit card to my wallet, the other staff member was already calling me to pick up my order at the other end. incredible. When youre jonesin for a taste of that sweet sweet,cinnamon, aint nothin better than a quick and easyfix. I'm hooked. Officially a Cinnaholic."
21,"I'm not a fan of sweets, but this place is amazing! The bun was toasted warm and fresh and the frosting was the right amount of sweet- it wasn't overpowering at all. Overall, the dessert isn't expensive at all either. old Skool is the original bun and it rocked my world. It's a must try! Definitely going to return."
22,"Best Vegan dessert in Berkeley! The cinnamon buns taste so good I had to ask few times that are they really vegan! You can get the mini buns but you can't customize them. They taste good though. If you are taking it to go or eating while walking, then get the mini ones.If you are getting the regular size buns this is how to order: select the type of frosting you like from the menu ($.25 c for flavor frosting except for the vanilla). Then select a topping. Each topping is $.50 c. Be mindful so you don't end up paying $10 for a cinnamon bun! Based on the flavor availability the day I went, I could have created 504 different combination of frosting and toppings (selecting a single frosting and topping). How cool that is? My suggestion though is to select a fresh fruit for the topping, as the frosting are really sweet. You want something to counter the sweetness. The service was great! I am a fan!"
23,Vegan Cinnamon Buns are the BEST! Cinnaholic has tons of options to customize your own bun and the possibilities are endless! My go to is the Old Skool Bun which has vanilla frosting and then I got ahead and add strawberry and blueberry. It is so tasty! It is a tad bit sweet so I would ask for less frosting next time but nonetheless it is still super tasty.The service is always fast and friendly. If you're in the mood for something sweet this is your place! You also get 10% off when you check in on Yelp!
24,"The BEST place to get your fix of cinnamon rolls.Every time I return to Berkeley, I make it a point to visit and indulge in at least 1. They're so popular, you're basically getting fresh and made to order rolls every time since there's more than likely a line. With all the different toppings and frostings you can think of, you're really able to make it your own here. I don't know what it is or how they get their dough to be so heavenly, but it's seriously the best of the best. It's soft and chewy and when baked fresh, you can see the cinnamon oozing out of the bun. (DROOLS!) I've customized my bun and gotten strawberries on top before and it was a nice balance. This time, I stuck with just their Old Skool that comes with only vanilla frosting. Still delicious as their cinnamon rolls are never a disappointment. It's just one of those things where you know is going to be good regardless of what you get. They also have baked goods (even vegan ones) and sell cookie dough here as well! Until next time, Cinnaholic!"
25,"I wanted to try this place because I love cinnamon buns and this had great reviews. We got one of their recommended flavors cheesecake. My husband initially just wanted few bites but he just kept eating, yup he liked it. I wouldn't have shared but well I guess less sugar. I'd definitely come back here."
26,"So damn good! I've had Cinnaholic before but I've always been a lil lazy to make it to the Berkeley location - finally did it today and it was 1000% worth it! There are few things better than getting a vegan cinnamon bun (get strawberries on top and then dm me a thank you note, ok?) and sitting in the sun, slowly savoring each soft, perfectly flavored, animal byproduct free bite. Highkey this is a great spot to bring a date if you want them to really like you and know that not only are you serious about yo vegan treats, but that you're willing to throw down $5 for them and the buns *wink emoji*"
