,review_text
0,"I came here with a party of 5 during their happy hour (after 9pm). They have the best happy hour menu! Seriously. We ordered their chicken nachos, truffle fries, and 2 orders of the fried chicken sliders. #nomZz. Their chicken nachos was so good we finished it in a heart beat. Definitely eat it as soon as it's delivered to your table as the chips do get soggy. The truffle fries is a must order here, their truffle sauce is amazing. Lastly, the fried chicken slider wasn't too bad the order came with fries. This was probably my least favorite of the three. We really were stuffed. Location is perfect as it is just a block away from Downtown Berkeley bart station. We were seated less than 5 mins on a Friday night. Great spot to watch sports as they have a number of TVs to watch from. Service was a bit slow, but overall a good experience."
1,"Not too bad! We were seated immediately at the communal table for 4 people. If you're especially tall, and had a few drinks, be careful getting out of your seat. I witnessed someone get up and hit his head on one the light fixture and shattered one of the bulbs. Yikes! For 4 people, we order a few apps and the chicken sliders to share - tapas style. Must try: -Corndog lollipops. The fried corn bread was on point! Not too dry and nice and fluffy.  -Truffle Fries. That bowl felt like it was never ending no matter how much we ate! I didn't care for the sauce it came with, but great with ketchup."
2,"Bar at night is LOUD so... Just know... But... Staff is on it, heavy whiskey and beer pours, big portions, and my Bone Marrow Burger was PERFECTLY medium. Like perfect... Something I have terrible getting in the Bay area... Prices are what you expect for a new place in downtown campus area."
3,"Eureka's revamped their menu in the days that I'd been here and they've still got the usual yummy food. The selection of burgers apparently, has decreased, but the quality of the burgers is still very much delicious. I definitely cherish Eureka! for their happy hour/appetizers, where the apps are about $2 cheaper and select beers are $2 off.Recommendations:-Mac n cheese balls- as an app, comes as 5 or you can upgrade your side to 3 balls for $2 more. Honestly, I can eat like 10 of these.Made with beer cheese sauce and Fresno chilies, it's crunchy on the outside and creamy cheesy on the inside-Chicken nachos- I love the chipotle sauce on these, definitely gives an extra kick to the nachos itself. comes with shredded chicken, pico de gallo, sour cream, avocado, cheese, and black beans-Truffle cheese fries- yummmm! Truffle oil on anything makes it a little more fancy (but not too much), along with parmesan cheese and parsley, this app is definitely a winner-Jalapeno egg burger- fried egg, bacon, chipotle sauce with jalapenos inside, what else could you possibly ask for? This burger is super flavorful & probably not for the faint of heart :PEureka's got a wide selection of beers, cocktails, wines, and whiskeys, so it's a great place to get your grub and drank onnnn"
4,"Ok, yes it's a trendy joint with your usual Berkeley hipster vibe. It's so cliche, I almost didn't want to eat there. But, I'm glad I did. Despite the many man buns occupying the room, the food was delicious. Seriously. My recommendations: Brussels sprouts. I'm not kidding. Best I've ever had and sweet/tangy just like your momma didn't make. Avoid the truffle fries, however. They sound like a decadent and amazing twist on an old classic but in reality, they were just fries with a tasteless and bland sauce. Not worth the money. Side note, our waitress, Tabitha, was so sweet. She strongly objected to my statement that the fries sucked, but was sweet enough to take them off the bill. She's the real MVP in my book."
5,"This place was pretty bombbbb. My boyfriend and I came here after a long day of hiking so we had quite the appetite. To start, we ordered chicken nachos from the happy hour menu. We were expecting a small little appetizer, but it ended up being so much food. There was such a great ratio of toppings to chips. Would definitely recommend coming between 4-6pm to get these. I got the fig burger without the goat cheese and it was sooo good. It had fig marmalade, bacon, and arugula so it was the perfect balance of savory and sweet. The fries that came with it weren't very good though. My boyfriend got the jalapeño egg burger which was pretty good, it was just really greasy, so I still preferred the burger I got. He got sweet potatoes on the side which were better than my normal fries. They added cinnamon and a LOT of honey on the sweet potato fries so they were really sweet. Definitely going to come back in the future to try the tacos and Mac and cheese balls!"
6,"I got to try the lollipop corn dog ($8), bloody mary ($5), and jalapeno egg burger ($12). The 5pc lollipop corn seemed pricey. However, the breading had a warm, soft interior and the mustard dipping sauce served as good compliment. The bloody mary had a promotional price of $5 on Saturdays. I haven't had one in a while, so I decided to order one. I realized that its taste was not for me, so I will refrain from reviewing it. Lastly, the jalapeno egg burger had a sunny side up egg that oozed yolk at the touch. The burger's flavor seemed well balanced. Nothing was too salty, the jalapeno jam imparted a touch of sweetness, and the jalapenos themselves imparted a touch of spice (nothing spicy, just the aroma). Personally, I don't like having sweet flavors in a burger, but I recognize it's usefulness in this tasting profile.I arrived at 6:30 PM on Saturday and encountered an estimated wait time of 30 min, which was reduced to 20 as some parties abandoned their places in line."
7,"It's a burger and whiskey joint (mainly whiskey)They have good drinks and ok food. They have a variety of eats and what is considered bar food such as mac and cheese tots, truffled fries, salad etc. They have a couple of burgers that can be catered to a variety of people such as the turkey burger as an alternative meat. The salad was my favorite dish of the night. a kale salad... shows much good this place might be considered a burger place.I came here on a friday night with a friend to hang out. I ordered a fresno burger with fig marmalade and medium rare and with a side of broccoli rahbi as a substitute. my burger came out about medium with a good amount of rahbi which had a hint of citrus and red pepper flakes. What I didn't like was that the rahbi was over cooked and really soft Wherefore I felt it should have been crunchy to the bite and the burger wasn't anything spectacular. Service was decent. After my food came, we were left alone for a long while but the bill placed in front of us right after we got our appetizers."
8,"Eureka, I gave you so many chances and you let me down every time. After the horrible experiences I've had (and today being the last straw), I can't see myself recommending this place. Food comes out extremely slowly, orders are incorrect, and the servers are unapologetic. I called in for a takeout order, they said 15 min. 25 min later, my food is given to me incorrectly and cold. They just don't care that customers are waiting - nobody cared to acknowledge me until I demanded someone's attention. Sadly this isn't the first time this has happened so it's clear there are management and quality issues."
9,"This review is for the watermelon salad and customer service. The customer service was great, and food took 15 minutes to serve even though we were the first ones there. Although I think they waited to serve both of our dishes together. The salad size was generous and the ingredients were well mixed up. I asked for no glaze and dressing on the side. I was pretty full after eating my salad. Not everyone was friendly, but our waitress was thankfully."
