,review_text
0,"Gray selection of beers, really good pizza and house salads... Don't know why they bother with anti pasta and apps, pizza and salad is where it's at! Their Circa shrimp pizza is incredible. Staff is on point. I've been many times, but most importantly  we had our wedding rehearsal lunch there, we reserved the upstairs but they put us outside in the garden! Fantastic and couldn't have been better!"
1,"Worst. experience. ever. I was pretty hyped about the place because a lot of friends liked it and the ambiance looked amazing. My girlfriend and I were on a date night and when we got here there was no waiter to direct us where to go. So we just kinda awkwardly sat down in the patio area and waited to order. It wasn't even a particularly busy night and there were plenty of waiters just standing around chatting with each other and the bartender outside on the patio. After an eternity a waiter comes and literally just tosses us two menus and walks away without asking us anything. Fast forward 20 minutes later when we finally got our order in, our waiter actually sneers at the two ladies who just sat down next to us after looking equally confused about the lack of direction. The food was mediocre at best. We got the pizzas which had no flavor and were mostly just dough. I had to pour so much of the seasoning onto my pizza that i may as well just have ate the seasoning by the spoonful. The soup of the day was lumpy and also likewise bland. I thought ordering our food and getting half assed service was bad, but paying was an entirely different animal because at that point both of us just wanted to leave and continue the night elsewhere. We literally watched our waiter walk around doing nothing and chat with all of his friends despite making eye contact multiple times with us signaling we were done. I didn't know that paying for food could be such a chore. To top all of this off, the people playing live music were absolutely terrible. Volume was turned up way too loudly that no one around us could even talk over their meals and they were honestly just banging random keys and various percussion instruments. There were about a grand total of two people who clapped for this ""band"" the rest of us were just thankful they finally stopped playing. All in all a really awful experience and Jupiter gets one star for instagram worthy ambiance."
2,"Jupiter - 3 Stars: this is a pretty nice little restaurant - sometimes with live entertainment - in downtown Berkeley. On the night we were here they had a three-piece group playing...not too loud, but just enough to be entertaining. Open floor, open door kind of venue...nice experience. The food is ok...nothing remarkable, but a nice place to get a bite and hoist a few beers late into the evening. Our party had a 9"" Cassiopeia (3 star BBQ chicken pizza, hot and fresh), a small Caesar salad (3 star creamy dressing), a meatball appetizer (only 2 stars as we didn't like the sauce the meatballs were baked in), and a hot chocolate (3 stars normal). All-in-all they have nice pizza and a great selection of beer. We really wanted fried chicken wings, but theirs are marinated and baked instead of fried...so we saved a few calories but missed the fried food. Nice place."
3,"This is such a cute date night or hang out spot.  I love the sitting outside on a warm summer night with the decorative lights.  Inside has a cool old house/pub sort of feel. The pizza is also delicious and great, but on a crowded night, the service can be unbelievable slow.  We waited an 45 before we ordered and about another hour after that before we got our food.  The appetizers also came after the meal, so that was a bit awkward.  This has so much potential to be a 5/5 rating.  Food is great, and everyone is also very friendly, but waiting so long every time can be such a drag. Atmosphere: 5/5Food:4/5Service: 2/5Overall Experience: 3/5"
4,"Jupiter is a good place to grab a beer on the patio or enjoy some pricy pizza. I decided to do the latter since I'm not a fan of beer and came here for dinner on a Sunday night. We were seated immediately around 6:30pm but we did opt to sit indoors. The outdoor patio was super crowded but it did look really nice. Our table was completely crooked next to the window and the table and the utensils were all kind of dirty. The water served also tasted like alcohol, which made it difficult to stay refreshed while eating salty pizza. I know this place is a brewery but I think cleanliness should be bigger of a priority at such an expensive restaurant. We ordered the garlic bread as an appetizer and the Xanthia potato/ricotta/chili flakes pizza with sausage instead of bacon. The garlic bread came out as basically cheesy bread with 2 giant cloves of garlic. The cheese on the bread didn't seem that fresh since it had already hardened a little. I thought they'd at least have some garlic spread on the bread too but it was just the cheese with separate garlic. I wasn't a big fan of this appetizer. The pizza however came out a while after and was delicious. Although it was a bit on the smaller side (13"") for an almost $20 pizza, it was very yummy and delicious. They didn't put much toppings on there though and were very minimal even though they charged so much. The pizza here is good but they don't nearly give you your money's worth, so I don't think I'll be back."
5,"Very fun spot to catch up with friends over pizza and live music. There's an indoor and outdoor section. The service could use a lot of work, but the place is always busy and no one is in a rush to leave."
6,"Jupiter is less about the beer and food than it is about the ambience. With a large, two-level interior space, as well as a glorious outdoor patio in the back, this place screams ""first date."" Even then, there's a lot of beer to choose from, all of it pretty decent, and the food is solid too - perhaps a notch or two above typical pub food. This is a busy place, so service isn't going to be the fastest, but if you need to chill with a large group, or get intimate with someone potentially special, you just can't beat the vibe here."
7,"This was a ""fancy"" restaurant back in my Cal days. This was where you went if you had a date with an older guy, lol. Anyway, i came back post graduate bc I was in the area!The ambience is really nice here. I still LOVE the outdoor patio seating. 5/5The food here is not as good as I remember. I had the salmon salad which I remember being really delicious. It kind of disappointed me now tho. The fish was a bit too smelly and it was missing some flavor it used to have! As always, the service here won't be fast. It's just one of those places you come to sit around and sip your beer/cider/kombucha on tap. Not have your food come out ASAP or be tended to, but that's ok!"
8,"This is a review of the bar. However, the pizza is amazing here with the side of ranch and deserves another review of its own. Jupiter is one of those places that you want to constantly come back too. Even with a lot of seating upstairs and outside on the patio, Jupiter is constantly busy. After 10:00, Jupiter starts checking ID for the bar. There are so many different type of beers to choose from ciders to lagers. Be warn, there are no cocktails so don't go asking for a cosmos. The patio is self seating and have the best seats of the restaurant. If you are lucky, grab a table next to the fire. If you want something more intimate, upstairs would probably be better. The staff is very nice and is always willing to accommodate people. This time we got the artichoke and spinach dip to share, and it was the perfect appetizer to share. The dip was bubbling, and it came with two hunks of bread to dip into. It was just enough to share between four for a late night snack. Come by Jupiter for some drinks and have an amazing time, or come just for the food, you won't be disappointed."
9,"This place is perfect. Lots of great beers on tap, plus my friend from Stockton even said he felt home here in a sea full of post/hipsters. The pizza is better than a Trump tax deduction...bring your baby's moma, she won't be disappointed"
