,review_text
0,"There was a line outside the restaurant when we arrived and we were taken to our requested sushi bar seats after a 20-30 minute wait. The food and service were worth waiting for- fantastic throughout the meal. I dined with one other person, initially expecting to just have a light snack but ending up staying longer and ordering a bottle of sake then two other dishes.  If the server minded us ordering something new multiple times throughout the meal, he didn't show it.  We sat in front of the grill and enjoyed watching the chef work while we talked, occasionally asking other patrons what they had ordered and taking mental notes for future visits (the gentleman next to us ordered spare ribs that slid right off the bone!).  What I liked about the food was that it was simple and beautifully presented- no crazy sauces, bells and whistles, smoke and mirrors, etc.- just good food laid out in a pleasing way that begged to be enjoyed: the miso soup was hot and yummy, the sashimi was wonderful, the cold soba noodles were as delicious as they were pretty.  Looking forward to my next meal here already!"
1,"All 3 of my sushi rolls barely had fish in them. I'd be surprised if there was even an ounce of fish per roll. There was so little fish and so much rice, I could mainly only taste rice; I couldn't even appreciate the fish taste. I've been excited for WEEKS to finally try Kirala. They always have a huge wait. I went later in the dinner rush 8pm and the wait was 20 minutes, very tolerable. Maybe the sushi dinner that includes a lot of nagiri is more worth the money. I highly recommend you don't order the sushi rolls."
2,"I came back to this place after 16 years hiatus having moved to the east coast. I have to say that I was a bit disappointed. We started the evening in the bar area. We were seated before our drinks were served. However, our drinks didn't arrive st our table until we were a quarter into our dinner. Whilst all the fish were of premium quality, the rice tasted as if it had been boiled in a pot and sitting since the night before. The service was definitely sporadic, frantic and unorganized. The east bay has a wealth of great Japanese restaurants so I don't k ow if I'll be back."
3,"Questionable location in an area of south Berkeley that has mostly foreclosed properties, but worth the visit for the amazing Unagi and superb ambiance. I also recommend the skewers off the Robata menu. The chicken-stuffed mushrooms were amazing! My favorite was the baby squid, which only goes for ~$4. The chicken with wasabi and plum sauce is also delicious. Already mentioned above, but the unagi is a MUST. The rice was also very buttery, but not super soft-- a killer combination haha! Lastly, the match cheese cake looked great! I cut sugar out of my diet, so I didn't have any, but I think my friend thoroughly enjoyed it :PPrice is another topic. We spent about $67 on all mentioned above. Definitely one of the more pricey japanese restaurants I've been to, but I think it's worth the visit!"
4,"We were a bit early for the weekday lunch service and a line has already formed.  Soon it opens, the place is almost packed with customers,  Another wait to be served.  I was hoping to sit at the counter for grilled items, unfortunately, I guess it's not in the lunch menu.  The menu was simple for lunch service.  The service was not as impressive as the food.  It was just a prolonged process to get a menu, order, and add additional items.  The ""kitchen"" lunch box was interesting, did not except everything in small proportion.  The meal comprised of a small bowl of simple udon and rice.  Soup base is clear,  Several tempura veggies and one piece of shrimp.  It was crispy but missing the dipping sauce.  The four slices of beef teriyaki was tender and  delightful.  We also ordered the Sushi delight, that was a winner, but still a small portion for its price.  Fish was exquisitely fresh and roll was yummy. Need to come back for dinner service and for their grilled items."
5,"Got here at 6:15pm on a Saturday and we had to put our name on a list. Just for the two of us the estimated wait was 45 mins, but we sat down in 30! There's a small waiting area in the back to stay warm or have a drink. Their food was amazing! I got to say it's one of the best quality I've had. You really don't need to use soy sauce on the fish, the fish itself flavorful enough. This place deserves a 4.5 star, only reason why it's not 5 is because it was really hard to get a waiter's attention and we went for a really long time without water :("
6,"Parking: lots of metered parking and close to the BART station.I had the ginger beef and fried mix tempera with the soba salad. I didn't get to try the sushi but I just thought the food was just okay and comparable to any other place. I didn't find anything special. We got there 15 minutes prior to opening and there was a line formed outside already, so if you want to come here for dinner, either go early to get a seat or else you'd have to wait a bit, there were loads of people waiting for a table but the good thing is, they had a bar where you can just order drinks while you wait."
7,"Let me start by saying that I had a really great dining experience here!I came in with pretty high expectations for the following reasons: 1) a line of hungry customers waiting to be seated was outside the door, kind of intimidating2) a sticker from a bunch of reviews/recommenders plastered on their front door3) I heard mixed comments about this place--good and bad--so I wanted to see for myself!We came without making reservations, but despite the line, the attendant let us write our name and table preference (bar or table--and I put either bar or table, whichever is faster). We were told that the wait time was about 30 minutes (on a Friday night), but we really only waited ~20 minutes.What I highly recommend:- while waiting to be seated, chill at the bar and get yourself and a friend some sake (or wine or cocktail).- It's best to come in knowing your preference. For example, do you like your sake fruity or dry? Only you can know your preference, and the bartender can only sample so much given the volume of customers.- I had the ""Izumi Judan,"" which is bone dry, really crisp, and well balanced. I don't like the fruity stuff, so knowing what I don't like helped the bartender gauge what I probably would like.- Although the bartender was too busy, and for that reason, the customer service from him was not very pleasant, I don't blame him for it. It can get really overwhelming behind the bar so our interaction was sort of rushed.After about 20 minutes of good talk and martini-like sake shots, we were invited to the sushi bar where we got to watch the pros cheerfully work together. It was very charming to watch them do their work; they make it look too natural and easy! The chefs kept us entertained as we shared stories about our common hobby of fishing across the bay! In terms of food, I highly recommend:- (please get & try) the grilled chicken stuffed mushroom!- grilled chicken teriyaki- tuna nigiriTheir fish selections are really fresh, most especially the tuna, which was reminiscent of precious jade. I mean, the tuna was deep red, moist, almost translucent, and shiny, so you know it's truly fresh. On top of it, it tasted delicious! I know a food is really gratifying if it makes me do my happy dance--and that's just what I did, I danced mellowly, shimmying my shoulders from side to side as the tuna kind of melts and play with my taste buds. We also got the:- spicy crab roll with asparagus tempura, and- spicy tuna rollboth of which were good too! The sushi rolls come in smaller portions than other restaurants, but it's the kind of portion that I can actually fit in my mouth perfectly without stretching my entire mouth too much! Lol.The entire experience consisting of delicious food, drink, service, casual ambience, and everything else, turned out to be a great dining experience. Very friendly servers, funny and entertaining chefs, and down to earth stranger-customers. I enjoyed it and I wouldn't hesitate about coming back!"
8,"Whenever I walked by Kirala, I was always amazed by the lines of people waiting outside the door.  Thinking that this must be an excellent Japanese restaurant, I decided to try one night, and luckily, there was not too long of a wait.  However, while I was waiting to be impressed, my dinner was more on the average side of things.The things I liked: I though the sushi was pretty good.  I tried the shrimp tempura and salmon skin rolls, and they were generally well constructed and flavorful.  There was a dried spice on the salmon skin roll that gave it a complexity that was surprising but tasty.  I also decided to try some of the grilled items, and this is where my meal becomes disappointing.  The shishito peppers had a nice char to them, but the peppers' skins had a tough texture that made them less appealing as I ate them.  I tend to enjoy mackerel, but the grilled saba was bland and forgettable.  Despite the busy evening, I thought the service was attentive and prompt.  Overall, it was an average dinner experience, but I would not be against trying Kirala again."
9,"Third time and still loving it!Spicy tuna roll - Not spicy, with a kick, fresh, soft, and cold.Hamachi Teriyaki - Thick slice of savory, overly glazed fish that felt a tiny bit overcooked.Shitake mushroom robata - Bursting with so much mushroom flavor, we had to order this twice.Stuffed peppers robata - Average, spicy. Eggplant robata - Small slices that complimented the shredding topping rather than the topping complimenting the eggplant."
