,review_text
0,The food was diverse and very good on the pallet. Tried a bit of everything. Hung out on the front porch and ateEnjoyed the coffee especially!
1,"Came here on a Friday night for dinner with 4 other friends. We wanted to try new and more diverse foods, and we definitely got that from La Mediterranee. Unfortunately, it wasn't as enjoyable an experience as we had expected.I got the vegetarian middle eastern plate (around $15). It wasn't anything too special. It included fruits, a grain dish, and several pastry foods. Definitely not enough to fill me, and definitely not worth the money. The food itself was somewhat tasty, but you're pretty much guaranteed to not like at least 1 out of the 4 pastries. No food really stood out on the veggie plate as I was unsure which food was supposed to be the 'main' dish and which were supposed to be the 'supporting' side foods. The tastes ended up blending together.It was a cool experience overall, but not likely one I'll repeat. I'll be looking for better Mediterranean restaurants around Berkeley instead. I always recommend going places and trying out the food, and La Med is no different -- I think my non-veg friends liked their plates more than I liked mine (and their plates had more food too)."
2,"Don't order delivery.  They screwed up and gave us a meat combination plate instead of vegetarian. No way to tell from the outside.  We found out only after eating beef in the filo rolls.You had one job to do, La Med - don't make vegetarians eat meat!  Get it right!"
3,"Came here for brunch recently with a friend, my first time and we sat out in the front patio and it was very relaxing and pleasant, perfect weather that day.  We ordered the steamed eggs with bacon and Mamounia comes with it.  Delicious!"
4,"We were wandering the street of Berkeley for a quick bite on a Saturday afternoon. This quirky and cute spot caught my eye and we decided to try it out. I ordered the Soup de Jour in a bowl and Salad ($10.75) while he ordered the Egg Fillo ($10.75). To say the least, we were both disappointed. Maybe we ordered the wrong thing, but we struggled to even eat our food. My soup was this sour chicken noodle base, which I was only able to drink a couple spoonful before giving up. As for the salad, it was very colorful and the cheese and dressing helped me finish half my plate at least. As a warning if you've never had egg fillo before, it's very dry. I don't know if that's how it's meant to be, but it was not good and food was barely touched.At least to end, we had a free, small piece of baklava, which was pretty good. Otherwise, I'm definitely passing on Mediterranean food next time."
5,"I have known about this restaurant for years and have wanted to try it.  I went the other night with my friend who also loves middle eastern food.  We both got the chicken kabob and shared the appetizer with humus, babaganush and tubule.  The food was good, not as good as I was expecting however.  The pita bread was hard and stale, like they had reheated old bread in the microwave.  It was fairly noisy and the service was OK.That said, if I was in the Berkeley area and wanted to have middle eastern food again, I probably would return, but would not take a trip from far away to go to this restaurant."
6,"Bomb Mediterranean food. I got the 1. Chicken kebab plate ($15.50): two skewers of marinated chicken served or rice pilaf and comes with hummus and pita bread. Also comes with fruits (orange slice, pineapple slice, and banana slice). This was so good, I basically finished the whole plate. 2. Middle eastern plate ($15.50): combination of chicken cilicia, Grecian spinach and feta, levant sandwich, and lamb lule or chicken pomegranate. My friend got this and he didn't like it as much as my plate.The levant sandwich was funky/unique, tasted a bit cinnamon-y. It was like a pastry with thin chicken strips.. Overall I had a great experience :)"
7,"Lunch specials are M-F 11-4pm. If you're off on a weekday, this is a whole lot of food for a small price. It's the cost of a movie ticket nowadays. I thought that it was great that I was immediately seated upon arrival. Of course, the torrential rain was working in my favor but there's no raining on this parade! I was determined to have my chicken breast kebab rain or shine. And that I did. It was delicious. With soaked jacket in tow, I was happy to have this alone time. The waitress was prompt in taking my order. And my meal was pretty awesome. I even had some left to go. The lunch special comes with soup, potato salad or salad. It also included pita bread and hummus! What a treat-- all under $15!!!! So glad that I have this place to go to when I'm feeling in the mood for some tasty Mediterranean goodness."
8,"We kept passing by this place as we walked through Berkeley and I kept saying how cute it was. We ended up staying around for dinner and decided to check this place out. We got the Middle Eastern plate which I love because I love sampling different things and this dish allows you to do that. It came with chicken cilica, Grecian spinach & feta sandwich, lamb lule, lemon chicken soup. The lemon chicken soup is delicious. I'm glad I chose that over the potato options. Everything else was pretty good, but nothing really stood out as a favorite. We also got the pomegranate chicken and that was really good with moist and tender pieces of chicken and good flavor.Overall, it was a cute place and we were lucky to have a nice day so we could sit on the patio. The food is alright, but I like the variety."
9,"My boyfriend and I love this place.The restaurant itself has a lot of charm and makes me feel like I am dining at a local spot in Greece.My favorites from the place is actually the fillo combo, the middle eastern plate, and the lamb kabob! The fillos are all wonderful, my favorite is the Griecan spinach and feta fillo, its crunchy/nutty/sweet/savory/everything you want. Lamb kabob is seasoned perfectly. Unfortunately, I am not a fan of the pomegranate chicken that everyone else loves so much. The seasoning is too sour for my taste.They also have a selection of Greek wine and beer. Great place for groups and families.Would definitely recommend you give this place a visit if you are in Berkeley/Oakland."
10,"It's been a couple years since my wife and visited one of our favorite go to places when we lived in Temescal. Pomegranate Chicken and Lemon Chicken soup were our favorites but this time everything was bland, over cooked and not full of flavor as it use to be. It was disappointing to see the quality decline and the prices go up. We hope this will change but for now no plans to return. I guess times are changing."
11,"This is one of my favorite restaurants in the Bay Area. They have great authentic Mediterranean food. I love their humus as it's very smooth and flavorful, and their dishes are great. I got some type of chicken skewer and will go back every time I'm in the area. Pretty reasonable prices as well for the amount of food that you get! I always walk out very full. The meal comes with hummus and a salad which is nice so you don't have to order it on the side. They have a gluten free menu, and I have yet to get sick eating here. They are very willing to accommodate as well - I asked for extra vegetables with my hummus appetizer instead of pita bread and they were happy to do so. They provided quite a bit too!"
