,review_text
0,"TL;DR 5/5 carnitas tacosCame here during dinner time, line was not too bad. I ordered 3 tacos, carnitas, carne asada, and another something taco. The sauce, cilantro, onion, everything was the perfect taste and ratio. My favorite was the carnitas, juicy on the inside, crispy on the outside. They have a wide variety of items on their menu, and I will definitely be back to try the rest!This is my friend's top taco place in Berkeley, and I would also put this at the top of my list.La Mission is accessible via AC Transit 51B or car (small parking lot in the back)."
1,How come my simple to-go order can't be prepared correctly? Is asking for pico de gallo too complicated? I'm tired of getting home to find out that my food was made incorrectly. I try to keep any additions simple. I think I forgot why I like La Mission. I'm finished hoping you'll get my order right.
2,"we got off our night shift and went here for breakfast. There was no wait time at all, the restaurant just opened for the day. we were first customers. restaurant was very clean. There was a breakfast menu and we could order from full menu. we also ordered pitcher of sangria - which was  great.4 star for food. felt like food was cooked quick, slightly undercooked. 5 star for service. Will def stop by here for more food"
3,"I so wanted breakfast, My meeting ran late so I had to settle for the tacos. The grilled fish taco was good. The Tacos al pastor were ok. Not great although not bad. Tortillas are small although they make up for the amount of meat they put on. Salsa did not have much flavor. The staff was friendly and I will be back for the breakfast."
4,"Best spot in Berkeley for Mexican food.  My favorite is the baja fish taco, $5.50.  I thought it was expensive for one taco but it is huge!  They give a generous serving of fish, crema, cabbage, and tomatoes.  I love the breading of the fish, giving a nice crispy texture with moist fish inside, and the crema makes for a great flavor combo.  Delish!The horchata is really sweet, but becomes perfect when the ice melts.  This place has got friendly staff, a great vibe, is clean, has outside garden seating, and also boasts a parking lot in the back to top it off (no Berkeley street parking necessary)."
5,"Service was efficient and friendly, but La Mission's chicken dishes leave everything to be desired. If you eat pork, they have your back (the pozole for example), but the chicken is literally tiny dry cubes of meat with no flavor. I spent 17$ and change on two street tacos a small salad and one beer. Seemed outrageously high relative to the quality and amount of food. Maybe the other tacos are just so much more delicious? If I were them I would pull all the cubed chicken off the menu. The green salad was good, though sparse. I liked that it had pepitas, cabbage shreds and a vinaigrette dressing. Not sure I would come back just for that though with so many other amazing Mexican places around the area. Sad because I really wanted to love this place!"
6,"This is by far my favorite taco place in the bay area!The grand tacos here has 2 shells (1 soft 1 hard) and has more fillings than normal tacos. I normally go for the beef and the fish taco while my husband will have these 2 and a pork one as well. The fish is always crispy outside and tender inside, with a light dressing to compliment the flavor. The beef taco doesn't skim on the beef quantity like a lot other places. We also like the nachos here. In fact it is the favorite dish for my mother who comes from China. The service is slightly slow here but that's because they make everything fresh. It's a wait I'm willing to have for good quality food。"
7,Best Mexican food in Berkeley. Really really fresh meats and diverse vegetarian choices. Excellent moles and savory menudo. Perfect snacking for a summer afternoon.
8,"Mission Accomplished. Decent Mexican food found in Berkeley!Food: Have your pick from tacos to burritos, soups, entree plates, aguas frescas and even some fresh desserts if you're sweet tooth kicks in. I went with a simple and classic cheesy quesadilla, but added prawns to fancy it up a bit. Oozing with cheesy, grilled to near perfection and boasting with fresh flavors of chopped prawns; it was truly delicious. My friend ordered the Al Pastor Burrito which was packed with some of the best marinated and juicy chunks of meat we've ever had, he ordered it with everything, both of us were surprised the burrito didn't fall apart upon first bite. It was the perfect blend of fresh and savory ingredients all enclosed in a grilled and slightly charred flour tortilla. The salsa was the only issue as it wasn't nearly as spicy nor fresh as I hoped for. Chips are not free, that was a bummer as well. Other than that, the food was solid.Price: A bit steeper than your average casual Mexican eatery, but worth the price. Ambiance: Cozy and small interior, very tight and minimal seating, but they do have a huge outdoor patio equipped with tons of natural shading from the big trees. Parking lot is behind the building.Service: The young man that took our order greeted us with a genuine smile and was very patient. Same story with the young man that brought us our food.Overall: I was getting a bit tired of driving to Oakland for Mexican food, so I'm glad I finally found fresh and decent tasting Mexican food in Berkeley. Prices are a bit steeper than I'd like, but well worth the solid tasting food and wonderful service."
9,"I've come here several times and have had great experiences each time. Be it afternoon, evening, or night, this place has fantastic service and wonderful food.Tonight hubs and I had a beer each while waiting for our order (Santa Fe salad and chile rellenos). The total came to $36 and I tipped up to $42. Seating inside is 8 small-ish tables that seat 2/3 each (booth on the back). There is more seating outside.Even when lines get long, the food comes out fast and hot. The staff are extremely friendly. There's Tapatio and tobasco and other bottles hot sauces available if you dine in."
