,review_text
0,"My brother recommended La Note, so I made a reservation for a 115pm lunch last Thursday. My friend and I were seated right on time at an umbrella-ed table in the corner of the lovely patio as requested.The ambiance at La Note, especially on the patio, was very much like restaurants in and around Nice and throughout Provence. The waitstaff was attentive but not overbearing, their service was excellent. We never felt rushed to leave, despite the restaurant being full. My friend ordered one of the specials, I had the Salade Nicoise, one of my favorite lunch dishes when in Nice. My friend loved her sandwich. My salad was very good, definitely a generous serving too, but I was a bit disappointed: this was more of a second cousin to a true Salade Nicoise; however, that did not stop me from eating most of it, and taking home the rest. The prices are very reasonable. I brought a bottle of wine, for which there was a corkage fee, as I'd expected, also reasonable. Our lunch was a complete success. We had a great time. I would love to go back for breakfast, which as described on the menu, looks very enticing.I highly recommend La Note. Even though it's 6000 miles from Provence, it's still very close."
1,"Finally tried this place for brunch! I recommend making reservations through Yelp and going on a weekday to avoid long waits. The aesthetics are cute (including the bathrooms!). Honestly feel like this place is overhyped (and overpriced) though. Our window table was so small. Can't pronounce most things on the menu because it's in French, so I had to point and show the waiter hahahaha. And then when the food came, it was just alright. ""Basic"" would be a good way to describe it tbh, in the most basic sense of the word. Wouldn't say it was horrible, but I don't think I would spend the time or money here again. Just had to check it off my Berkeley bucket list. Also I'm not sure what they mean by surcharge but that was added to our bill for two people, on top of tax. I didn't really read it but I assume it's gratuity/tip?"
2,"La Note is incredible, and the consistent line out the door is proof of that. Breakfast and lunch here are both delicious, and I've never ordered something I didn't like. Even the basics, like a simple scramble with roasted tomatoes (seriously, order these) and toast, are worth the trip, and their extended list of pancakes and French toast lives up to the hype. You can't go wrong with a full meal or a small snack of a latte and pastry (croissant or coffee cake are my favorites), either. And if you're not much of a coffee fan, their juices are fresh-pressed and delicious!I'd give a 4.5 simply for the inconsistency in service, but with such a busy restaurant, it's easy to see why the staff might be stretched thin. For a delightful French flair to your breakfast or lunch, La Note is more than another nice neighborhood cafe - it's a true standout that is worth waiting in line for."
3,"Cute brunch spot in Berkeley! My parents used to live in Berkeley, as they're both Cal alum, so they were looking for somewhere near campus that we could eat at while we were waiting for my parents' reunion activities to start. Man, there was already a line when we got there, and it hadn't even opened! Thankfully, we got there early enough to get a table b/c we were one of the first people in line. The inside of the restaurant is fairly spacious to accommodate a good number of patrons, but I can imagine that at later hours, this place would get packed given its proximity to a college campus. I got their lemon gingerbread pancakes with poached pears. Warm and a little spicy, but contrasted with the bright notes of the pears and lemon with the sweet berry compote. Highly recommend! Next time I'm in the Bay Area, i'll be coming back here for sure!"
4,"Lovely and very popular breakfast spot, reminiscent of being in Southern France. The service is friendly and the food is quintessentially French country. We had the gruyere and jamon omelette with sourdough toast, and poached eggs with whole grain toast. Tip: go with the French specials! That's what makes this place. This includes the specialty coffees.Hard not to have an absolutely lovely morning here over brunch with your loved ones. A little on the pricey side, but by the size of the crowds - apparently it's worth."
5,"Came here for brunch with a friend. We had to wait a bit for a table, but it was well worth the wait. The service was amazing - super friendly, funny and attentive. The food was just delicious - super good. We also had a really good mimosa. I would definitely come back here, would be interested in trying a meal other than breakfast. Love this place."
6,"Wowsers!After years of having La Note bookmarked for forever & having walked away on more than 1 occasion because, I don't do lines.....the fates finally smiled upon us when I was able to score a weekday reservation for brunchSeated on the back patio in an awesome corner w/ lots of lovely trees & flowers surrounding us, the feast could beginWe indulged in the assorted breads w/ homemade jam - way too delish!The Cinnamon Brioche w/ lavender honey - eye rolls!Mr & I chose the cheese omelette w/ potatoes & whole cloves of garlic & again, eye rolls!  The omelettes were perfectly fluffy and there was a perfect ratio of bloopy-gloopy cheese.  Props!BFF got the goat cheese ravioli with walnuts & grapes in a gorgonzola sauce & inhaled his dish while all the while proclaiming how awesome it wasMom got the Salmon Sandwich & it was huge, fresh & she loved the side saladSis got the goat cheese scramble with roasted tomatoes & was blown away - tons of goat cheese to make for a very creamy-eggy dishAnd you might think we were too full for dessert but if you did, then you don't know us at all.....We got their daily specials of Vanilla-lavender Creme Brulee & it was light & creamy & had a ever-so-slight hint of lavenderAlso got their Chocolate Chip Bread Pudding - this was the only non-amazing dish.  The bread pudding was not nearly custardy enough to be considered a bread pudding.  it was more like a soft croissant served with sauce..... but it was flavorfulSo a huge 5-Stars for a well-warranted, well worth the wait adventure to La Note.  Salut!!"
7,"My friend and I randomly came across this cute little place in downtown Berkeley while walking, so decided to give a try. We were led through a small walkway and entered the backyard. Nothing could be better than a cosy brunch under the sunshine!We both opted for the pancake and scrambled egg combo - the blueberry pancake was fluffy and huge in size, delicious! Love to come back and try more options."
8,"Love brunch at La Note. Lots of of my friends love their pancakes, but my favorites are their latte and omelette with grilled tomatoes on the side. Simple but delicious. There is always a line during brunch time so if you don't wait for too long, I recommend you going right when they are open.I have also tried dinner there but I don't think it's as impressive as their brunch. There are much better French places for dinner in the city."
9,"Awesome French restaurant! Had the best time w my friend Julia today for brunch. The wait was about 45 minutes to an hour, but it was well worth it! I love this place and that it's a cute little spot in Berkeley. Definitely coming back w my boyfriend sooner than later! Love love love!"
