,review_text
0,"Sliver, the place started by a few former Cheeseboard employees who said the hell with the collective and started serving alcohol, making it a great place to watch a game and have a drink. Won't be a stretch to say that they took a few things with them - mainly the concept of one type of vegetarian pizza daily and that amazing green sauce!The pizza is amazing. Yes, some days are better than others but this is subjective and depends on your pizza preferences. But what's better than an amazing pizza? Amazing pizza you can share with friends while drinking a cold one and watching the game. This is where the two concepts diverge. One is not better than the other, it just depends on what you prefer in the specific case. I'd highly recommend this to anyone. Is it a bit overhyped? Sure, but it mostly delivers."
1,"Talk about overrateddddd. They had basic cheese pizza with some corn on it. The pesto sauce  is what brings it to 2 stars. It really adds delicious flavor to the pizza.The line goes by fast and by the time we were done with the line, my friends who were waiting was able to get a table for about 10 of us. It's cool that they also give you a sliver of pizza on top of the full pizza you order which is SO COOL.The pizza is tasty, but what turns me completely off is the TEXTURE. It's so hard to chew that my jaw literally hurts so much I don't even want to eat anymore. It's like chewing on cardboard.I definitely DO NOT want to come back here and would rather eat some Dominos, Pizza Hut, pls anything else but this."
2,"I got Sliver delivered by Caviar. The whole pie was 24$ plus taxes $2 something and $4 something for service fee plus 2$ tip. So even though Delivery was free the total charge for whole pizza came out to 33$ for me. Not cheap at all. Probably won't get it delivered again. Today's pizza had potatoes, caramelized onions (according to the menu but I couldn't taste it at all), goat cheese, mozzarella and olive oil. The whole pie came with 2 slivers (1 extra slice) which was a nice touch. The pizza was good and cilantro sauce was yum. It's basically chutney (Indian sauce lol). Overall,Not the best pizza I've had by far but it was good. Definitely wasn't worth what I spent on it."
3,"Was pleasantly surprised by this place.  Since they've only got one kind of pizza a day the only decision you have to make is how much to order! Another positive to this method is that it's ready immediately - they've just got hot pizzas waiting to be plated.  Between my boyfriend and I, we split a half and I ended up taking home a slice.  Totally reasonable prices - the half was not much more than $12, and they were very generous.There were a lot of flies inside, but what can you expect for a sports bar?  This is a casual spot and clearly popular with all the cal students.  We ate in but will probably do take out next time because parking kind of sucks in the area.They've got an amazing cilantro sauce that goes on the pizza that I would recommend to anyone (even cilantro haters, like myself)!  Love that you don't have to ask for water cups, and there's foil and paper bags to wrap your leftovers in.  Will definitely be back!"
4,"TL;DR 1 AWESOME vegetarian pizza/dayWhat is Sliver:They serve 1 vegetarian pizza each day. Meat lovers: don't be afraid, it will be great, and it will satisfy you.PLUSES:+ location: DT Berkeley, next to BART station & Cal+ vegetarian!! + crust + toppings are awesome, their 1 flavor a day pizza has never disappointed+ check online to see what the toppings of the day are+ their long line can be intimidating, but goes by pretty fastDELTAS:- Not as good as Cheese....."
5,"Oh my god, the green sauce!!! That was the biggest game changer for this place. I first went here when I was visiting my boyfriend in Berkeley. I could eat pizza everyday and this was hands down one of the tastiest pizzas that I have tried. I'm so heartbroken that I don't live anywhere near here because this would for sure be my go to place. The way this place works is that they have one flavor that they serve a day and that's it. And while that may not seem appealing at first it's like a mini adventure to try something that you might not have ever thought of ordering before. Every time I walked by this place it seemed like it was completely packed and every table was taken so that already is a pretty good sign that you're in for something good.About half of a full pizza was about $12 and even sharing that with two people was more than enough especially with the extra slivers that you get on top.I went here on a Thursday so when I went the pizza of the day was the roasted Yukon gold potato pizza. When I first heard that they were gonna be putting potatoes on my pizza I was a little hesitant but after taking one bite I was completely sold. You 100% have to get the green sauce to go with your pizza. It  enhances the flavor so well and makes it 10x better. If you don't use it you're doing it wrong. Can't wait to try the other pizzas of the day when I go back to visit."
6,"I absolutely love this pizza place. I might be a bit sentimental, but I've spent a lot of time with some of my best friends at Slivers. They give you a sliver of pizza every time you order a slice, or two slivers if you order a whole pizza. The first time I had it, I didn't even realize I was eating a vegetarian pizza! Everyday they have a different pizza, and they only serve one type of pizza a day. Super unique, and very efficient. If you like a bit of kick to your pizza, try their green sauce next to the water. It goes so well with any of their pizzas. If you want to find me in Berkeley, Slivers is where I'll be."
7,"3.5 round up / We came here bc the line for Cheeseboard intimidated us. Today's special had corn!!!!! Corn on  pizza is the best. The cilantro green sauce was also good. The line was really short but the service for the bar was quite slow. They check IDs for each beer *_* I'm old af. Below average beer selection. Good place for college or high school dates, lol.I don't actually understand the hype of this place and would only recommend if you are craving pizza in the area."
8,"I came here during memorial day on a recommendation that this is one of the best pizza places in Berkeley. It seems like any other pizza joint styles places with a good beer selection, tv, and pizza. At this point you don't have a menu, you have one pizza. We ordered the half pizza and got 2 slices for free. It seem pretty awesome to get some extra pizza. I enjoyed the ambiance of the pizza place ; Sports bar. Parking is tricky here in the sense that its street parking if you're lucky or the paid parking lot across the street. I came here for lunch when it just opened so it wasn't crowded but given that this is a college town I can see how crowded this gets. I loved the pizza. However I do like my freedom of choice and not being told what to eat. Though this is like a omakase style pizza joint, I'd prefer creating my own pizza place. But if I'm back in Berkeley I would hit up Sliver again or Cheeseboard.GO BEARS!"
9,"I came here on a weekday in the late afternoon to grab a single slice before getting on the Bart. Sliver only offers one flavor of pizza each day and the flavor changes every single day. When I went, the flavor was ""crimini mushrooms, yellow onions, mozzarella, goat cheese, fresh herbs, infused rosemary & chanterelle mushroom olive oil"".The slice comes with a small ""sliver"" on top, which is a nice bonus. The pizza was really oily, so I had to grab some napkins to blot off the oil. The pizza was quite aromatic because of the mushroom olive oil that they used, along with the actual mushrooms on top. The pizza was tasty and flavorful, but I personally didn't find it to be extraordinary and worth the $3.25 (including tax)."
10,"I heard a lot of great things about this place! I went on a Saturday before the lunch rush. I order the special pizza for the day. It had pineapple, arugula, mozzarella and something else. I was surprised when the pizza was tough and hard to bite into. I didn't think it tasted that good. The good thing was the pesto sauce they have on the side. I had to dip my pizza in that so it had some flavor! It could be just this day and the special they had. I see on the menu some of the other specials and it looks bomb. I would come back and try another pizza."
11,"One type of pizza everyday, $3.25 per slice plus you get a little extra sliver. Water dispenser. Delicious pesto sauce condiment. Great outdoor seating as well.Came here to grab a quick bite before a graduation ceremony and was glad to have a full belly."
