,review_text
0,"I love them nooDZ NOODZ nOODZ, noodz i do adooreeseriously this place is amazeballs. I love that you can customize your entire order. I was so excited coming in here because I saw the different variations you can do, as well as the other yummy appetizers they had on the menu! I got the spinach noodles with half malay(peanut) and half thai(spicy) with chicken as my protein. I like that the stir fry option already comes with lots of vegetables and egg. The two sauces combined gave it a nice creamy texture. The thai spicy sauce wasnt spicy at all! The noodles were cooked perfectlyThe bf got the thin rice tom yum soup with chicken. I didnt get to try a lot of it, but the soup was tom yum soup was yummmyyWe also got the TOSS beef salad. I was kinda dejected because I saw a picture of it on the yelp page and it looked really good, like a steak salad. But when it came out, it was more like a vietnamese lemongrass beef salad instead. I really wanted to try their croquette and samosas but when I got there, they didn't have it on their menu! I was kinda disappointed.Anyways it was self serve after they bring you your food. They had cute mason jars for you to fill up at the water station and a bucket to put your dirty bowls. I only noticed this after but if you look at the TOSS symbol, you can notice that the T and O make a wok and the S S are noodles! This is a cheap and easy meal. Parking sucks because it's so crowded and in downtown"
1,"A decent place to grab a quick dinner downtown, and cheaper than most places downtown.It's a build you own noodle/rice bowl, where you select you noodle/rice type, protein, and sauce. I really like the hokkien and spinach noodles (they maintain a good chew), usually with chicken and the Chinese or Japanese sauce. The portions are ok, you don't get a lot of the protein for what you pay, but it's tasty and again, it's much cheaper than most other places downtown. I've also tried their curry, which is alright- I'd still probably go somewhere that's just Thai food like Racha or Thai noodle for curry, but the curry here isn't bad. The restaurant itself is pretty cute, with a good range of tables for small to large groups (you order then seat yourself). One weird thing about it is that there's always flies hovering around the door? Nothing major and they're not inside the restaurant but it isn't the most pleasant experience walking into the restaurant."
2,"This place is an upscale fast food restaurant basically. The service is quick but the food is just alright. Definitely can be a quick fix for comfort food for those Asian college students who miss their parents cooking. You basically have control of what you put in your bowl. There are three options: rice, noodles, or fried rice. From there, you then choose your sauces, veggies, and/or meat. I got the soup with glass noodle, Tom Yum base, and beef. Tasted okay. The soup wasn't as strong like other Thai places and I would have also been okay with not finishing my meal. After you order, it's mostly self service. There's water on the side of the restaurant with cute Mason jars. However this establishment is quite small so I would not recommend large parties."
3,"Noodles for everyone! Toss is a great place to go when you can't decide what type of asian flavor, you particularly want. It's great for a group of people who just can't decide on one type of asian food. Hidden next to UA Berkeley Theaters, Toss is a casual asian fusion restaurant where you are able to combine different noodles, sauces, and meats. I've been to this place throughout my years at Berkeley and it never fails to satisfy my hunger for asian noodles. I usually get the hokkien noodles, which is a thick yellow egg noodles that absorbs the sauce you choose. I've tried most of the sauces but the best one would have to be the Malay peanut sauce. It adds a hearty peanut flavor to the noodles that I haven't seen anywhere else. If you aren't in the mood for any of the sauces the Laska, which is a curry coconut soup is perfect for a cold day. Make sure to ask for spicy or add your own spices, since it usually comes out bland without it. There is also rice dishes, but they never seem to be worth getting. The only complaint I have is that the sauces lack a depth of flavors like restaurants that focus on only one or two noodle dishes. However, for only $10 dollars, Toss has good portions sizes that is good for lunch and dinner!"
4,"Affordable, good place by campus for food. Choose your own noodles, sauce, veggies, meat, etc and they'll make it for you. Portion sizes are good, but nothing's amazing since you have the risk of putting not so great things together. Protip: get what you think you'll like."
5,This is your quick fast casual for noodles. You get to choose the type of noodles sauce and protein I got the hokkien noodles with Thai and Malay with chicken. It came out super quickly and each dish comes in a big bowl. It also comes with a bunch of different vegetables in the dish. It tasted slightly sweet but a little spicy but not too much. I wanted to get extra chili to spice it up! The noodles were stir fry quickly and I can see the wok hey markings on the noodles. It's around $10/$11 for each so it's a quick bite to eat. Just walk in and go directly to the counter. The waiter will give you a number and bring the food to you. Parking is rough in the area. I usually park near YMCA or the park a couple blocks away and walk here. Grab some noodles and walk it off in downtown Berkeley!
6,"Toss Noddle Bar is probably my favorite noodle place in all of Berkeley, and I don't know why I didn't go here since freshman year. TO be honest, I don't even remember what I ordered since I came a while back ago, but all I can tell you is that there isn't anything that can go wrong.Think of it as a subway, for noodles. haha, it's so customizable, and they even let you combine spaces which was pretty neat! This place isn't really great for large groups, which can be a downfall, but groups of 4 are perfect."
7,"I found this little gem while browsing in the search section on Yelp and have been coming back ever since.It is soooooo freaking good OMG. It's a design your own but they do have pre-set items that go in it. For instance, it comes with noodles but you get to pick which style you want. I always get hokkien noodles. They are thick like chow mein for those that are unfamiliar with the names. It comes with meat but you get to choose which one or two you want. Typically I get chicken but I have tried the combo and got chicken and prawn. The prawn wasn't cooked all the way : ( you pick your sauce of choice, I always get the Thai sauce. It's spicey. All noodle options come with veggies.For less than $10 and very filling. Yes! You can't beat that. I gave 4 stars just for the half cooked prawn. It happened both times I ordered the combo so I cannot even say it was an accident the first time. If I had known the shrimp would still be see through i wouldn't have ordered the combo. I ordered it a second time thinking maybe the first time it was an accident, so I tried again. Whomp, same issue. Some people may like it like that, but nah, if I wanted a shrimp cocktail I went somewhere that had that on the menu."
8,"The prices are reasonable and the food is tasty but the place is a little dirty and there are usually some flies around the restaurant. Water is self serve and you're supposed to bring your dishes to the their dish tray when you're done.I ordered the hokkaido noodles with Thai sauce and beef and the portions were fairly large. Overall, it is a pretty good place for a quick and tasty bite that won't break the bank."
9,"Alongside the busy strip of Shattuck Avenue lies a somewhat hidden Toss Noodle Bar where one can customize their noodles to their liking.I've tried this place a couple times now and I find the concept to be quite interesting. All in all, it's similar to Pieology and Chipotle, but for noodles. Choose your meats, sauce, type of noodles, and etc. based on your own preferences and they'll make it for you. I've tried various combinations and for the price, I did enjoy what I got though I found that no matter what I chose the enjoyment per bite depreciated very quickly. I feel that Toss is special in it's wide variety of possible combinations, but in that variety, there is a lack of specialization and passion for the food it serves due to it's concept of personal customization. Overall, I would say it's a fun experience to try, but for a good noodle dish, I would prefer a location where the chef understands the flavors and combinations that work to make a fulfilling mix of flavors with personality."
