,review_text
0,Craving deep dish pizza? Not anywhere near Chicago? No problem! Zachary's is about as good as it gets. The crust is tasty yet structurally sound and keeps it all together. The sauce is to die for!The staff is friendly and responsive. It's a plus that this location is less busy than Berkeley/Oakland.
1,"If you're in the mood for some serious Deep Dish pizza, Zachary's does not disappoint. If you're wondering whether or not to go, I'd definitely recommend you going and giving it a try!I came to Zachary's per my roommate's request to treat them to their last meal in Berkeley- as he was moving back home down to Southern California the next day. He had designated Zachary's to be his last meal for several reasons- remembering fondly of how his first roommate would come every other week and make the trek here because he loved it here so much; and also because of how legendary Zachary's is for their deep dish pizza. Hearing all of these stories made me extremely curious to see what Zachary's was all about.The ambiance was really nice, and the adornment of artwork on the wall felt very homely and comforting. The servers here are also really pleasant as well- I was quickly seated and they were very helpful when asked for recommendations. I had also come during dinner rush, and although I was seated relatively quickly- I'd also warn in advance if you have a large party you may have to wait much longer.We first ordered the Ceser Salad- Which was nice. Nothing to write home about- but still a good salad. Adorned with croutons and tiny breadsticks- it was a nice transition to have before we were to go dive into the depths of the deep dish pizza.Our party split a medium BBQ Chicken deep dish pizza between 3 people- quickly finding out that the pizza definitely bested us. I only had 2 slices and was completely full- When they say deep dish it truly is DEEP. We ended up happily taking home leftovers after. Also a note- it does take awhile for the people in the back to cook a deep dish- so if you're starving and looking for a fast meal- this isn't the place to be. They really take their time prepping and cooking it back there.The pie did not disappoint, however one complaint I had with my BBQ Chicken deep dish was that I didn't taste much meat inside the pizza, as it was drowning in their infamous pizza sauce. Their sauce is loaded in rich, thick chunks of tomato which was extremely flavor packed but overloaded. Though the pizza itself was good, there was a LOT of tomato chunks you have to chow down through, and looking back I remember only tasting a few morsels of chicken throughout. In my opinion, a bit of sauce overkill, but it was still an amazing deep dish pizza.Overall in my book- a solid 4. I'd definitely recommend coming to Zachary's if you've never been before, as I don't think you'll be disappointed if you go. In my opinion their deep dish isn't something I could eat everyday as it is very heavy- but it's definitely a special place for a deep dish pie."
2,"Been craving Zachary's for a long time; it's been at least 10 years since I've had deep dish pizza from Zachary's, so I'm so glad we made a purposeful trip this weekend to order Zachary's while we were in the Bay Area. We drove from Sausalito to Berkeley to pick up a small pizza, customized to our liking. We got: pepperoni, bacon, mushroom, sausage and fresh garlic in our deep dish pizza; the total was $29.33. SO WORTH IT. It was 6 slices, packed with flavor and stuffed with loads of topping. We got it to-go, so it was ready to pick-up within 35-40 minutes of your phone call. This location is definitely less busy than the North Oakland location, so we arrived, got our box of pizza and off we went. Fast and great customer service. This was my husband's first time having Zachary's, and even tho he's not even a deep dish pizza fan; he kept nodding his head in agreement that this was legitimate Chicago style pizza -- even better than the ones he's had in Chicago! :) I can't wait to come back again in the future to order more Zachary's when we are craving deep dish pizza. YUM :)"
3,"After our little snack at Top Dog, we headed on down here for some pizza!  My friend was meeting us and arrived a bit before we did.  She got us a table and placed the order for our pizza.  We went with a Large Zachary's Special (Sausage, green pepper, onion and mushroom) pizza, and a Spinach Salad.  Soon after we arrived, our pizza was ready!  Here is how it was..............Zachary's Special-  This thing looked amazing!  For never really eating deep dish pizza, I have had it quite a bit in the last few months.  In my previous review of another spot (Tony's Little Italy), I mentioned that my pallet may not be as refined towards deep dish as it is towards NY thin crust.  I think that may be changing though!  Zachary's pizzas toppings were great (really good cheese, sausage, onions, peppers, mushrooms), but their sauce and crust left just a tad to be desired.  The sauce had way too many chunks of tomatoes in it.  I would have preferred a ""smoother"" sauce.  I picked out a lot of the tomatoes and pushed them to the side.  The crust also wasn't as good as other deep dish pizzas I have had.  It didn't have anything that stuck out about it, and it was pretty plain tasting.  Meh.  Overall though, still a pretty tasty deep dish pizza.Spinach Salad-  This was good!  We shared it between the 4 of us (it was stretching it a bit..probably shared with 2 or 3 people would be better) and each got a little plate full of spinach.  They had really good crutons/breadsitck things in this salad as well as a good amount of feta cheese and onions.  We got a vinaigrette dressing and it was pretty tasty. Overall, it was a good meal. The pizza was probably 3/3.5 stars, and I have had better deep dish elsewhere, but the other things made up for it.  Service was fantastic, company was excellent, and the price was reasonable.  I would come back.  Maybe try out their thin pizza next time?  We shall see.  Definitely glad I got to try Zachary's out though!"
4,"Deep dish is my favorite type of pizza, and the deep dish here doesn't disappoint!From the reviews, it seems like usually there is a pretty long wait around dinner time, especially on the weekend, but my friends and I were able to get seated immediately during prime dinner time on Saturday. Apparently we came during the right weekend, that awkward time after graduation but before any summer activities have started, so there were very few people around. Score!We ordered two large deep dish pizzas for the seven of us and that was just enough. One of the pizzas we got with vegan cheese to try it out, and while it was decent, I still preferred the real deal. Of the two pizzas we ordered, my favorite was the Carne pizza, which is very appropriately named as it comes with chorizo sausage, pepperoni, salami, chopped bacon, and mozzarella. The best part about the whole pizza was the thick and hearty layer of tomato sauce that smothers the rest of the toppings. Now that's what I call a real deep dish pizza!The other pizza we ordered was the spinach and mushroom, and while that was good for a vegetarian pizza, the carnivore in me much preferred the meatier Carne pizza.The pizza here is really filling. I ate two slices and walked out stuffed, and was still pretty full when I woke up the next morning. (or maybe that's just me) Parking is all on the street. There were multiple spots open less than a block away from Zachary's, but again that's probably due to the scarcity of people around.The total pp came to about $15 which is a crazy steal for how filling this meal was. Definitely want to come back again and try their other pizzas!"
5,"My sister and I came here yesterday for dinner before a concert. We ordered a small deep dish Carne pizza and it was really good. Perfect size, because us fatties ate the whole thing. Lol. We did have to wait 10-15 minutes for seating, but we were  able to get our pizza ordered while waiting which was nice! Service was friendly and I really liked the different pizza art on the walls and menus! Very nice touch in my opinion. I'd come back!"
6,"I've heard so many great things about Zachary's and their deep dish but it didn't really meet all of my expectations of what I would've wanted in a deep dish pizza. We ordered half spinach and mushroom and half of the weekly special which was hot link. The pizza takes about 30 minutes to come out. I was underwhelmed by it. It just tastes more of sauce than anything else to me. The crust was super hard and tough. It could've just been an off day but there wasn't anything that made me want to eat another slice after I had one. As for sizing goes if it's just two people a small is more than enough to fill both of you guys up. The service was great, our server made sure to check up on us and gave us frequent updates of when our pizza would be ready."
7,"My wife apparently went to Zachary's a bazillion times before we met and loves the place.  I much prefer Zelda's in Sacramento for deep dish but to each his own - however I am right on this pizza thing.The deep dish they serve is good, love the sauce.  The salads are almost as good as the deep dish but the thin crust pizzas are gaaaaaaaaaaaaaarbage - terrible terrible crust.  Shockingly bad crust.Folks that work there are friendly - goofball ordering system but it's close enough to Berkeley that goofball is normal."
8,"I love Zachary's! My favorite pizza place. Everytime I visit Northern Cali I have to stop here to eat. And this location is the closest to my Grandmas house. Although I've tried all the different pizzas. My ultimate all-time favorite is still the Spinach and Mushrooms. This particular deep dish pizza is the one I compare all other deep dish pizzas to. Super cheesy and flavorful. With lots of spinach, tomatoes and mushrooms. Its so amazing. I highly recommend that you try it."
9,"Best vegan and gluten free pizza I have ever been able to find!! We get take out or eat here regularly now that we've discovered it! In fact, we have cravings just for Zachary's."
